"state","episode_id","episode_start","episode_end","reported_cases_episode_audit","duration_weeks_audit","S_at_onset_q025","S_at_onset_q25","S_at_onset_median","S_at_onset_q75","S_at_onset_q975","S_prop_at_onset_q025","S_prop_at_onset_q25","S_prop_at_onset_median","S_prop_at_onset_q75","S_prop_at_onset_q975","S_prop_end_q025","S_prop_end_q25","S_prop_end_median","S_prop_end_q75","S_prop_end_q975","reconstruction"
"Ceara","CE_wave_01",2016-02-07,2018-06-17,194224,124,8694506.05094256,8777496.11720063,8798243.60562056,8810832.31157329,8827067.51981258,0.982363483175648,0.991740256287379,0.994084446385348,0.995506802636059,0.997341165119974,0.111726189449937,0.219298334523312,0.300930961067361,0.405236301720795,0.679012524316995,"smoothed"
"Ceara","CE_wave_02",2019-02-03,2019-06-30,4364,22,1040847.71377343,1989541.29091607,2712316.77298433,3639797.84087169,6068443.87925083,0.115499513244033,0.220772979215796,0.300977042940893,0.403896625187642,0.673395641770868,0.109700572130241,0.209273991240194,0.284624007580235,0.377135451496953,0.625989904636038,"smoothed"
"Ceara","CE_wave_03",2020-02-02,2020-03-08,692,6,1032036.52678777,1919744.72595549,2584254.57729974,3418962.24803788,5663947.65572879,0.113822299376903,0.211726768630033,0.285014910353104,0.377074003151562,0.624671248538133,0.11297105804759,0.209382080203189,0.28058693768149,0.369886530900411,0.599817363062789,"smoothed"
"Ceara","CE_wave_04",2020-04-19,2020-08-02,1661,16,1029794.39853308,1902513.29094402,2540866.85313654,3352117.91574235,5422845.21969781,0.113434736227687,0.209567165674353,0.279883597818926,0.369245173714276,0.597341583889215,0.113700606793297,0.206578145158451,0.275205624648712,0.360308638367529,0.57564899116261,"smoothed"
"Ceara","CE_wave_05",2021-04-11,2021-08-22,3344,20,1076879.12564646,1913831.58809505,2526265.89314114,3282386.28032907,5195901.43800867,0.118072221142374,0.209838171357594,0.276987284919591,0.359890566671585,0.56969404365996,0.116354740421702,0.204180679055537,0.268935867637462,0.347394825141533,0.537625357727591,"smoothed"
"Ceara","CE_wave_06",2021-12-05,2023-08-06,89068,88,1081556.12871152,1873601.77874538,2460610.40323082,3164527.51132364,4884094.36072631,0.118281688983493,0.204901786407047,0.269098520824087,0.346080660020862,0.534136800491054,0.0532553373626514,0.0989121702655926,0.140638300937081,0.198687110491763,0.362591560763469,"smoothed"
"Ceara","CE_wave_07",2024-01-21,2024-08-18,8692,31,525696.411045948,937901.984387386,1314697.88044322,1840702.52658003,3327515.53825676,0.0570337525792287,0.101754679311369,0.142633946236093,0.199701139796731,0.361008167308731,0.0531224476379753,0.0939220654251893,0.129286291286195,0.180764159319866,0.325862185899403,"smoothed"
