year,births,source
2014,130753,IBGE SIDRA t2609 UF23
2015,137837,IBGE SIDRA t2609 UF23
2016,129889,IBGE SIDRA t2609 UF23
2017,129802,IBGE SIDRA t2609 UF23
2018,133899,IBGE SIDRA t2609 UF23
2019,130149,IBGE SIDRA t2609 UF23
2020,120184,IBGE SIDRA t2609 UF23
2021,121851,IBGE SIDRA t2609 UF23
2022,115239,IBGE SIDRA t2609 UF23
2023,112845,IBGE SIDRA t2609 UF23
2024,106171,IBGE SIDRA t2609 UF23
