"unit_index","unit","municipalities","mean_population","population_contribution","reported_cases","reported_case_contribution","inferred_infections_median","inferred_infections_q2.5","inferred_infections_q97.5","inferred_infection_contribution"
1,"Fortaleza",1,2637727.54657354,0.291542308204275,79655,0.565073352061519,1230152.74032227,1167623.04139748,1362033.13475328,0.296002771240485
2,"Juazeiro do Norte",1,271180.360125265,0.0299729773961255,196,0.00139042592434948,106326.64300241,97465.4086321354,147452.926051216,0.0255846123442898
3,"Quixada",1,86854.885037395,0.0095998821771842,1377,0.0097684515195369,50845.4222531679,40664.4033999849,59458.3648334095,0.0122345668131321
4,"High-burden pooled municipalities",54,3194725.14924001,0.353106045883164,51714,0.366859623733719,1443954.65204658,1373536.3276109,1650113.70258407,0.347448381441971
5,"Moderate-burden pooled municipalities",72,1872566.36965198,0.206970701876779,7533,0.0534391759598195,843721.95461926,811109.340584167,920737.884868923,0.203018721608759
6,"Low-burden pooled municipalities",55,984440.589238475,0.108808084462472,489,0.00346897080105559,480881.099149571,380495.870810096,534812.810567934,0.115710946551363
