"variable","rhat","ess_bulk","ess_tail"
"S[4,52]",2.67689243966932,7.71638173423064,19.8675496688742
"U[4,52]",2.67689243966932,7.71638173423064,19.8675496688742
"S_prop[4,52]",2.67689243966932,7.71638173423064,19.8675496688742
"immune_prop[4,52]",2.67689243966932,7.71638173423064,19.8675496688742
"S[4,51]",2.67608585001208,7.71618426541196,19.8675496688742
"U[4,51]",2.67608585001208,7.71618426541196,19.8675496688742
"S_prop[4,51]",2.67608585001208,7.71618426541196,19.8675496688742
"immune_prop[4,51]",2.67608585001208,7.71618426541196,19.8675496688742
"S[4,53]",2.66179044593905,7.72727715956015,19.8675496688742
"U[4,53]",2.66179044593905,7.72727715956015,19.8675496688742
