"site","observed_positive","tested","observed_prevalence","predicted_prevalence_median","predicted_prevalence_q2.5","predicted_prevalence_q97.5","predicted_positive_median","predicted_positive_q2.5","predicted_positive_q97.5"
"Juazeiro do Norte",103,404,0.254950495049505,0.379104841300959,0.347142372828749,0.532207995949377,154,129,224.15
"Quixada",289,409,0.706601466992665,0.457299479597078,0.395593238338028,0.569741106596159,191,154.75,236.1
