scenario,z_T,z_P,mult_median,mult_p05,mult_p95
"zT=1%, zP=1%",-1.6052201263057206,-2.1843578927735448,1.0060632397120912,0.5081932194599179,1.933522422228298
"zT=25%, zP=1%",-0.32689635948305057,-2.1843578927735448,0.9981985390431494,0.5811689749120864,1.738696003152439
"zT=50%, zP=1%",-0.03825799821176285,-2.1843578927735448,1.003264422560707,0.5901744355159088,1.717872570637105
"zT=75%, zP=1%",0.35643673109893365,-2.1843578927735448,1.0043596298640276,0.5832653668106034,1.7359380130301922
"zT=99%, zP=1%",1.4289121244286926,-2.1843578927735448,1.0082073635262772,0.5314995552162516,1.904097623133914
"zT=1%, zP=25%",-1.6052201263057206,-0.6754115114894276,1.0000085063954536,0.6480430187412516,1.5199706430288404
"zT=25%, zP=25%",-0.32689635948305057,-0.6754115114894276,0.9993817301168892,0.827872793124978,1.2057730229941674
"zT=50%, zP=25%",-0.03825799821176285,-0.6754115114894276,1.0008882492139515,0.8491150636908854,1.1833085547514401
"zT=75%, zP=25%",0.35643673109893365,-0.6754115114894276,1.001849838730143,0.8297296086583872,1.2084933303937027
"zT=99%, zP=25%",1.4289121244286926,-0.6754115114894276,1.0051110510792074,0.6813526826857628,1.4562441223292388
"zT=1%, zP=50%",-1.6052201263057206,0.07025320473317792,0.9934398933631108,0.6704239963070792,1.4739549705431514
"zT=25%, zP=50%",-0.32689635948305057,0.07025320473317792,0.9986835233657854,0.9216943437593792,1.0847458795939573
"zT=50%, zP=50%",-0.03825799821176285,0.07025320473317792,0.9998017390813239,0.980378444525867,1.0196883462384903
"zT=75%, zP=50%",0.35643673109893365,0.07025320473317792,1.0005090491714013,0.9152083096212147,1.094921317316271
"zT=99%, zP=50%",1.4289121244286926,0.07025320473317792,1.0037122262994638,0.7068800035812803,1.425415873716669
"zT=1%, zP=75%",-1.6052201263057206,0.6934875635771182,0.9932911758606434,0.6602557936298316,1.5321294395513654
"zT=25%, zP=75%",-0.32689635948305057,0.6934875635771182,0.9992332149729676,0.8277285460181949,1.2040845529381907
"zT=50%, zP=75%",-0.03825799821176285,0.6934875635771182,0.998682291991887,0.8418073294323566,1.1849053032047012
"zT=75%, zP=75%",0.35643673109893365,0.6934875635771182,1.0000206284579858,0.8252888777501518,1.2180305502184117
"zT=99%, zP=75%",1.4289121244286926,0.6934875635771182,0.9992171875663428,0.6828561986889177,1.481295548212024
"zT=1%, zP=99%",-1.6052201263057206,1.797291182305576,0.9904616393835308,0.5532011854456746,1.7995040458497968
"zT=25%, zP=99%",-0.32689635948305057,1.797291182305576,0.9973188739753265,0.6336278536832716,1.5622241443984333
"zT=50%, zP=99%",-0.03825799821176285,1.797291182305576,0.9974320775535777,0.6422509034127781,1.5472122127043755
"zT=75%, zP=99%",0.35643673109893365,1.797291182305576,1.0037401368727097,0.6334567158012449,1.5721796983470313
"zT=99%, zP=99%",1.4289121244286926,1.797291182305576,0.9936365397575704,0.5735081613000648,1.7751679934874447
"hottest+driest (p99 zT, p01 zP)",1.4289121244286926,-2.1843578927735448,1.0082073635262772,0.5314995552162516,1.904097623133914
"coolest+wettest (p01 zT, p99 zP)",-1.6052201263057206,1.797291182305576,0.9904616393835308,0.5532011854456746,1.7995040458497968
