era,max_rel_diff_S,max_rel_diff_U,max_rel_diff_X,max_rel_diff_foi,max_rel_diff_Reff,n_weeks
2017 epidemic window,6.0811527298331734e-15,6.383159567304782e-15,2.1707715648896354e-14,1.6783231019142017e-14,1.3095075233358345e-15,97
2022 epidemic (post-seed),1.4192332834446224e-14,9.733510045142697e-15,6.26880616503836e-14,4.864385464625365e-14,2.2619397549757925e-15,95
2022 seed window,1.034663650003915e-14,9.72603235453999e-15,1.6212026769570913e-16,7.230027270952648e-14,1.4470001884254684e-15,8
inter-epidemic (2019-2021),1.0187861978827259e-14,9.76355565081083e-15,8.044022741804415e-14,7.219481434715877e-14,1.552265561752535e-15,158
post-2022,1.6089934419487796e-14,1.3531114367617948e-14,1.0625590083121817e-13,9.024036633709448e-14,1.912367456508135e-15,105
pre-2017,4.082430104316377e-15,2.1290833144979e-15,3.0340545077610377e-15,3.5210497347846808e-15,5.205138501618303e-16,110
