regressor,cor_with_z_T_anom,cor_with_z_P_anom
seasonal_sin,-0.0033152259956874047,0.009294609421980446
seasonal_cos,0.0024819381050890043,0.006590866018667938
seasonal_sin2,-0.006077986319727172,2.3679628339770564e-4
seasonal_cos2,-0.00639587764934452,0.019245067193316638
