checkpoint,checkpoint_date,S_prop_range_min,S_prop_range_max,S_prop_range_span
After 2017 epidemic,2018-12-16,0.7307649349293202,0.8281995297746612,0.097434594845341
After 2022 epidemic,2023-12-17,0.6046155327261817,0.8716145193124673,0.2669989865862855
Baseline (start),2015-01-04,1,1,0
Before 2017 epidemic,2017-02-05,0.9252586410856858,0.933098329657615,0.007839688571929182
Before 2022 seed/epidemic,2021-12-26,0.7225707274320579,0.9451205476297149,0.222549820197657
End of simulation,2025-12-21,0.600878098383554,0.9385017924627121,0.33762369407915815
