week_start,t,Inew_age12_diff,Inew_0_11_diff,Inew_65plus_diff,X_total_diff
2018-02-11,163,0,0,0,0
2018-02-18,164,0,0,0,0
2018-02-25,165,0,0,0,0
2018-03-04,166,0,0,0,0
2018-03-11,167,0,0,0,0
2018-03-18,168,0,0,0,0
2018-03-25,169,0,0,0,0
2018-04-01,170,0,0,0,0
2018-04-08,171,0,0,0,0
2018-04-15,172,0,0,0,0
2018-04-22,173,0,0,0,0
2018-04-29,174,0,0,0,0
2018-05-06,175,0,0,0,0
2018-05-13,176,0,0,0,0
2018-05-20,177,0,0,0,0
2018-05-27,178,0,0,0,0
2018-06-03,179,0,0,0,0
2018-06-10,180,-0.16001562647188727,0,0,-0.160015626471818
2018-06-17,181,-0.14715602785653914,-0.003377437845301756,-0.0019300101810273418,-0.16903183687497858
2018-06-24,182,-0.13244950253879217,-0.013240504582597623,-0.007570482530084632,-0.2121225984889179
2018-07-01,183,-0.12114132425498347,-0.021054858355938677,-0.012046428806478104,-0.24670231409788812
2018-07-08,184,-0.10937378716264323,-0.0269452192752766,-0.01542874274375805,-0.2695317074809509
2018-07-15,185,-0.1023130128912273,-0.03294569783029999,-0.01888343961942951,-0.2977188070684065
2018-07-22,186,-0.09330091925735307,-0.03728410927780601,-0.021390515544709388,-0.3140973465565935
2018-07-29,187,-0.08618897038997542,-0.041309419073925824,-0.023716950609610876,-0.3304791895842527
2018-08-05,188,-0.07910555015720888,-0.04433809822140233,-0.025472578300622217,-0.34098953245694474
2018-08-12,189,-0.07393240710071058,-0.04757923377067641,-0.027354239247664225,-0.3546708993670791
2018-08-19,190,-0.06737323364064363,-0.0490775772776999,-0.028236828046232176,-0.35668880761238597
2018-08-26,191,-0.06267801648186033,-0.05108353169359958,-0.02941206941827801,-0.36355972629974076
2018-09-02,192,-0.05819837418367424,-0.05255620831358243,-0.030281663035662376,-0.3675081940434666
2018-09-09,193,-0.05424693396166447,-0.053871829448482345,-0.03106171195225471,-0.37105368975727515
2018-09-16,194,-0.050260012078615635,-0.0545205424423969,-0.03145596384728577,-0.3706272673863964
2018-09-23,195,-0.04608134942119513,-0.0542854618470443,-0.03133714791223241,-0.3647968637320389
2018-09-30,196,-0.041836327901060955,-0.05322838873754421,-0.030748735641562774,-0.3541381680067843
2018-10-07,197,-0.03898148554008252,-0.05331454310736916,-0.030821053171820267,-0.35159688801576294
2018-10-14,198,-0.03645892576621268,-0.05339765158704779,-0.030892840585195813,-0.34938277929674655
2018-10-21,199,-0.03391222651498227,-0.05301974467278825,-0.030695843425217362,-0.34442742020576134
2018-10-28,200,-0.032224003003092694,-0.0536143417743844,-0.03105872054031167,-0.34600229426175133
2018-11-04,201,-0.03013310110400047,-0.05319760496792725,-0.0308373904572683,-0.3412725443214697
2018-11-11,202,-0.028553731792650527,-0.05335092334035352,-0.03094717390546009,-0.3403983337540808
