"site","stage","median","q025","q975","label_vjust"
"Juazeiro do Norte","Ceara (state window mean)",0.532485692250538,0.227702827071687,0.848514159083203,1.9
"Juazeiro do Norte","Site model (+ geographic offset)",0.257413143815895,0.217907844468504,0.30122603284747,1.9
"Quixada","Ceara (state window mean)",0.532211607928601,0.227680523359329,0.847398092895034,-1.1
"Quixada","Site model (+ geographic offset)",0.703984752189993,0.658770960718581,0.747552440098838,-1.1
"Juazeiro do Norte","Site observed",0.254950495049505,0.213144117993278,0.30038827773303,1.9
"Quixada","Site observed",0.706601466992665,0.659867239014755,0.75031662240946,-1.1
