"version","week_start","observed","expected","pearson_resid"
"v2",2015-03-01,2,0.955491967783523,1.06194891858872
"v2",2015-03-08,2,0.997323768236286,0.997541074649017
"v2",2015-03-15,1,1.09674949878945,-0.0917286112564702
"v2",2015-03-22,1,1.18430637005541,-0.168063466208964
"v2",2015-03-29,1,1.25807214100709,-0.228216644926988
"v2",2015-04-05,1,1.31271087382374,-0.270623133081569
"v2",2015-04-12,1,1.33984755104246,-0.291063155076076
"v2",2015-04-19,2,1.33561039030867,0.569935273144301
"v2",2015-04-26,3,1.28305550808466,1.50322073737507
"v2",2015-05-03,0,1.14767723312402,-1.06335253302982
"v2",2015-05-10,3,1.04099519379556,1.90711548376515
"v2",2015-05-17,0,0.867859158184351,-0.926351350063775
"v2",2015-05-24,1,0.733977277971856,0.309032762174735
"v2",2015-05-31,1,0.600290860201118,0.513885541598703
"v2",2015-06-07,0,0.478946867220365,-0.689904191789864
"v2",2015-06-14,1,0.386658723936721,0.983883815522857
"v2",2015-06-21,0,0.303958593164522,-0.550232666153486
"v2",2015-06-28,0,0.242288376798955,-0.491450553043919
"v2",2015-07-05,0,0.194667343043644,-0.440651080502654
"v2",2015-07-12,0,0.158140883049775,-0.397259033983761
"v2",2015-07-19,0,0.130368060140723,-0.360757997424093
"v2",2015-07-26,0,0.109208772636781,-0.330231942653659
"v2",2015-08-02,0,0.0937441930073238,-0.305989363196715
"v2",2015-08-09,0,0.0819732041243589,-0.286156399246466
"v2",2015-08-16,0,0.0735992716029464,-0.271161485137671
"v2",2015-08-23,0,0.0677214478031823,-0.260118371935193
"v2",2015-08-30,0,0.0641799430515496,-0.25323143432378
"v2",2015-09-06,0,0.062596246436927,-0.2500901502051
"v2",2015-09-13,0,0.0626453706438817,-0.25018818344263
"v2",2015-09-20,0,0.0646566704453476,-0.254169402341871
"v2",2015-09-27,0,0.0690488908695354,-0.262653081199484
"v2",2015-10-04,0,0.075833175675882,-0.275241891931421
"v2",2015-10-11,0,0.0861327044543204,-0.293318704521039
"v2",2015-10-18,0,0.100438428871806,-0.316712442309157
"v2",2015-10-25,0,0.12185979341232,-0.348806596052217
"v2",2015-11-01,0,0.151847531069643,-0.38929012982858
"v2",2015-11-08,0,0.196439410752681,-0.442647060196672
"v2",2015-11-15,0,0.262997852039177,-0.511954145775717
"v2",2015-11-22,0,0.361181324022256,-0.599570311588048
"v2",2015-11-29,1,0.509889030187238,0.684091922293945
"v2",2015-12-06,0,0.714391600733005,-0.841298909747483
