"site","stage","median","q025","q975","label_vjust"
"Juazeiro do Norte","Ceara (state window mean)",0.71182699564638,0.388145343718687,0.845809998100273,1.9
"Juazeiro do Norte","Site model (+ geographic offset)",0.257932613145718,0.216426362133921,0.303913565737793,1.9
"Quixada","Ceara (state window mean)",0.711526989188553,0.387965868636486,0.844849185669431,-1.1
"Quixada","Site model (+ geographic offset)",0.707530879892328,0.659998452760362,0.751053806594257,-1.1
"Juazeiro do Norte","Site observed",0.254950495049505,0.213144117993278,0.30038827773303,1.9
"Quixada","Site observed",0.706601466992665,0.659867239014755,0.75031662240946,-1.1
