"version","quantity","week_start","q025","median","q975"
"v2","posterior_predictive_cases",2016-10-30,176,245,334
"v2","posterior_predictive_cases",2016-11-06,203,285,385
"v2","posterior_predictive_cases",2016-11-13,247,345,465.025
"v2","posterior_predictive_cases",2016-11-20,273,381,508
"v2","posterior_predictive_cases",2016-11-27,209,292,395
"v2","posterior_predictive_cases",2016-12-04,163,229,314
"v2","posterior_predictive_cases",2016-12-11,129,183,254
"v2","posterior_predictive_cases",2016-12-18,108,155,217
"v2","posterior_predictive_cases",2016-12-25,96,140,200.025
"v2","posterior_predictive_cases",2017-01-01,139,198,271
"v2","posterior_predictive_cases",2017-01-08,167,238,325
"v2","posterior_predictive_cases",2017-01-15,218,303,407
"v2","posterior_predictive_cases",2017-01-22,255,356,480
"v2","posterior_predictive_cases",2017-01-29,319.975,436,588.025
"v2","posterior_predictive_cases",2017-02-05,397,549,732.025
"v2","posterior_predictive_cases",2017-02-12,503,677,913
"v2","posterior_predictive_cases",2017-02-19,680,924,1225
"v2","posterior_predictive_cases",2017-02-26,1018,1383,1844.025
"v2","posterior_predictive_cases",2017-03-05,1514,2023,2683.025
"v2","posterior_predictive_cases",2017-03-12,2228.975,3011,3983.05
"v2","posterior_predictive_cases",2017-03-19,3030.975,4060,5336.025
"v2","posterior_predictive_cases",2017-03-26,4339,5858,7764.025
"v2","posterior_predictive_cases",2017-04-02,5381.95,7245,9510.075
"v2","posterior_predictive_cases",2017-04-09,6437.9,8548,11273.225
"v2","posterior_predictive_cases",2017-04-16,7127.8,9578,12880.1
"v2","posterior_predictive_cases",2017-04-23,7027.875,9329.5,12369.225
"v2","posterior_predictive_cases",2017-04-30,7209.85,9818.5,12906.8
"v2","posterior_predictive_cases",2017-05-07,6495.725,8776,11579.25
"v2","posterior_predictive_cases",2017-05-14,5640,7640.5,10159.325
"v2","posterior_predictive_cases",2017-05-21,4321.975,5743,7645.025
"v2","posterior_predictive_cases",2017-05-28,3326.95,4513,6026.025
"v2","posterior_predictive_cases",2017-06-04,2494,3355,4490.1
"v2","posterior_predictive_cases",2017-06-11,1776.975,2393,3269
"v2","posterior_predictive_cases",2017-06-18,1378,1871,2504
"v2","posterior_predictive_cases",2017-06-25,1088.975,1463,1955.025
"v2","posterior_predictive_cases",2017-07-02,904,1200,1605
"v2","posterior_predictive_cases",2017-07-09,683,931,1246
"v2","posterior_predictive_cases",2017-07-16,566,768,1033.025
"v2","posterior_predictive_cases",2017-07-23,446,610,819.025
"v2","posterior_predictive_cases",2017-07-30,361,499,676
"v2","posterior_predictive_cases",2017-08-06,272,371,501.025
"v2","posterior_predictive_cases",2017-08-13,206,287,390
"v2","posterior_predictive_cases",2017-08-20,147.975,209,289
"v2","posterior_predictive_cases",2017-08-27,108,152,211
"v2","posterior_predictive_cases",2017-09-03,87,126,176
"v2","posterior_predictive_cases",2017-09-10,73,107,151.025
"v2","posterior_predictive_cases",2017-09-17,62,91,130
