q,hmc_pass,divergences,max_rhat,min_bulk_ess,immune_2018_median,immune_2018_lo,immune_2018_hi,sero_pred_median,sero_pred_lo,sero_pred_hi,sero_observed_covered,total_case_observed,total_case_pred_median,total_case_pred_lo,total_case_pred_hi,weekly_95pct_coverage,obs_2017,pred_2017_median,pred_2017_lo,pred_2017_hi,obs_2022,pred_2022_median,pred_2022_lo,pred_2022_hi
0.05,TRUE,0,1.000878742916794,693.0328070180847,0.2944839220729209,0.23951286266752594,0.352616269284738,120,64.975,180,TRUE,197867,174223,137190.6,218652.5,0.9738219895287958,107421,110730.5,76115.75,151443.175,50986,26433.5,19369.35,36154.774999999994
0.1,TRUE,0,1.0082121899790462,390.74129791863055,0.16746283106080395,0.13313840764865909,0.22027604878967624,67,27,120.02499999999998,TRUE,197867,189816,149576.50000000003,253604.69999999998,0.9755671902268761,107421,119258,83060.325,180893.625,50986,24460,17861.375,32680.574999999993
0.15,TRUE,0,1.0024963830660987,736.9129878081334,0.11612710676335827,0.0915557059750112,0.14697489763426183,45,15,95,FALSE,197867,196597,154320.325,260075.225,0.9755671902268761,107421,126378,85676.35,186380.975,50986,24043,17418.375,32742.274999999998
0.2,TRUE,0,1.0081945130705667,405.4970556919008,0.09028412968045366,0.07151301461568277,0.1186067693687941,34,10.975000000000001,78.02499999999998,FALSE,197867,204039.5,154992.425,280656.975,0.9755671902268761,107421,131627,86869.425,201147.65,50986,23879.5,17245.85,32574.624999999996
0.25,TRUE,0,0.9995255371951713,627.4640474803851,0.06921313340593294,0.05553020812313025,0.08804571536101277,25,6.975000000000001,67,FALSE,197867,195900,153191.325,264468.025,0.9755671902268761,107421,123311,86029.77500000001,185333.02499999997,50986,24307.5,17838.75,33034.725
0.3,TRUE,0,0.999427692041805,764.403949320835,0.05506445348868268,0.04474358536857033,0.06990290853023412,21,3,55.02499999999998,FALSE,197867,192117.5,150005.2,254421.62499999985,0.9755671902268761,107421,118747.5,82097.275,174743.5,50986,24306,17789.85,32757.274999999998
