wave_from,wave_to,spearman_incidence_corr,top10pct_jaccard,top20pct_jaccard,contrib50pct_overlap_jaccard,contrib80pct_overlap_jaccard,share_w2_cases_from_bottom50_w1,share_w2_cases_from_bottom25_w1,share_w2_cases_from_zero_w1,comparison_type
BA_wave_02,BA_wave_03,0.3512508914880387,0.21739130434782608,0.296875,0,0.1,0.1251878569281635,0,0.1251878569281635,adjacent
BA_wave_03,BA_wave_04,0.37436714049606085,0.16666666666666666,0.25757575757575757,0,0.16666666666666666,0.010050251256281407,0,0.010050251256281407,adjacent
BA_wave_04,BA_wave_05,0.2513127021969015,0.09090909090909091,0.2028985507246377,0,0.25,0.1479646017699115,0,0.1479646017699115,adjacent
BA_wave_05,BA_wave_06,0.3774693034096747,0.21739130434782608,0.27692307692307694,0,0.1111111111111111,0.15572502799850674,0,0.15572502799850674,adjacent
BA_wave_06,BA_wave_07,0.22192266027770585,0.09090909090909091,0.16083916083916083,0,0,0.17926407380228535,0.13816961945696615,0.13816961945696615,adjacent
BA_wave_07,BA_wave_08,0.3117244436659703,0.05,0.1527777777777778,0,0,0.2289009009009009,0,0.2289009009009009,adjacent
BA_wave_08,BA_wave_09,0.31569850389075016,0.1506849315068493,0.19424460431654678,0.18181818181818182,0.07142857142857142,0.11678427019741537,0.11416792198525332,0.11416792198525332,adjacent
BA_wave_09,BA_wave_10,0.3859436650960974,0.2,0.27692307692307694,0.16666666666666666,0.1724137931034483,0.11754007813552472,0.1042031523642732,0.1042031523642732,adjacent
BA_wave_02,BA_wave_03,0.3512508914880387,0.21739130434782608,0.296875,0,0.1,0.1251878569281635,0,0.1251878569281635,all_pairwise
BA_wave_02,BA_wave_04,0.18880246057896474,0.05,0.1773049645390071,0,0,0.17026308010641442,0,0.17026308010641442,all_pairwise
BA_wave_02,BA_wave_05,0.20686591426174578,0.05,0.1527777777777778,0,0,0.21646017699115044,0,0.21646017699115044,all_pairwise
BA_wave_02,BA_wave_06,0.09826104140215183,0.024390243902439025,0.09933774834437085,0,0.045454545454545456,0.3420084262172684,0,0.3420084262172684,all_pairwise
BA_wave_02,BA_wave_07,0.04628618807270093,0.037037037037037035,0.10666666666666667,0,0,0.37005975469126745,0,0.37005975469126745,all_pairwise
BA_wave_02,BA_wave_08,0.17788293546600165,0.13513513513513514,0.16083916083916083,0.14285714285714285,0.034482758620689655,0.4838918918918919,0,0.4838918918918919,all_pairwise
BA_wave_02,BA_wave_09,0.18782498388061547,0.09090909090909091,0.1773049645390071,0.16666666666666666,0.125,0.3406009672560057,0,0.3406009672560057,all_pairwise
BA_wave_02,BA_wave_10,0.18449236263648827,0.12,0.18571428571428572,0,0.11764705882352941,0.2554223359827563,0,0.2554223359827563,all_pairwise
BA_wave_03,BA_wave_04,0.37436714049606085,0.16666666666666666,0.25757575757575757,0,0.16666666666666666,0.010050251256281407,0,0.010050251256281407,all_pairwise
BA_wave_03,BA_wave_05,0.17786233113908456,0.06329113924050633,0.1527777777777778,0,0,0.14601769911504425,0,0.14601769911504425,all_pairwise
BA_wave_03,BA_wave_06,0.08897379754317601,0.09090909090909091,0.136986301369863,0,0.047619047619047616,0.3549144045650899,0,0.3549144045650899,all_pairwise
BA_wave_03,BA_wave_07,0.08480962551923445,0.05,0.1292517006802721,0,0,0.3334731103889297,0,0.3334731103889297,all_pairwise
BA_wave_03,BA_wave_08,0.20142251652834448,0.10526315789473684,0.18571428571428572,0,0.11538461538461539,0.4387747747747748,0,0.4387747747747748,all_pairwise
BA_wave_03,BA_wave_09,0.22757158937745908,0.18309859154929578,0.2116788321167883,0,0.13043478260869565,0.40402759058114646,0,0.40402759058114646,all_pairwise
BA_wave_03,BA_wave_10,0.2513073281048994,0.18309859154929578,0.22058823529411764,0,0.2,0.19985181193587498,0,0.19985181193587498,all_pairwise
BA_wave_04,BA_wave_05,0.2513127021969015,0.09090909090909091,0.2028985507246377,0,0.25,0.1479646017699115,0,0.1479646017699115,all_pairwise
BA_wave_04,BA_wave_06,0.22221327778258543,0.13513513513513514,0.19424460431654678,0,0.11764705882352941,0.3752333208895526,0,0.3752333208895526,all_pairwise
BA_wave_04,BA_wave_07,0.19581940069485887,0.06329113924050633,0.16083916083916083,0,0,0.3330537792221407,0,0.3330537792221407,all_pairwise
BA_wave_04,BA_wave_08,0.1629631493951864,0.06329113924050633,0.1292517006802721,0,0.04,0.541981981981982,0,0.541981981981982,all_pairwise
BA_wave_04,BA_wave_09,0.18436319051250014,0.07692307692307693,0.14482758620689656,0,0.09523809523809523,0.38135257274240864,0,0.38135257274240864,all_pairwise
BA_wave_04,BA_wave_10,0.1873991826274821,0.07692307692307693,0.18571428571428572,0,0.07142857142857142,0.266199649737303,0,0.266199649737303,all_pairwise
BA_wave_05,BA_wave_06,0.3774693034096747,0.21739130434782608,0.27692307692307694,0,0.1111111111111111,0.15572502799850674,0,0.15572502799850674,all_pairwise
BA_wave_05,BA_wave_07,0.15102478691699261,0.07692307692307693,0.11409395973154363,0,0,0.2957333053779222,0,0.2957333053779222,all_pairwise
BA_wave_05,BA_wave_08,0.029635878843351626,0.05,0.0641025641025641,0,0,0.4692612612612613,0,0.4692612612612613,all_pairwise
BA_wave_05,BA_wave_09,0.10802635255727416,0.012048192771084338,0.12162162162162163,0,0.09090909090909091,0.4129073178466661,0,0.4129073178466661,all_pairwise
BA_wave_05,BA_wave_10,0.08158366769684186,0.05,0.09210526315789473,0,0.06666666666666667,0.24067088778122053,0,0.24067088778122053,all_pairwise
BA_wave_06,BA_wave_07,0.22192266027770585,0.09090909090909091,0.16083916083916083,0,0,0.17926407380228535,0.13816961945696615,0.13816961945696615,all_pairwise
BA_wave_06,BA_wave_08,0.052580446188680824,0.05,0.09933774834437085,0,0.025,0.4156396396396396,0.4134054054054054,0.4134054054054054,all_pairwise
BA_wave_06,BA_wave_09,0.06597232979468075,0.037037037037037035,0.10666666666666667,0,0.11764705882352941,0.23999048600650122,0.23650202172361848,0.23650202172361848,all_pairwise
BA_wave_06,BA_wave_10,0.0393645001858603,0.07692307692307693,0.10666666666666667,0,0.07142857142857142,0.11181463020342179,0.10507880910683012,0.10507880910683012,all_pairwise
BA_wave_07,BA_wave_08,0.3117244436659703,0.05,0.1527777777777778,0,0,0.2289009009009009,0,0.2289009009009009,all_pairwise
BA_wave_07,BA_wave_09,0.19201625351008542,0.06329113924050633,0.12162162162162163,0,0,0.3307698406406089,0,0.3307698406406089,all_pairwise
BA_wave_07,BA_wave_10,0.19403616948204194,0.07692307692307693,0.16083916083916083,0,0.04,0.22477434999326418,0,0.22477434999326418,all_pairwise
BA_wave_08,BA_wave_09,0.31569850389075016,0.1506849315068493,0.19424460431654678,0.18181818181818182,0.07142857142857142,0.11678427019741537,0.11416792198525332,0.11416792198525332,all_pairwise
BA_wave_08,BA_wave_10,0.20153019375859993,0.10526315789473684,0.16083916083916083,0.14285714285714285,0.08823529411764706,0.14535901926444833,0.13485113835376533,0.13485113835376533,all_pairwise
BA_wave_09,BA_wave_10,0.3859436650960974,0.2,0.27692307692307694,0.16666666666666666,0.1724137931034483,0.11754007813552472,0.1042031523642732,0.1042031523642732,all_pairwise
