wave_id,prior_quintile,n_munis,median_prior_incidence,median_subsequent_incidence,q25_subsequent,q75_subsequent,pop_weighted_mean_subsequent,share_of_state_cases
BA_wave_03,1,83,0,0,0,0,1.821607691165007,0.005410279531109108
BA_wave_03,2,83,0,0,0,0,35.45072032829939,0.0880673279230538
BA_wave_03,3,83,0,0,0,0,2.9153242513853788,0.007814848211602044
BA_wave_03,4,83,0,0,0,0,16.416424167906133,0.14577697625488428
BA_wave_03,5,82,25.516610915012656,2.504236939276187,0,18.15166378818392,126.72226276891207,0.7529305680793508
BA_wave_04,1,83,0,0,0,0,0.5737700935770659,0.0026603606266627253
BA_wave_04,2,83,0,0,0,0,0.4967093373427646,0.002069169376293231
BA_wave_04,3,83,0,0,0,0,0.390670972511902,0.0023647650014779783
BA_wave_04,4,83,6.270215131501981,0,0,1.0857378538715663,6.241687174967033,0.1132131244457582
BA_wave_04,5,82,66.21768412245592,0,0,2.336910487614272,81.09367692481698,0.8796925805498078
BA_wave_05,1,83,0,0,0,0,2.636999237408329,0.0065486725663716815
BA_wave_05,2,83,0,0,0,0,4.2947406457957085,0.010265486725663717
BA_wave_05,3,83,0,0,0,1.4801619423127879,9.720869067539288,0.047256637168141595
BA_wave_05,4,83,7.417901590565266,0,0,7.928389394080513,71.06935340623401,0.6776991150442477
BA_wave_05,5,82,81.94554005908867,0,0,3.730677721806983,37.121054838407645,0.2582300884955752
BA_wave_06,1,83,0,0,0,11.55212897281751,40.02722166870092,0.027038557943576343
BA_wave_06,2,83,0,0,0,13.491871193113,35.13237910218908,0.025171990827155884
BA_wave_06,3,83,3.565520575494001,1.109114704642754,0,20.194076659996,87.17979460928109,0.1372726787904645
BA_wave_06,4,83,16.92216490467395,13.344332298136647,0,48.40386785302052,164.10093154755137,0.1847368140365847
BA_wave_06,5,82,119.97824614646386,8.217575405596016,0,82.37569840388763,162.93010931480072,0.6257799584022186
BA_wave_07,1,83,0,0,0,0,40.885903169601015,0.05451305168256631
BA_wave_07,2,83,2.9673477978107985,0,0,4.706799652553975,54.963919868749876,0.11814655624279274
BA_wave_07,3,83,17.711874765162044,0,0,6.279391572753032,48.259050884774965,0.09843799140371108
BA_wave_07,4,83,59.95830112122397,0,0,8.139243056011113,181.353016453944,0.5566621239123598
BA_wave_07,5,82,530.7640214335222,0,0,10.360446786109666,24.40015783620054,0.1722402767585701
BA_wave_08,1,83,0,0,0,11.771643592482201,91.0461528792458,0.07726126126126126
BA_wave_08,2,83,7.113812126389386,0,0,19.563675882375648,116.06911764027569,0.15992792792792793
BA_wave_08,3,83,30.872577924396392,3.0269258815921627,0,14.591848547715909,139.8919586499242,0.21715315315315314
BA_wave_08,4,83,102.3874934102232,5.582311178324393,0,30.740190165946316,39.68611717909565,0.15185585585585584
BA_wave_08,5,82,725.1026005396476,12.951054333951499,0,41.725168422362465,151.05091391407262,0.3938018018018018
BA_wave_09,1,83,0,0,0,7.183575783255896,17.454439918965765,0.020217236184888607
BA_wave_09,2,83,17.74869787914777,4.929572836081844,0,21.062252476364183,61.56732687594852,0.08205819392690082
BA_wave_09,3,83,59.37478927575168,4.074027801165715,0,16.75646403288963,98.28166005817623,0.17521604693570125
BA_wave_09,4,83,199.76937435893083,8.31694586961986,0,51.369551967522014,76.89840263317645,0.3341790216443352
BA_wave_09,5,82,1063.9946159095614,12.373064043985535,0,57.35975810287527,138.82818842970318,0.3883295013081741
BA_wave_10,1,83,3.5142680025451636,3.780728243125533,0,14.51756625923954,26.213477546490825,0.026202344065741612
BA_wave_10,2,83,32.34573016945188,3.6501903339345905,0,16.974640232881946,44.34024156380345,0.05563788225784723
BA_wave_10,3,83,88.80377365866426,5.819410441866106,0,14.541941027543823,12.950944804051302,0.016637478108581436
BA_wave_10,4,83,320.0577045740413,14.000903820721891,2.6940225063150147,42.272611256772464,48.83963767154837,0.20712649872019398
BA_wave_10,5,82,1295.4111346476689,14.253650745374099,2.7723087064309664,76.22251741727247,316.1311819025292,0.6943957968476357
