chain,treedepth_median,treedepth_hits,n_leapfrog_median,n_leapfrog_p95,mean_accept_stat,n_divergent,bfmi
1,8,0,511,511,0.9518515916170508,0,1.0373203327373972
2,9,0,511,511,0.9752210843981138,0,0.930307350415378
3,9,0,511,511,0.9662799441008303,0,1.125978997277557
4,9,0,511,511,0.9786391217764984,0,1.0542430818316548
