"muni6","municipality_name","health_region_22","official_macroregion_5","final_model_unit","source_reference","unit_index"
"231200","Santana do Acaraú","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231210","Santana do Cariri","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231220","Santa Quitéria","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231230","São Benedito","13ª Região Tianguá","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231240","São Gonçalo do Amarante","2ª Região Caucaia","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231250","São João do Jaguaribe","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"231260","São Luís do Curu","2ª Região Caucaia","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231270","Senador Pompeu","8ª Região Quixadá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"231280","Senador Sá","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231290","Sobral","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231300","Solonópole","8ª Região Quixadá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"231310","Tabuleiro do Norte","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"231320","Tamboril","15ª Região Crateús","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231325","Tarrafas","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231330","Tauá","14ª Região Tauá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"231335","Tejuçuoca","2ª Região Caucaia","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231340","Tianguá","13ª Região Tianguá","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231350","Trairi","6ª Região Itapipoca","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231355","Tururu","6ª Região Itapipoca","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231360","Ubajara","13ª Região Tianguá","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231370","Umari","17ª Região Icó","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231375","Umirim","6ª Região Itapipoca","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231380","Uruburetama","6ª Região Itapipoca","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231390","Uruoca","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231395","Varjota","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231400","Várzea Alegre","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231410","Viçosa do Ceará","13ª Região Tianguá","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
