region,uf,uf_name,wave_id,start_week,end_week,peak_week,duration_weeks,total_cases,peak_cases,n_active_munis,peak_time_sd_weeks,cor_sync_index,top3_share,n_total_munis,pct_active_munis,synchrony_class,is_first_major_epidemic,left_censored,uf_code
Nordeste,PE,Pernambuco,5,2020-04-26,2020-11-15,2020-06-28,30,7025,459,29,6.570583307122379,0.07635358079297663,0.5495145631067961,185,0.15675675675675677,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PE,Pernambuco,6,2021-01-10,2023-09-17,2021-05-30,141,78038,2390,129,25.7859573861007,0.19961118471282036,0.3344636527658703,185,0.6972972972972973,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PE,Pernambuco,7,2023-10-29,2024-10-20,2024-03-03,52,15708,1002,70,6.98335850217164,0.29060592546242736,0.3402231803195536,185,0.3783783783783784,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PI,Piauí,1,2015-03-29,2015-04-26,2015-04-19,5,216,55,2,1.009197317346082,NA,1,205,0.00975609756097561,Mixed / intermediate,TRUE,FALSE,NA
Nordeste,PI,Piauí,2,2016-03-20,2016-08-07,2016-05-01,21,2726,293,15,2.511893877992109,0.1876626257376424,0.7561067267944381,205,0.07317073170731707,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PI,Piauí,3,2017-02-26,2017-10-08,2017-06-18,33,7807,524,24,4.146156459678842,0.32496508579319733,0.7437238493723849,205,0.11707317073170732,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PI,Piauí,4,2019-03-17,2019-07-07,2019-04-21,17,901,79,4,3.3205296245464235,0.12285304941754685,0.9776833156216791,205,0.01951219512195122,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PI,Piauí,5,2022-01-23,2022-09-11,2022-04-24,34,11961,1022,56,4.161951586894081,0.2545160546236802,0.5618054957360669,205,0.2731707317073171,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PI,Piauí,6,2023-01-01,2023-07-30,2023-04-23,31,4919,335,21,4.5623714863433875,0.13077477602037718,0.7183699594623426,205,0.1024390243902439,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,PI,Piauí,7,2024-02-11,2024-06-09,2024-03-03,18,995,97,5,2.7306442285543633,0.28797501676811427,0.8987341772151899,205,0.024390243902439025,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,RN,Rio Grande do Norte,1,2015-01-11,2015-04-26,2015-02-22,16,4352,715,21,1.8319146704304468,0.27337141739240894,0.6430128360377816,168,0.125,Asynchronous (localized/staggered),TRUE,FALSE,NA
Nordeste,RN,Rio Grande do Norte,2,2015-12-27,2016-10-09,2016-03-13,42,27164,1984,93,5.915443440844963,0.2520595549178655,0.48223198986813676,168,0.5535714285714286,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,RN,Rio Grande do Norte,3,2017-01-01,2017-09-17,2017-06-18,38,2029,91,16,9.4562942468643,0.06381464521737842,0.7868852459016393,168,0.09523809523809523,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,RN,Rio Grande do Norte,4,2018-01-07,2018-09-16,2018-07-15,37,3215,240,15,8.286086142663228,0.0859790915962185,0.7610474631751227,168,0.08928571428571429,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,RN,Rio Grande do Norte,5,2019-02-24,2020-10-11,2019-06-30,86,22768,842,68,22.89863461674424,0.10244979210499844,0.6672918899607002,168,0.40476190476190477,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,RN,Rio Grande do Norte,6,2021-01-31,2023-08-13,2022-05-29,133,28454,1204,112,25.607214617748337,0.27373646957934084,0.24218086611944523,168,0.6666666666666666,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,RN,Rio Grande do Norte,7,2023-12-31,2024-10-06,2024-03-10,41,5889,562,56,3.7899476768631435,0.41791748089755354,0.24889462048636699,168,0.3333333333333333,Mixed / intermediate,FALSE,FALSE,NA
Nordeste,SE,Sergipe,1,2015-02-22,2015-04-19,2015-03-01,9,300,49,6,2.7238136576794045,0.03710487032335863,0.6585365853658537,75,0.08,Asynchronous (localized/staggered),TRUE,FALSE,NA
Nordeste,SE,Sergipe,2,2015-08-30,2017-02-05,2016-02-28,76,14028,756,39,9.150294895662977,0.13561535739349392,0.5473084960726382,75,0.52,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,SE,Sergipe,3,2017-03-26,2017-05-07,2017-04-30,7,222,51,3,1.0665989351959662,0.21997517457125518,1,75,0.04,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,SE,Sergipe,4,2019-06-23,2019-09-08,2019-07-07,12,376,45,6,5.190302531195797,0.017356211764518552,0.7786069651741293,75,0.08,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,SE,Sergipe,5,2020-05-03,2020-12-06,2020-08-02,32,4808,332,20,3.8685582539726875,0.24665856322559407,0.6938775510204082,75,0.26666666666666666,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,SE,Sergipe,6,2021-01-10,2024-08-11,2022-05-15,188,21095,335,56,28.76650772319452,0.08478940756901845,0.42491921687892037,75,0.7466666666666667,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,ES,Espírito Santo,1,2017-01-08,2017-05-14,2017-04-09,19,1041,77,10,3.2322139699484502,0.06665743133431783,0.691683569979716,78,0.1282051282051282,Asynchronous (localized/staggered),TRUE,FALSE,NA
Sudeste,ES,Espírito Santo,2,2018-03-25,2018-07-08,2018-04-08,16,733,61,10,6.206126513159222,0.038160424545430845,0.611183355006502,78,0.1282051282051282,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,ES,Espírito Santo,3,2019-03-17,2019-08-25,2019-05-05,24,2056,149,19,4.535290720807352,0.17405623293729908,0.5410821643286573,78,0.24358974358974358,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,ES,Espírito Santo,4,2019-10-13,2020-03-29,2020-03-01,25,5631,464,6,3.000559126914335,0.11080666720971673,0.9828136073706591,78,0.07692307692307693,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,ES,Espírito Santo,5,2022-02-20,2022-07-31,2022-05-01,24,2015,150,17,5.0557037816767005,0.07383622520977359,0.584246218049035,78,0.21794871794871795,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,ES,Espírito Santo,6,2022-11-06,2024-12-29,2024-03-10,113,41511,1348,55,29.50807230914292,0.24691719996976086,0.3323525155564131,78,0.7051282051282052,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,MG,Minas Gerais,1,2017-01-15,2017-06-25,2017-03-19,24,18584,2002,37,4.3484877777172715,0.1765354970553731,0.7667165135654774,811,0.04562268803945746,Asynchronous (localized/staggered),TRUE,FALSE,NA
Sudeste,MG,Minas Gerais,2,2018-01-07,2018-05-27,2018-04-08,21,11512,1136,20,3.03799990862512,0.10297516009359958,0.8607808415549372,811,0.02466091245376079,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,MG,Minas Gerais,3,2019-03-31,2019-05-12,2019-05-05,7,1706,274,27,4.01666429655511,0.07209454839877319,0.3850045998160074,811,0.03329223181257707,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,MG,Minas Gerais,4,2021-02-28,2021-06-13,2021-03-21,16,5115,383,24,5.043000516419561,0.11268907792414926,0.6338348495451365,811,0.029593094944512947,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,MG,Minas Gerais,5,2022-02-27,2022-06-12,2022-03-27,16,8614,829,38,2.8040760854071665,0.22602301532813054,0.5682722050375607,811,0.0468557336621455,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,MG,Minas Gerais,6,2022-11-20,2024-12-15,2024-02-25,109,332769,15102,369,24.717428975164857,0.20582873352917033,0.2341829692252396,811,0.45499383477188654,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,RJ,Rio de Janeiro,1,2016-02-21,2016-07-17,2016-04-10,22,17633,1840,29,1.0938316697009085,0.3269215052600364,0.8589868749322053,93,0.3118279569892473,Mixed / intermediate,TRUE,FALSE,NA
Sudeste,RJ,Rio de Janeiro,2,2018-01-07,2020-03-08,2019-05-05,114,148492,7411,72,24.999259514329797,0.38968480060681204,0.5228066646552013,93,0.7741935483870968,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,RJ,Rio de Janeiro,3,2024-01-07,2024-05-12,2024-02-25,19,4891,438,23,6.964160108039655,0.20181219966846103,0.6068902991840435,93,0.24731182795698925,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sudeste,SP,São Paulo,1,2021-01-31,2021-05-23,2021-03-14,17,22517,2165,18,1.4421012510834277,0.2842597951252427,0.8406870860927153,611,0.029459901800327332,Asynchronous (localized/staggered),TRUE,FALSE,NA
Sudeste,SP,São Paulo,2,2024-01-07,2024-06-23,2024-05-05,25,22804,1345,98,5.846215379523611,0.18863020485654947,0.3350889019971349,611,0.16039279869067102,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sul,PR,Paraná,1,2016-02-14,2016-04-03,2016-02-28,8,1526,298,21,2.409206147411362,0.2098638463013116,0.4489795918367347,352,0.05965909090909091,Asynchronous (localized/staggered),TRUE,FALSE,NA
Sul,PR,Paraná,2,2023-02-26,2023-05-14,2023-03-19,12,2771,317,18,2.23483624430142,0.25323117162141306,0.7548005908419497,352,0.05113636363636364,Asynchronous (localized/staggered),FALSE,FALSE,NA
Sul,RS,Rio Grande do Sul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No major epidemic detected,FALSE,FALSE,43
Sul,SC,Santa Catarina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No major epidemic detected,FALSE,FALSE,42
Centro-Oeste,DF,Distrito Federal,1,2016-01-24,2016-04-24,2016-02-28,14,636,66,1,NA,NA,1,27,0.037037037037037035,Single-municipality dominated,TRUE,FALSE,NA
Centro-Oeste,DF,Distrito Federal,2,2020-01-12,2020-06-14,2020-05-03,23,1291,87,1,NA,NA,1,27,0.037037037037037035,Single-municipality dominated,FALSE,FALSE,NA
