fit_id,observation_model,lambda_bar_q025,lambda_bar_median,lambda_bar_q975,sigma_year_q025,sigma_year_median,sigma_year_q975,cumulative_infections_median,S_end_2025_median,q_implied_median,q_implied_gt_one_probability,q_median,phi_median,kappa_median,hmc_gate,divergences,max_treedepth_hits,max_rhat,n_rhat_gt_1_01,min_bulk_ess,min_tail_ess,min_bfmi,elapsed_seconds
M1v2_NB_s0_75,NB,0.010122482091291851,0.013360313416018437,0.017699240278448523,1.0848138088648291,1.8458713465240566,2.5266470728878154,1228601.265847437,0.8757708181453285,0.16105387953630723,0,0.14583121613667,15.623626398321681,NA,FAIL,0,0,1.0091805830772267,0,256.66912615832405,203.84727777787376,0.1775237630793959,17.053736925125122
M1v2_SHAPE_foisd1_5,SHAPE,0.007703865265477539,0.012503709730302851,0.020199443383379333,0.021630726272011472,0.5784999262935464,1.6419349811447104,1162312.1521444942,0.881329716392649,0.17023912679882253,0,NA,NA,5.8061071275974,PASS,0,0,1.0059671138506678,0,646.0541473435646,1313.4429221332114,0.5384162250944227,17.857933044433594
M1v2_SHAPE_foisd2,SHAPE,0.006763904635775783,0.012603516425118817,0.023074622174230112,0.023554516285216626,0.663254339425124,1.729998052580679,1171129.896721233,0.8806327855658989,0.1689573478324988,0,NA,NA,6.357053311125021,PASS,0,0,1.0082778173144562,0,594.4491300616177,1257.734002555919,0.5496977031651795,19.616583108901978
M1v2_SHAPE_s0_5,SHAPE,0.00909004655927201,0.012400807568114224,0.017180671372175032,0.013280965206076498,0.3450148245383565,1.1959484534959242,1155426.758539395,0.8817872949499835,0.17125360708525067,0,NA,NA,4.798478311459085,PASS,0,0,1.0058587478680534,0,933.0836211364787,823.2139983520898,0.7536086437659664,19.83494997024536
M1v2_SHAPE_s0_75,SHAPE,0.009011249530256076,0.012447799363103761,0.01724578392808522,0.021611558145782642,0.588791070662759,1.6802516174577278,1156651.5088959911,0.881928492603703,0.17107227072958714,0,NA,NA,5.903106196225169,PASS,0,0,1.008542089089787,0,519.1170942580525,1505.699439874055,0.5663889980242176,21.61794900894165
M1v2_SHAPE_s1_0,SHAPE,0.008954755121835526,0.012461801536995842,0.017296036254099766,0.024875390652700852,0.8096401998141358,1.9406353591222743,1157019.7102907263,0.8821078074548903,0.17101783056591988,0,NA,NA,7.329080755351672,PASS,0,0,1.0082278973590117,0,560.9927892827727,1279.1259971480658,0.5093289121274005,14.199581861495972
