model,divergences,max_treedepth_hits,max_rhat,min_bulk_ess,bfmi_min,hmc_pass
A_case_only,4,90,1.0501756595193772,58.56637371139463,0.7176730557296934,FALSE
B_U14_serology,1,0,1.05465985752803,90.68918836901881,0.8307272893863882,FALSE
