q,divergences,max_treedepth_hits,max_rhat,min_bulk_ess,bfmi_min,hmc_pass,immune_2018_median,immune_2018_lo95,immune_2018_hi95,immune_2025_median,immune_2025_lo95,immune_2025_hi95,pe_state_window_median,geo_adjusted_recife_median,eta_geo_median,eta_geo_lo95,eta_geo_hi95,obs_2021_total,pred_2021_total_median
0.05,0,0,1.0181233633083302,154.48184036244498,0.7142256265773336,FALSE,0.032631272502806494,0.028324532564714507,0.03800463382135705,0.11009560610334226,0.10153738366466747,0.12124702777875758,0.03261172800857362,0.3099634032736862,2.5848615317518497,1.8750782658523697,3.2120187491781618,20121,19518
0.1,0,0,1.0261372474382526,154.22693919312715,0.7511382184164893,FALSE,0.016594247817113793,0.014073567345009853,0.019450167340360685,0.05537101763999539,0.051150235066776656,0.06091001058524476,0.01658582900691869,0.29653627014765116,3.2238730350747855,2.4392705335530587,3.8267683462464803,20121,19587.5
0.15,0,0,1.0191882463467954,102.7713052602025,0.8454832830542582,FALSE,0.011005951396579384,0.00940092024180595,0.013211353683327818,0.036930839908808286,0.03388158571166816,0.040318125329278254,0.01100206327606424,0.2868568351646943,3.58752163307624,2.7487860550604357,4.228014450042977,20121,19676
0.2,0,0,1.0092149967748214,141.85033368897413,0.8614393109970294,TRUE,0.00841749320208086,0.00697118830794685,0.010172736308643156,0.02786824320880286,0.025133325326955683,0.030774845820049253,0.00841441326623084,0.2897464247680586,3.88779974548011,3.118454616472195,4.486397790046999,20121,19444
0.25,0,0,1.0154411352592374,78.81299053521609,0.8062435787377735,FALSE,0.006732957409852074,0.005691710808885247,0.007995251167406537,0.022224421225988097,0.020220090678051004,0.024629058931259072,0.006732901240660056,0.27902172606792996,4.04583109785915,3.296245712843517,4.710594199320524,20121,19622
0.3,0,0,1.0223641647415507,164.36858153264495,0.6513729271572313,FALSE,0.005692703314145861,0.0048460290252599235,0.006833493766613003,0.018703629722771627,0.01683849402059188,0.020412056161481527,0.00569243146009674,0.2726012922199564,4.191721793627549,3.418090679198188,4.726117098665947,20121,19453
