sero_id,name_muni,observed_prevalence,R_survey,p_case_implied_q0.05,p_case_implied_q0.1,p_case_implied_q0.136,p_case_implied_q0.15,p_case_implied_q0.2,p_case_implied_q0.25,p_case_implied_q0.3,p_case_implied_q0.359
U03,Riachão do Jacuípe,0.2,0,0,0,0,0,0,0,0,0
U04,Salvador,0.11794582392776523,2.5549637665777747e-5,5.109927533155549e-4,2.5549637665777747e-4,1.8786498283660107e-4,1.7033091777185166e-4,1.2774818832888874e-4,1.0219855066311099e-4,8.516545888592583e-5,7.116890714701322e-5
U19,Salvador,0.061170212765957445,5.68262977667005e-5,0.0011365259553340098,5.682629776670049e-4,4.178404247551507e-4,3.788419851113367e-4,2.8413148883350245e-4,2.27305191066802e-4,1.8942099255566834e-4,1.582905230270209e-4
U20,Salvador,0.04747774480712166,5.68262977667005e-5,0.0011365259553340098,5.682629776670049e-4,4.178404247551507e-4,3.788419851113367e-4,2.8413148883350245e-4,2.27305191066802e-4,1.8942099255566834e-4,1.582905230270209e-4
U21,Salvador,0.2262295081967213,5.68262977667005e-5,0.0011365259553340098,5.682629776670049e-4,4.178404247551507e-4,3.788419851113367e-4,2.8413148883350245e-4,2.27305191066802e-4,1.8942099255566834e-4,1.582905230270209e-4
U22,Salvador,0.0436241610738255,5.68262977667005e-5,0.0011365259553340098,5.682629776670049e-4,4.178404247551507e-4,3.788419851113367e-4,2.8413148883350245e-4,2.27305191066802e-4,1.8942099255566834e-4,1.582905230270209e-4
