quantity,median,lo50,hi50,lo95,hi95,section
C_total / q / N_start (crude),0.047207070475089166,0.03740228708460097,0.05928602181625314,0.02455270977525845,0.09214621204553108,3_state_arithmetic_vs_posterior
C_total / q / N_mean (crude),0.04634676644077457,0.03672066591752485,0.058205590363216875,0.024105259953432358,0.09046693482769542,3_state_arithmetic_vs_posterior
C_total / q / N_end (crude),0.04581344202938577,0.03629811157252443,0.05753580335100603,0.023827874397474174,0.08942590805339427,3_state_arithmetic_vs_posterior
"sum(X)/N_T (posterior, Stan)",0.045952887054521135,0.03639858165677079,0.05785985631767776,0.0239873267633244,0.09042983227747595,3_state_arithmetic_vs_posterior
"final immune fraction U[T]/(S[T]+U[T]) (posterior, Stan)",0.04378429474468176,0.034661900928371056,0.05512952402790371,0.02284342280164339,0.08611054762237667,3_state_arithmetic_vs_posterior
sum(X) / (C_total/q),1.0030865210473232,0.9781352979889428,1.0286684439798304,0.932963882436936,1.077814461309716,3_ratios
final_immune_fraction / (C_total/q/N_mean),0.9449915137741645,0.9213127595680672,0.9692736095653656,0.8791363026798252,1.0154122147552258,3_ratios
