sero_id,name_muni,observed_prevalence,R_survey,median,lo50,hi50,lo95,hi95
U03,Riachão do Jacuípe,0.2,0,0,0,0,0,0
U04,Salvador,0.11794582392776524,2.5549637665777747e-5,1.8829989418918587e-4,1.4919050535407353e-4,2.3648050011468427e-4,9.793602115553055e-5,3.675534576385936e-4
U19,Salvador,0.06117021276595744,5.68262977667005e-5,4.1880773405117275e-4,3.318224779590835e-4,5.259687628969837e-4,2.1782467419193623e-4,8.174950463946336e-4
U20,Salvador,0.04747774480712166,5.68262977667005e-5,4.1880773405117275e-4,3.318224779590835e-4,5.259687628969837e-4,2.1782467419193623e-4,8.174950463946336e-4
U21,Salvador,0.2262295081967213,5.68262977667005e-5,4.1880773405117275e-4,3.318224779590835e-4,5.259687628969837e-4,2.1782467419193623e-4,8.174950463946336e-4
U22,Salvador,0.0436241610738255,5.68262977667005e-5,4.1880773405117275e-4,3.318224779590835e-4,5.259687628969837e-4,2.1782467419193623e-4,8.174950463946336e-4
