sero_id,muni6,name_muni,R_survey,window_start,window_end,n_positive,n_tested,observed_prevalence,sero_wilson_lo,sero_wilson_hi,q_implied,q_implied_low_untruncated,q_implied_high_untruncated,q_implied_low_clamped,q_implied_high_clamped
U03,292630,Riachão do Jacuípe,0,2016-04-03,2016-04-24,24,120,0.2,0.13824476478840259,0.28036673506281956,0,0,0,0,0
U04,292740,Salvador,2.5549637665777747e-5,2016-11-06,2017-02-26,209,1772,0.11794582392776523,0.10374801905699915,0.1337965301624068,2.1662180834334052e-4,1.9095889583059235e-4,2.4626626992984587e-4,1.9095889583059235e-4,2.4626626992984587e-4
U19,292740,Salvador,5.68262977667005e-5,2018-03-04,2018-10-28,23,376,0.061170212765957445,0.04110338003122043,0.09011309901095282,9.289864330556256e-4,6.306108478168476e-4,0.0013825212847103471,6.306108478168476e-4,0.0013825212847103471
U20,292740,Salvador,5.68262977667005e-5,2018-03-04,2018-10-28,16,337,0.04747774480712166,0.029432602141146683,0.07572320532636326,0.0011969038967111292,7.504476008613472e-4,0.001930726257032419,7.504476008613472e-4,0.001930726257032419
U21,292740,Salvador,5.68262977667005e-5,2018-03-04,2018-10-28,69,305,0.2262295081967213,0.18284890954448876,0.2764205789571953,2.5118870751947325e-4,2.0557911419287004e-4,3.107828091962132e-4,2.0557911419287004e-4,3.107828091962132e-4
U22,292740,Salvador,5.68262977667005e-5,2018-03-04,2018-10-28,13,298,0.0436241610738255,0.025668741280740936,0.07319593733990255,0.00130263359495975,7.763586318023938e-4,0.002213832659154847,7.763586318023938e-4,0.002213832659154847
