q,total_implied_infections,implied_statewide_attack_fraction_Nmean,implied_statewide_susceptible_fraction_Nmean
0.05,1849960,0.12577203982414387,0.8742279601758561
0.1,924980,0.06288601991207193,0.937113980087928
0.136,680132.3529411764,0.046239720523582294,0.9537602794764177
0.15,616653.3333333334,0.04192401327471462,0.9580759867252854
0.2,462490,0.03144300995603597,0.968556990043964
0.25,369992,0.025154407964828773,0.9748455920351712
0.3,308326.6666666667,0.02096200663735731,0.9790379933626427
0.359,257654.59610027855,0.01751699718999218,0.9824830028100078
