state,calendar_year,wave_id,wave_order,is_recurrence,onset_week,peak_week,end_week,total_cases,cumulative_incidence_per_100k,weeks_since_previous_wave,previous_wave_total_cases,preceding_trough_ratio,re6_prefit_eligible,re6_fit_status,re6_fit_pass,re6_analysis_usable,Re_early_4_median,Re_early_4_q025,Re_early_4_q975,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_8_median,Re_early_8_q025,Re_early_8_q975,susceptibility_timing_status,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,usable,n_major_waves,event_status,map_Re
AL,2021,AL_wave_07,4,TRUE,2021-05-02,2021-11-07,2022-01-02,506,15.72490411,483,1499,0.076923077,TRUE,fitted,TRUE,TRUE,NA,NA,NA,2.061309194786059,1.248354084322722,3.436729366484576,1.9512563052363805,1.2929394228174027,2.9961602487062784,retrospective_smoothed,0.9364452926915638,0.9503912676026004,0.9567434548715356,0.9632979638418956,0.9743728276949304,TRUE,1,recurrent_usable,2.061309194786059
AL,2022,AL_wave_08,5,TRUE,2022-03-27,2022-06-26,2023-10-29,11187,347.5953021,84,506,0.138281153,TRUE,fitted,TRUE,TRUE,3.0341879546346515,2.1070574503254504,4.606087906965456,2.683937235275871,1.942086693081192,3.89409675906545,2.513153529547072,1.8560899933512536,3.487782883256092,retrospective_smoothed,0.929293540872924,0.944141094562021,0.9514528617135514,0.9590218513246545,0.971858022324354,TRUE,1,recurrent_usable,2.683937235275871
AL,2023,AL_wave_09,6,TRUE,2023-11-05,2024-02-25,2024-08-11,368,11.42875119,7,11187,0.152613322,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.9049571406826123,0.923230382142164,0.930928758411871,0.9378776038321046,0.9495788604417936,FALSE,1,major_re_unavailable,NA
AL,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AL,2025,AL_wave_10,7,TRUE,2025-03-23,2025-08-03,2025-12-28,3871,120.1857399,224,368,0.203389831,TRUE,fitted,TRUE,TRUE,1.6257042099604622,1.0402965759529164,2.6089256848893045,1.6588488845154203,1.1237282416974872,2.518685989303087,1.5949691240176591,1.1401465925715175,2.287121052926946,retrospective_smoothed,0.8999090141323098,0.9182308232683912,0.9259474244253828,0.9333927414787082,0.945969554937228,TRUE,1,recurrent_usable,1.6588488845154203
AM,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
