iter,AIC_climate,AIC_climate_S,AIC_gate,dev_expl_climate,dev_expl_climate_S,dev_expl_gate,edf_temp_climate,edf_precip_climate,edf_S,p_S
1,97.47213278505076,97.13688902336399,95.1567835765444,0.15175096286864687,0.1694020700739766,0.144600380969565,1.0000085319587195,1.0000184166622843,1.0000047968638937,0.12890843053904905
2,108.87330225576207,110.26944925120247,108.1112628896171,0.13916261896681467,0.14966768709674916,0.1297430966433828,1.0000628691071303,1.000015777731595,1.2360989856061728,0.46828274818198795
3,98.16869814855099,89.30041515737051,92.45451394144692,0.21173959588357816,0.2965646050484965,0.21307690367059035,1.00002487117002,1.0000361602656938,1.0000043570902022,8.082188937715284e-4
4,105.16046175057483,99.86462121898589,99.93764912687797,0.2157637054342923,0.2616141571620058,0.21141971913669022,1.0000746688551014,1.913440733227287,1.000005964211332,0.007587119013253929
5,89.61057173827713,87.04725725985604,85.81468191280722,0.18164505256568916,0.2129533373144006,0.1764423963704955,1.000001249843099,1.0000026602992356,1.000028600851772,0.036188755742484535
6,110.35612051534885,112.1281260365481,111.52101506247811,0.19522609997244342,0.19883205460542108,0.19866897638369976,1.4853240448781833,1.0000142967489822,1.0000120838102062,0.6560284856461162
7,115.96707399514871,114.41481151699597,112.75029158502265,0.14346559110935642,0.1781625320671818,0.13471787472109653,1.0000126399389586,1.0000199582160303,1.092213540748284,0.05550475951147943
8,86.956757154346775,86.7892167728472,84.79030264678843,0.19678439882169388,0.21944889170764698,0.18302941266019068,1.0000137403863565,1.0000156940780918,1.0000086415712763,0.10527432129387371
9,84.41997681901205,79.084167317744,79.15880166583293,0.23842487113443347,0.2907932577027856,0.23413803821907983,1.000363229478706,1.000028593788157,1.0000222601072826,0.006433355071027713
10,84.4667053209989,82.94919910677858,81.3857852908048,0.20886988562505399,0.23308622364869838,0.1985607298400946,1.0000436891205688,1.000013138553385,1.0000017290987113,0.06316325734613992
11,96.70174727160995,92.7754682673931,92.52730843089564,0.17952120572829514,0.22507250430926018,0.18199258994862227,1.5297699668798355,1.7648985341519783,1.000025960491136,0.018586981446792328
12,85.07738681808941,84.2379259497675,82.69794780988518,0.24970677180628903,0.3005417677578802,0.2667442899815585,1.42634778344583,1.2944832887473932,1.0000418725579077,0.058090854363249234
13,105.09432982244758,92.0427241933009,96.34034043766289,0.3384899215973316,0.43321748620759315,0.3727093363921635,1.4480640293384548,1.0001068258943648,1.000029679095131,0.009962108568150885
14,99.42108482065893,101.07326839991417,99.5353428006139,0.19124181189207404,0.19364245800736352,0.17948234456883472,1.000002975595515,1.0000057586593325,1.0000050600251087,0.5630606716264905
15,114.79615475385589,114.29195037642793,112.52105184313737,0.16925382526660557,0.19401848203582822,0.16310167077252813,1.00005084778053,1.0000627467574252,1.000005880088431,0.0929698721579062
16,94.71663708403233,95.15340159037977,93.16838422062507,0.17921236939758475,0.1901060616068171,0.16860136481883334,1.0000011178101558,1.000001645555322,1.000001734985689,0.2201891640244138
17,118.40130191868765,115.38176870813186,114.73538107716584,0.17946409999187315,0.21392342684273258,0.17290783821714745,1.0000029592062387,1.0000053529280353,1.0000337671971615,0.028025812800210992
18,104.99817949088114,105.45811402843546,103.50969611449305,0.18717775792279262,0.20071509804542817,0.18532778668868896,1.671007475988305,1.0000071595582576,1.0000017109712993,0.24008408279357285
19,109.31226697399269,105.11265163172733,105.12255363569278,0.17957505492547365,0.22191558531765251,0.17163464934279338,1.0000030684616337,1.0000062883997092,1.0000049919960234,0.014623452698043382
20,93.06032976162709,91.29437128214926,89.76390794522523,0.2588687135366187,0.28276098468619304,0.254052258335904,1.0000029897199605,2.5209015519528535,1.0000021207147238,0.06788776514207678
21,97.26904817164902,98.0359529011415,96.02475539990051,0.24053057461532867,0.2471284698687476,0.22920028682542848,1.000003244078072,1.8897086995352372,1.0000049374927893,0.25975768580990827
