state,wave_id,wave_order,is_recurrence,onset_week,onset_year,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_4_median,Re_early_8_median,S_prop,S_prop_q025,S_prop_q975,susceptibility_source,susceptibility_time_resolution,temp_pre6_2,precip_pre6_2,temp_pre4_1,precip_pre4_1,temp_pre8_4,precip_pre8_4,weeks_since_previous_wave,previous_wave_total_cases
AC,AC_wave_22,3,TRUE,2023-11-26,2023,5.991802782255448,3.676698143438098,9.920569685113694,NA,4.213425550925132,0.9486057673803228,0.924419360882075,0.9658997381986504,M0_mean_preserving_annual_shape,weekly_at_onset,27.870506422639824,127.48759154781756,27.263527381607705,162.51551322829948,28.286283308921146,123.3736446009411,959,169
AL,AL_wave_02,1,FALSE,2016-01-31,2016,1.7370577571180097,1.2194315350518932,2.546849223880771,1.949455628149896,1.569642784557387,0.9949199779290964,0.9881705365823612,0.9990731938679772,M0_mean_preserving_annual_shape,weekly_at_onset,26.454775811707677,87.96385670005778,26.612344522665715,79.06617913303401,26.66358463242496,45.61753528423888,NA,NA
AL,AL_wave_04,3,TRUE,2019-02-03,2019,1.501852490321177,0.9932564872413956,2.3363902788641213,1.519440722689614,1.3843609115265545,0.9688100750239266,0.95147440267455,0.9822145264814012,M0_mean_preserving_annual_shape,weekly_at_onset,26.24647597548714,69.52298820534318,26.037193754239944,70.76305798952251,26.108316567838525,63.5609272176239,133,167
AL,AL_wave_07,4,TRUE,2021-05-02,2021,2.061309194786059,1.248354084322722,3.436729366484576,NA,1.9512563052363805,0.9567434548715356,0.9364452926915638,0.9743728276949304,M0_mean_preserving_annual_shape,weekly_at_onset,25.633535933094887,223.42215394803182,25.449359143003008,138.84054917222127,26.301652655390143,141.01975789892518,483,1499
AL,AL_wave_08,5,TRUE,2022-03-27,2022,2.683937235275871,1.942086693081192,3.89409675906545,3.0341879546346515,2.513153529547072,0.9514528617135514,0.929293540872924,0.971858022324354,M0_mean_preserving_annual_shape,weekly_at_onset,26.409652709578687,99.6787096177879,25.949786269611156,116.4722696584712,26.77782556918753,66.89143867051853,84,506
AL,AL_wave_10,7,TRUE,2025-03-23,2025,1.6588488845154203,1.1237282416974872,2.518685989303087,1.6257042099604622,1.5949691240176591,0.9259474244253828,0.8999090141323098,0.945969554937228,M0_mean_preserving_annual_shape,weekly_at_onset,26.385121832955882,57.39202619862186,26.609077058690495,45.58738797126887,26.256677738274227,79.25321919490874,224,368
BA,BA_wave_02,1,FALSE,2016-01-24,2016,2.6680929501253607,1.9046696074161815,3.877725191464171,2.2144369374520414,2.5555423112923146,0.9940400779052048,0.9879057163856468,0.9985419280330244,M0_mean_preserving_annual_shape,weekly_at_onset,26.478468100508145,116.56532763652154,25.87285939066813,218.22834208106505,27.13163053794441,20.545712218134238,NA,NA
BA,BA_wave_03,2,TRUE,2016-10-16,2016,1.1734559394706694,0.8080042933447998,1.784439942802693,1.2762211272069552,1.0966729345121875,0.985329034914108,0.9762327047598836,0.9937603858707252,M0_mean_preserving_annual_shape,weekly_at_onset,24.200200648515867,68.98334208719704,24.674191968079562,67.3368821258126,23.549320926472937,61.67653209615355,49,5863
BA,BA_wave_04,3,TRUE,2017-11-12,2017,1.3694102602910896,0.9280394745589228,2.074337148908747,1.7994658217312074,1.3958629531906357,0.9758463143488154,0.9639122293689394,0.9877049479467708,M0_mean_preserving_annual_shape,weekly_at_onset,24.605357593848417,51.153787688524766,24.912191649949452,55.05475954691579,23.59959695902548,41.61826781973711,21,6655
BA,BA_wave_05,4,TRUE,2019-02-03,2019,1.0722555596883585,0.7318522067965211,1.6286951722682403,1.2177253386388638,1.1650761300070265,0.9680739551204828,0.953096881517905,0.9828310680116416,M0_mean_preserving_annual_shape,weekly_at_onset,26.372852650989454,28.54635417492703,26.428708279382825,27.83420057378675,25.65506401638342,44.45567093730552,49,3383
BA,BA_wave_06,5,TRUE,2020-01-19,2020,1.459620676899967,1.0379580909196708,2.1244308749921457,1.5512239454231178,1.4983377401906828,0.9597148547237744,0.9420108141296796,0.9768459572456702,M0_mean_preserving_annual_shape,weekly_at_onset,26.416240018333898,80.25721989613801,26.530939421934438,68.26426898024623,26.68574801028162,53.53547233851813,35,5711
BA,BA_wave_07,6,TRUE,2021-01-03,2021,2.8219228702929304,1.996569018758673,4.115175892497589,3.3365730432339777,2.49390515929435,0.9480366290864446,0.9273600392421733,0.9657869141149628,M0_mean_preserving_annual_shape,weekly_at_onset,25.359752010298404,43.348173737612896,25.846362697952777,21.040472537592763,25.17827427052283,73.21377399682495,14,18760
BA,BA_wave_08,7,TRUE,2021-12-05,2021,1.9509810772173637,1.3806884022790014,2.8416752801552843,1.869237604501242,1.94753084347869,0.9392033400841188,0.915820929952749,0.9577038903592122,M0_mean_preserving_annual_shape,weekly_at_onset,24.99936072189344,154.87876043458533,24.950653061841233,137.87858846198444,25.539690998125323,139.70407755307804,42,9546
BA,BA_wave_09,8,TRUE,2022-11-06,2022,1.8480614056425169,1.3062062337117826,2.7519658300357652,1.7486471105048853,1.584945856554567,0.9290221634542236,0.9037678313118096,0.94819000471092,M0_mean_preserving_annual_shape,weekly_at_onset,24.967759436098472,77.0090738559896,24.698866723189003,119.97955322449863,24.67995436238259,34.36546324927704,35,13897
BA,BA_wave_10,9,TRUE,2024-01-21,2024,2.536639210128031,1.826916662081009,3.658050871406114,2.192799974417948,2.445062176922194,0.9188559524327924,0.8915780564215948,0.9391371006517084,M0_mean_preserving_annual_shape,weekly_at_onset,26.82414711882171,107.0107167533633,27.100556537812302,50.80569647190735,26.972343239355865,72.99802263421633,28,12629
CE,CE_wave_02,1,FALSE,2016-03-13,2016,2.2070065834740946,1.57442714971276,3.1913516286055064,2.1913598268442445,2.28062126518745,0.9929618818050858,0.98338023136130015,0.9993210133001412,M0_mean_preserving_annual_shape,weekly_at_onset,26.531575622656224,137.09416871334852,27.02892640608831,102.33655131765136,25.864397256753488,241.14248529977934,NA,NA
CE,CE_wave_03,2,TRUE,2017-02-12,2017,2.0970421266971613,1.4914926315291894,3.088328977604876,2.0000676143855927,2.11202146527666,0.9778634640528332,0.958163963133687,0.9920418899331316,M0_mean_preserving_annual_shape,weekly_at_onset,27.029653299016072,101.07003506898833,26.795960549258016,120.66850769075643,27.289787231826473,78.4501758272455,56,30516
CE,CE_wave_04,3,TRUE,2018-12-30,2018,1.6170346314445174,1.097571094752463,2.4365354166987028,1.907091549250418,1.5879126671497388,0.944482753305598,0.8939684844706312,0.9662562801769696,M0_mean_preserving_annual_shape,weekly_at_onset,27.1975162116559,87.06440296468588,26.41297351209868,94.53073337740814,27.903491300107184,48.90789248226706,14,106695
CE,CE_wave_05,4,TRUE,2019-09-22,2019,1.0029392098604584,0.6609838907084242,1.5541638635634345,1.2585856848401893,0.9141513583168476,0.9358495342838872,0.8906880365030935,0.958831849324034,M0_mean_preserving_annual_shape,weekly_at_onset,27.14594834566733,4.659994538803194,27.319495235305585,3.6279146610413773,26.76551575267192,6.52897908928668,14,1094
CE,CE_wave_06,5,TRUE,2022-01-23,2022,2.404426179398206,1.7235641397104933,3.4800158165489123,2.529381222078893,2.247258715369899,0.9192633898532871,0.8816516453589923,0.9447454934248588,M0_mean_preserving_annual_shape,weekly_at_onset,27.248593354898027,95.63051482600581,26.34144980505677,112.40445630438465,28.182922668140126,52.15000573732914,399,1119
CE,CE_wave_07,6,TRUE,2024-01-07,2024,1.7160978478078874,1.1629213475499542,2.616985139099283,1.7651811295201152,1.7560322419421803,0.8947803464831516,0.8540932621881849,0.9243975596737184,M0_mean_preserving_annual_shape,weekly_at_onset,28.021849067576763,52.971847442516165,27.77860488489877,67.54148014297093,28.41407164807038,19.956405131727966,21,52761
CE,CE_wave_08,7,TRUE,2025-01-19,2025,1.3070673248567606,0.8334308999551633,2.0819756199966752,1.513582106490489,1.3290131764444348,0.8879148348756793,0.8489210454369766,0.9172360199313024,M0_mean_preserving_annual_shape,weekly_at_onset,28.257876352967518,39.16552608339137,27.65687605585718,134.5626133535818,28.050697814028098,32.0488899076471,35,882
DF,DF_wave_13,2,TRUE,2022-12-25,2022,2.3549508475773244,1.5468566129474841,3.679092251722724,2.340047026844069,1.8860641736244144,0.9209224404834718,0.8619794926314708,0.9580306219895424,M0_mean_preserving_annual_shape,weekly_at_onset,21.54478977748328,300.20929814781994,21.185951941353956,257.07206735387444,21.718514142717655,251.07112986734137,49,471
ES,ES_wave_02,1,FALSE,2016-12-18,2016,2.6993524440215397,1.718747970909903,4.272909083049022,3.74675897037264,2.422074533082019,0.9892598960716028,0.9707176550302952,0.9978779929517754,M0_mean_preserving_annual_shape,weekly_at_onset,23.71454291757649,255.40876957163835,23.973927197331285,179.9072975676929,23.250980443963805,240.46155454455422,NA,NA
ES,ES_wave_03,2,TRUE,2017-07-30,2017,1.102036843199962,0.6974363615059742,1.7510024120198535,1.0520434280737536,1.0795611550892352,0.9798896233996554,0.9560816781459708,0.9946532685045504,M0_mean_preserving_annual_shape,weekly_at_onset,19.78090925289256,82.58548482115135,19.32085111196797,59.96865481605788,20.861264188582837,64.62661807663372,14,629
ES,ES_wave_04,3,TRUE,2018-12-23,2018,1.5179686921513635,0.9908321500794504,2.370790304986947,1.508141917062925,1.3403598770990692,0.9699620646401176,0.939416856993377,0.9907228266489326,M0_mean_preserving_annual_shape,weekly_at_onset,23.69770971989738,159.68037759176636,24.257578879541313,124.90954910310936,23.35486612274086,179.82000651108876,56,626
ES,ES_wave_05,4,TRUE,2019-12-01,2019,2.900755523895935,2.067978641048868,4.248144348838886,3.472944640460464,2.5498958412352124,0.962305573271961,0.93073697331517,0.9862006704995008,M0_mean_preserving_annual_shape,weekly_at_onset,24.299967282198523,217.580573624338,24.00275343302072,214.2632565791659,24.343326596409252,55.719841644166536,70,1127
ES,ES_wave_09,6,TRUE,2022-12-04,2022,1.7250589050763958,1.1804311422464102,2.587002435312551,1.6319792286271655,1.6095453857714248,0.9281660355453488,0.8840024146940512,0.9660056520509376,M0_mean_preserving_annual_shape,weekly_at_onset,22.557211033426675,312.9913262547714,22.682028520734672,316.3031814053522,22.984955209328486,140.81313347576253,84,941
ES,ES_wave_10,7,TRUE,2024-01-14,2024,2.3728688705694765,1.6696894876695902,3.5176315962265137,2.55947222497768,2.267097647863233,0.9117836019342856,0.8676135114725667,0.9511767225795316,M0_mean_preserving_annual_shape,weekly_at_onset,25.575694984483214,192.41440301930058,25.523906312911635,171.69691876525323,25.75308711485426,91.58582366801636,21,5013
ES,ES_wave_11,8,TRUE,2024-11-17,2024,1.3465957002992042,0.9381612300919486,2.0164480956217967,1.5398528211030902,1.505056244995288,0.8832554472156875,0.8452480779442407,0.9141349858387308,M0_mean_preserving_annual_shape,weekly_at_onset,23.414999469116278,216.33440004062112,23.44249544051797,223.61997483297384,23.873816394884727,125.68926776756174,49,11777
GO,GO_wave_15,1,FALSE,2021-11-28,2021,1.9651509078894964,1.3594626109529058,2.9547164872175213,2.1241711912695602,2.1567165920536646,0.9615919964676104,0.922344663766741,0.9928102783779346,M0_mean_preserving_annual_shape,weekly_at_onset,23.637666926921504,262.84541151318797,23.394723621973732,227.2824115271004,25.113709420976058,152.19318898221448,NA,NA
GO,GO_wave_16,2,TRUE,2022-12-25,2022,1.9365642686158768,1.316446050771139,2.9233969734991025,1.892636674101598,1.809823959554296,0.9453600546331276,0.905369086843176,0.9800040819975276,M0_mean_preserving_annual_shape,weekly_at_onset,23.35968626130048,266.6156380717162,22.714578527293618,270.4329205891525,23.52962207586471,178.59108692881978,7,4122
GO,GO_wave_17,3,TRUE,2023-11-12,2023,2.052078188391749,1.4450880074512753,3.0255533262610608,1.81882178103589,1.8721414553821616,0.937928043124224,0.8977660162236523,0.9732662071909044,M0_mean_preserving_annual_shape,weekly_at_onset,27.332795710519846,81.29153842882475,27.557185172517762,44.01662562233881,27.923099405703017,56.400128202338855,42,1901
GO,GO_wave_18,4,TRUE,2024-10-20,2024,1.2964305277326518,0.8803525142963305,1.9762892958486424,1.230917094922646,1.206480081336835,0.9110418850057038,0.8720021841955462,0.9398015743421572,M0_mean_preserving_annual_shape,weekly_at_onset,28.501957232028822,18.624994175010997,28.12639586036712,69.91029607573823,26.99031779587798,0.8813905731179674,7,10985
MA,MA_wave_02,1,FALSE,2016-02-28,2016,2.8994752525778673,2.0584851732844207,4.256280755868049,3.4065704203308624,2.655629816367191,0.9933603432142252,0.9839236723157276,0.9983259297737288,M0_mean_preserving_annual_shape,weekly_at_onset,26.324222771897013,270.9449131577286,26.614906434077493,167.97242128206028,26.37982029843715,274.9490021544048,NA,NA
MA,MA_wave_03,2,TRUE,2016-12-25,2016,2.1809691322740736,1.5386952857763174,3.1829002254373377,2.1769417673219005,2.073969986004702,0.9714433328685814,0.9383834972918248,0.9861429080212588,M0_mean_preserving_annual_shape,weekly_at_onset,28.554842582890704,77.80795972659718,27.87936775075861,120.29452336393638,29.099815122833103,40.17262639867677,84,7016
MA,MA_wave_04,3,TRUE,2017-12-17,2017,1.6425741241809544,1.0795123121151855,2.5488079979839005,1.6355598579671424,1.312128868559844,0.9531218045991834,0.9095080859433802,0.9747093526622612,M0_mean_preserving_annual_shape,weekly_at_onset,28.70412357753,37.151041251741105,28.452140231911685,63.25388967020549,28.948952174894327,36.0340977201136,14,5048
MA,MA_wave_05,4,TRUE,2018-12-30,2018,1.5819908324619123,1.0256403440395263,2.4611348177150076,2.200356354733339,1.6440546869744606,0.943942012678036,0.9043245234149552,0.9662254565256446,M0_mean_preserving_annual_shape,weekly_at_onset,26.684628775903267,248.45517962156993,25.996037425086875,193.0116378151477,27.660226835730494,183.88523702235977,21,522
MA,MA_wave_09,6,TRUE,2022-11-27,2022,1.3169228050277133,0.8857939402952083,1.9825773853219195,1.2659137950258028,1.5300391971872007,0.9108242845296668,0.875225174735007,0.9379674537991132,M0_mean_preserving_annual_shape,weekly_at_onset,27.843860440309548,116.69100796884288,27.322618760986437,101.61187688496398,28.727913813413597,61.20325982469177,21,1770
MA,MA_wave_10,7,TRUE,2024-01-07,2024,1.9541179281324952,1.2985707814985916,3.0281539492523772,1.4763568942456016,2.046552871866736,0.8985294180692122,0.8589953812439712,0.9279215924278182,M0_mean_preserving_annual_shape,weekly_at_onset,28.692180442861115,70.57384667725354,28.106538740845338,101.37899792465309,29.06790050642716,41.710596824113765,21,2780
MA,MA_wave_11,8,TRUE,2025-01-05,2025,1.5945298240001744,0.9830769297172872,2.5939616782250794,1.8219178176069464,1.5492701571859522,0.8905611373431928,0.8496368600579949,0.9209056467257624,M0_mean_preserving_annual_shape,weekly_at_onset,28.558807298439284,61.71654949306576,28.4476298349269,67.17728334308481,28.69143293827242,59.33396261283399,7,793
MG,MG_wave_05,1,FALSE,2017-01-08,2017,2.700460179836658,1.9013725790609597,3.993819886803721,2.706623265871138,2.583002269824623,0.988551919444496,0.965175363894601,0.9983348926390292,M0_mean_preserving_annual_shape,weekly_at_onset,23.12225120065502,237.3134802593586,23.85567695527002,126.94756275335877,22.121156688901586,378.95172947962635,NA,NA
MG,MG_wave_06,2,TRUE,2017-12-24,2017,2.132168692367033,1.508872667789495,3.1144493186176567,2.6099318827719395,1.774970281226553,0.9761264962954652,0.9471470484077328,0.9948351785978656,M0_mean_preserving_annual_shape,weekly_at_onset,22.20677553038563,276.0833695857137,22.332036446898744,191.0007308745023,22.062207625608547,243.96799608878345,84,13438
MG,MG_wave_07,3,TRUE,2018-11-11,2018,1.3278919556028717,0.8833258200387161,2.024742547654851,1.6338437055478328,1.3095034380097481,0.96518605774531685,0.9297340402282576,0.9906595064932384,M0_mean_preserving_annual_shape,weekly_at_onset,23.3023255482118,128.25868635287637,22.269128372470746,189.67091002558152,23.635064192388548,99.6061532253042,14,11098
MG,MG_wave_08,4,TRUE,2019-12-01,2019,1.2733900297347116,0.8408361363350705,1.9492108199201592,0.99085126853427,1.4762035718863311,0.957653840429276,0.9143398934047676,0.9877742340000336,M0_mean_preserving_annual_shape,weekly_at_onset,24.10987341662728,159.11845499685614,23.701184402239527,160.22748192159443,24.420782038213947,88.41278600438064,49,1805
MG,MG_wave_09,5,TRUE,2020-09-27,2020,1.1790628104253862,0.8075255885868934,1.7765734728056837,1.2685979604809687,1.4599232767785937,0.9520622759955476,0.9057713126136502,0.9859858262878936,M0_mean_preserving_annual_shape,weekly_at_onset,21.56388093283153,10.943572021108258,22.857646867010317,18.1338114549484,19.585575265710915,11.934564840058227,49,1477
MG,MG_wave_10,6,TRUE,2022-01-02,2022,2.250081377186044,1.5830631897404253,3.3152309150973136,2.735954267765117,1.9976756579538573,0.9394903610683516,0.885212192685728,0.9820486698918962,M0_mean_preserving_annual_shape,weekly_at_onset,22.103129283814425,256.0591388717412,21.719674588855085,260.67062809900847,21.569229605315968,245.68077121571702,91,5920
MG,MG_wave_11,7,TRUE,2022-11-27,2022,2.563259316639064,1.8494753414380696,3.6767661565739833,2.965107845466411,2.3712085028681535,0.9333449009169186,0.8775098256429311,0.9791694251778038,M0_mean_preserving_annual_shape,weekly_at_onset,22.004866717984083,164.97208683502276,21.300887796366915,175.9163158268613,22.603885403914706,113.83283396500721,91,6046
MG,MG_wave_12,8,TRUE,2023-11-12,2023,1.787876912495542,1.270990701583916,2.6259840176310334,1.853121623185072,1.7590993209163934,0.9095015063814282,0.8545114206635394,0.9541155817790936,M0_mean_preserving_annual_shape,weekly_at_onset,24.492882553909357,147.44920027617468,24.14469558180409,102.22172694932452,24.888598467412695,62.489952084449406,77,77900
MG,MG_wave_13,9,TRUE,2024-11-17,2024,1.2001530132452003,0.8611993034951791,1.764319959447599,1.3885575072011171,1.3387540489191063,0.8726050083569463,0.8214068178604799,0.9118690346515108,M0_mean_preserving_annual_shape,weekly_at_onset,23.008041484895028,223.57937290253284,22.052070822413995,221.38793588274166,24.443215991409705,112.07087918542874,35,157143
MS,MS_wave_11,3,TRUE,2023-01-22,2023,2.682800425017297,1.8239130859837411,4.074557002419856,2.9502308966714805,2.400211770516347,0.9590629571343772,0.9055786783206048,0.9886863016465928,M0_mean_preserving_annual_shape,weekly_at_onset,25.650467537633418,178.30121995066156,25.557817055670974,156.46957130525263,26.479848609896013,139.89312003289945,147,246
MS,MS_wave_12,4,TRUE,2023-12-03,2023,1.8414092944849032,1.1966451536811815,2.9233543524777272,NA,1.6979738047226132,0.948259098534436,0.8946128660499791,0.9815977359160448,M0_mean_preserving_annual_shape,weekly_at_onset,28.779974471343124,111.96190077317462,29.04007716993146,69.00713806079622,27.95296384334617,101.90486013294863,63,1380
MS,MS_wave_13,5,TRUE,2025-01-12,2025,2.0590189010907665,1.456923456289407,3.0382258624864833,2.2818949965655277,1.9943928656768573,0.9393429732784316,0.8840031729964175,0.9765359233227852,M0_mean_preserving_annual_shape,weekly_at_onset,26.35168119423707,198.72499675828345,26.866299026951776,82.06705599294935,26.867805360592747,207.4974871234851,35,936
MT,MT_wave_05,1,FALSE,2016-12-11,2016,2.4129964511132727,1.6229526567563086,3.6965186315819887,2.692217373492233,2.2971795436688547,0.9905173589852728,0.980546463602528,0.9989677114268614,M0_mean_preserving_annual_shape,weekly_at_onset,25.952786459327513,255.93056253594108,25.879878767780117,193.1296694627876,26.23096699188062,218.18495445231378,NA,NA
MT,MT_wave_06,2,TRUE,2017-12-17,2017,3.665110571912772,2.6090741879831874,5.3110364660060085,4.301280011189625,3.0809289119863688,0.9808757804058224,0.9651823080618104,0.995946808295313,M0_mean_preserving_annual_shape,weekly_at_onset,25.931165815519062,288.7811763418911,25.657512313099144,255.71375994209302,26.30163510632482,222.21478179400322,77,2929
MT,MT_wave_13,4,TRUE,2024-01-07,2024,4.164370458958377,2.9539918874472675,6.138342002533675,4.930372596966729,3.538769952149478,0.939389433682826,0.9009321918748248,0.9795735662090076,M0_mean_preserving_annual_shape,weekly_at_onset,28.27418255959504,153.0974055737513,27.62656970393141,182.69468175671398,28.893252532976916,110.84865696604696,1288,247
MT,MT_wave_14,5,TRUE,2024-12-01,2024,2.682665377483171,1.8960105261756035,3.93450242144236,1.5333428668811775,2.614360091694623,0.9298932961024124,0.8903792787329852,0.9662621448986172,M0_mean_preserving_annual_shape,weekly_at_onset,26.381513089920855,228.7187693808163,26.047144317350245,184.09912836018844,27.826646674880518,185.55425442984512,56,19449
PA,PA_wave_04,1,FALSE,2016-04-24,2016,1.2813233515141416,0.8901547870763602,1.9367427862611688,1.5517121891944146,1.2399379287794905,0.9938962372761238,0.9848629922259784,0.9988670332527668,M0_mean_preserving_annual_shape,weekly_at_onset,26.030206650470348,430.5673990754163,26.08794904772705,341.112294304884,25.965017650510987,500.6709567321851,NA,NA
PA,PA_wave_05,2,TRUE,2017-10-22,2017,1.398212521532649,0.9773479483995852,2.073467813253369,1.6449643434085697,1.329589812179295,0.9665801840544336,0.9373535269055384,0.981671571087122,M0_mean_preserving_annual_shape,weekly_at_onset,28.487577038816404,51.45675303190622,28.297172650292662,42.994112176984615,28.574657735405342,37.51209546908003,14,8315
PB,PB_wave_03,1,FALSE,2016-02-07,2016,2.1902915892568937,1.5236389058431274,3.2433923760561076,2.277624474409375,2.067319080394655,0.9948631802802008,0.986231098674259,0.999211543283417,M0_mean_preserving_annual_shape,weekly_at_onset,25.7490775790213,160.8157552407613,25.498738370079895,132.17138170359172,26.187628471787537,105.8437119468372,NA,NA
PB,PB_wave_04,2,TRUE,2016-12-18,2016,2.139522639709502,1.3815081606487838,3.408095176940552,2.5989575010317307,1.894717895395692,0.9794569556305406,0.9611165967485088,0.9919930744005306,M0_mean_preserving_annual_shape,weekly_at_onset,27.056372665810056,15.551763292993858,27.217262848818496,11.200928571836329,26.62943570267238,20.864888077857305,14,7712
PB,PB_wave_05,3,TRUE,2017-12-31,2017,1.2166451451471605,0.7851600119738364,1.9310313684066915,1.4322267349620663,1.3398232736927396,0.9706722272772929,0.9516747219496178,0.9863535851024868,M0_mean_preserving_annual_shape,weekly_at_onset,26.78771464622794,24.137252695053636,26.90072461290549,23.719911070864864,26.56806584059444,17.47110496036155,14,1368
PB,PB_wave_06,4,TRUE,2018-12-30,2018,1.7353128570605485,1.1274166982187386,2.6837155457480852,1.9968104871156211,1.4716046525031918,0.9634956314376384,0.9423650777059324,0.9823215276523012,M0_mean_preserving_annual_shape,weekly_at_onset,26.59533576813873,49.07761766040824,26.58869997739284,37.060369118057565,26.838232497033108,38.76633374231737,14,621
PB,PB_wave_07,5,TRUE,2020-03-08,2020,1.1764244407012772,0.7569301923822344,1.848170554260973,1.1118515375856095,1.3119027116874205,0.9548905710473808,0.9303880742794534,0.9772352103814108,M0_mean_preserving_annual_shape,weekly_at_onset,26.910023330296262,117.36725733465391,26.79150275704142,128.72513678966962,27.051796438769955,88.8226829697324,42,1137
PB,PB_wave_08,6,TRUE,2021-01-03,2021,3.079000862611397,2.163342539500812,4.6107458409846105,3.687464533443075,2.624377241604912,0.9469828010397864,0.920094517682178,0.9731221921272136,M0_mean_preserving_annual_shape,weekly_at_onset,26.75208447860627,24.31402156032858,26.850674667352173,19.251039666728488,26.75408320808767,27.36240083715493,14,1208
PB,PB_wave_09,7,TRUE,2022-01-23,2022,1.9309390836386304,1.387289090446952,2.8081508158289092,2.120014154107646,1.7932509357183186,0.9322252877813512,0.904934612688414,0.9577975655135886,M0_mean_preserving_annual_shape,weekly_at_onset,26.63841642764409,79.80096695849319,26.316139379894654,67.66632575914491,27.10269546595961,53.57298166555392,28,9266
