state,anchor_week,temperature_summary,precipitation_summary,S_week,climate_in_training_support,R_climate_hat,R_climate_lower,R_climate_upper,S_pre_median,S_pre_lower,S_pre_upper,first_wave_end,R_pred_median,opportunity_id,state_name,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k,outcome_status_8w
BA,2017-01-22,26.50458776220052,47.00648020679329,2016-12-11,TRUE,2.106717610714083,1.805027081821603,2.4588324108765387,0.9962958153852538,0.9925286088122023,0.9981414800061236,2016-08-28,2.098913939752861,BA_20170122,Bahia,2017-01-29,2017-03-05,2017-03-19,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-01-29,26.493897614533452,38.39121529495798,2016-12-18,TRUE,2.0902205990787923,1.785161040440827,2.4474106558668907,0.9962622917039357,0.9924610258183229,0.9981225439743987,2016-08-28,2.082407964205011,BA_20170129,Bahia,2017-02-05,2017-03-12,2017-03-26,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-02-05,26.49780664101756,27.921997618747792,2016-12-25,TRUE,2.0707951429271887,1.7610139445815067,2.43507016918591,0.9962207307710456,0.9923783581370329,0.9980941337424946,2016-08-28,2.0629690505640554,BA_20170205,Bahia,2017-02-12,2017-03-19,2017-04-02,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-02-12,26.152113013000214,30.89654887317858,2017-01-01,TRUE,2.067159455021062,1.7656521886704044,2.420152870368426,0.9961681440946502,0.9922764629176528,0.9980620575683528,2016-08-28,2.05923839785604,BA_20170212,Bahia,2017-02-19,2017-03-26,2017-04-09,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-02-19,25.847320027334177,48.090613306081266,2017-01-08,TRUE,2.091102066171528,1.8011728107898686,2.4277003433275626,0.9961200436837534,0.9921881524146019,0.9980360235412538,2016-08-28,2.0829886815019694,BA_20170219,Bahia,2017-02-26,2017-04-02,2017-04-16,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-02-26,25.881108815445128,51.27992727904685,2017-01-15,TRUE,2.097997451961513,1.8092502485274602,2.43282725096732,0.9960536159572018,0.9920771590530064,0.9979956176514477,2016-08-28,2.089717948295261,BA_20170226,Bahia,2017-03-05,2017-04-09,2017-04-23,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-03-05,26.24671551312651,61.5579341636592,2017-01-22,TRUE,2.127351944800205,1.8377047074855,2.4626515231805395,0.9959756774680472,0.9919522275268616,0.9979556543635253,2016-08-28,2.118790794435352,BA_20170305,Bahia,2017-03-12,2017-04-16,2017-04-30,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-03-12,26.31636782205427,64.66703326434477,2017-01-29,TRUE,2.1351931737762553,1.8452646015016436,2.4706754172982257,0.995890408813726,0.9918134120279647,0.9979107404583132,2016-08-28,2.126418402728312,BA_20170312,Bahia,2017-03-19,2017-04-23,2017-05-07,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-03-19,26.34609528058474,60.81784901724258,2017-02-05,TRUE,2.1286464391446276,1.8365207772596455,2.4672389874315566,0.9957969273417754,0.9916354344540507,0.997860578008248,2016-08-28,2.1196995834972316,BA_20170319,Bahia,2017-03-26,2017-04-30,2017-05-14,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-03-26,26.177977243621502,57.23392712861245,2017-02-12,TRUE,2.1172566822796357,1.8271542581874765,2.4534194847372395,0.9956932384945978,0.9914564821120979,0.9978002625349467,2016-08-28,2.108138162703338,BA_20170326,Bahia,2017-04-02,2017-05-07,2017-05-21,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-04-02,25.750744986729167,54.63098606902948,2017-02-19,TRUE,2.1008026855928614,1.8144415232191937,2.432358313738294,0.9955824729598222,0.9912689077307115,0.9977410115802557,2016-08-28,2.091522332923177,BA_20170402,Bahia,2017-04-09,2017-05-14,2017-05-28,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-04-09,25.428965189682167,77.35679263583347,2017-02-26,TRUE,2.135237364096488,1.8584495232039975,2.45324855160635,0.995460034827963,0.9910456557634613,0.9976793035209929,2016-08-28,2.125543460829458,BA_20170409,Bahia,2017-04-16,2017-05-21,2017-06-04,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-04-16,25.103099136004243,99.50519837531027,2017-03-05,TRUE,2.1689997741208886,1.8964528616301286,2.4807155059433335,0.9953294512985,0.9907972253471781,0.9976068897258245,2016-08-28,2.158869355042315,BA_20170416,Bahia,2017-04-23,2017-05-28,2017-06-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-04-23,25.430038465358873,108.48487551504273,2017-03-12,TRUE,2.1957020132044445,1.9293227501388444,2.4988599395529323,0.9951857199831482,0.9905499940915765,0.9975324986756162,2016-08-28,2.185131288879313,BA_20170423,Bahia,2017-04-30,2017-06-04,2017-06-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-04-30,24.94746332839541,108.0487159409179,2017-03-19,TRUE,2.1813295971841242,1.9082130165357958,2.493536502643491,0.9950372282640119,0.9902277858572482,0.9974433904661442,2016-08-28,2.1705041563123446,BA_20170430,Bahia,2017-05-07,2017-06-11,2017-06-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-05-07,24.74527133239916,111.9787241527306,2017-03-26,TRUE,2.1833723619615144,1.9061433020380112,2.5009215549956267,0.9948927310002824,0.9899678871897447,0.9973552134126948,2016-08-28,2.1722212919824284,BA_20170507,Bahia,2017-05-14,2017-06-18,2017-07-02,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
