"version","site","observed_prevalence","lower","upper"
"v2","Juazeiro do Norte",0.254950495049505,0.213144117993278,0.30038827773303
"v2.1","Juazeiro do Norte",0.254950495049505,0.213144117993278,0.30038827773303
"v2.1","Quixada",0.706601466992665,0.659867239014755,0.75031662240946
