"parameter","median","q2.5","q97.5"
"p_symp",0.372068790755008,0.230418642181672,0.486515476294948
"rho_sym",0.0802054337082385,0.0492255967156174,0.105542053695845
"overall_detection",0.0271283915780334,0.0194244323460073,0.0347834685513825
