q,sero_id,location,n_positive,n_tested,observed_prevalence,p_state_window_median,p_state_window_lo,p_state_window_hi,p_site_window_median,p_site_window_lo,p_site_window_hi,eta_geo_median,eta_geo_lo,eta_geo_hi
0.05,U03,"Chapada rural district, Riachao do Jacuipe",24,120,0.2,0.0038519666775223152,0.00313403296397845,0.004797246755970429,0.06619674457780567,0.005902029606026492,0.19849405220939645,2.9127337770369754,0.503766904732764,4.100752796216556
0.05,U04,"Pau da Lima, Salvador",209,1772,0.11794582392776523,0.010509971005297361,0.008817457975457845,0.012572537992671239,0.0675891900853495,0.010860411313952946,0.16278421526080303,1.919925048046661,-0.022494402684619098,2.882774200979187
0.05,U19,"Alto do Cabrito, Salvador",23,376,0.061170212765957445,0.021683582133496863,0.019244267641466306,0.025200316544413598,0.044810818195034505,0.011021374792541994,0.1161614854023044,0.7330683144868274,-0.6959752372622118,1.7994962396039107
0.05,U20,"Marechal Rondon, Salvador",16,337,0.04747774480712166,0.021683582133496863,0.019244267641466306,0.025200316544413598,0.03556960219099804,0.007625981070234442,0.0980582091987795,0.48109238874629245,-1.0586680584006667,1.5773204549847888
0.05,U21,"Nova Constituinte, Salvador",69,305,0.2262295081967213,0.021683582133496863,0.019244267641466306,0.025200316544413598,0.1596580595932396,0.06534811135724992,0.27861090063155874,2.1456584915298116,1.1647411375470849,2.9265409750189444
0.05,U22,"Rio Sena, Salvador",13,298,0.0436241610738255,0.021683582133496863,0.019244267641466306,0.025200316544413598,0.0358087925284788,0.007245522617864606,0.0872492119653538,0.4951688569927228,-1.120222494357034,1.452607395175978
0.1,U03,"Chapada rural district, Riachao do Jacuipe",24,120,0.2,0.0019166260012945268,0.0015801214582064152,0.0024633902356673613,0.02634059970531783,0.001474335216906138,0.15014797141910766,2.641774025473248,-0.23717615143818022,4.547542976700892
0.1,U04,"Pau da Lima, Salvador",209,1772,0.11794582392776523,0.005291466727702596,0.004423644665737277,0.006438527698461907,0.04508627303984383,0.005866526616210411,0.13850332693619608,2.178476032864718,0.10778561659355508,3.4447129784634343
0.1,U19,"Alto do Cabrito, Salvador",23,376,0.061170212765957445,0.010882160684188161,0.009641885809849345,0.012558049913247658,0.03209201941186784,0.004581618748743264,0.09407821992868863,1.0651226240767044,-0.8217918818419676,2.240221829999816
0.1,U20,"Marechal Rondon, Salvador",16,337,0.04747774480712166,0.010882160684188161,0.009641885809849345,0.012558049913247658,0.026860999283584944,0.00612059647625925,0.0793178804600994,0.9162451118102424,-0.5456903856121647,2.057384742148372
0.1,U21,"Nova Constituinte, Salvador",69,305,0.2262295081967213,0.010882160684188161,0.009641885809849345,0.012558049913247658,0.15383544901529028,0.04451594824663196,0.2816718944509927,2.8024125821303256,1.4056744429774528,3.582419507416925
0.1,U22,"Rio Sena, Salvador",13,298,0.0436241610738255,0.010882160684188161,0.009641885809849345,0.012558049913247658,0.02436327094204449,0.0050581969404577,0.07855332824118266,0.8226739909175222,-0.7788209173028238,2.0747159710746828
