state,year,observed_cases,S_pop_q025,S_pop_median,S_pop_q975,S_foiweighted_q025,S_foiweighted_median,S_foiweighted_q975,latent_infections_total_q025,latent_infections_total_median,latent_infections_total_q975,S_old_homogeneous_q025,S_old_homogeneous_median,S_old_homogeneous_q975,S_pop_minus_old_homogeneous_q025,S_pop_minus_old_homogeneous_median,S_pop_minus_old_homogeneous_q975,within_state_S_q10,within_state_S_q10_q025,within_state_S_q10_q975,within_state_S_q25,within_state_S_q25_q025,within_state_S_q25_q975,within_state_S_q50,within_state_S_q50_q025,within_state_S_q50_q975,within_state_S_q75,within_state_S_q75_q025,within_state_S_q75_q975,within_state_S_q90,within_state_S_q90_q025,within_state_S_q90_q975,within_state_S_weighted_sd,within_state_S_weighted_sd_q025,within_state_S_weighted_sd_q975,within_state_S_weighted_iqr,within_state_S_weighted_iqr_q025,within_state_S_weighted_iqr_q975,prop_population_S_lt_025,prop_population_S_lt_025_q025,prop_population_S_lt_025_q975,prop_population_S_lt_050,prop_population_S_lt_050_q025,prop_population_S_lt_050_q975,prop_population_S_lt_075,prop_population_S_lt_075_q025,prop_population_S_lt_075_q975,prop_population_S_ge_090,prop_population_S_ge_090_q025,prop_population_S_ge_090_q975,reconstruction_status,population_accounting_max_abs_error,annual_weight_mean_deviation
AC,2015,0,0.9919699653164031,0.9977377010522533,0.9996222830678188,0.9908190963191128,0.997332530115909,0.9995956581993284,318.9494704679148,1910.3169329925834,6780.67381142168,0.9928545952498167,0.997649296271394,0.9996947035844816,-0.0027173082683528637,-1.2514239678013128e-4,0.0022742347075435975,0.9967512581177745,0.9884443007135864,0.9995240733863504,0.9970976734640262,0.9897627491476355,0.9995647776477949,0.9976661337701028,0.9913867390730888,0.9996568178995722,0.9984821096441637,0.9938539346390058,0.9997620095993067,0.998732366625841,0.9949478045184119,0.9998212988615253,8.564232669911473e-4,8.945843010345979e-5,0.0037036848029907005,0.0012686240323359077,1.3196705448149937e-4,0.005879632646029531,0,0,0,0,0,0,0,0,0,1,1,1,ok,1.4551915228366852e-11,8.881784197001252e-16
AC,2016,63,0.9825468293951546,0.9915557414126327,0.9970595724859135,0.9778538662134048,0.9901544059568748,0.9965896013288846,1423.6804832115763,5068.214220786993,12504.810442953603,0.9840338249366851,0.9915030706948068,0.9971400076704473,-0.005416437113927341,-6.510935041982857e-4,0.00496230917847508,0.9880942062635663,0.9696537710147612,0.9957281357409835,0.9895750908593051,0.9760135054139032,0.9963131180268714,0.9916598709706532,0.9816629400605799,0.9970006050903457,0.9945737930418019,0.9873267897400198,0.998295327548837,0.9956889743616729,0.9891152430595296,0.998636623780994,0.0030716699452211556,0.0010801022266160025,0.009881006096324302,0.004397727408570307,0.0012214345237797908,0.015797031933123467,0,0,0,0,0,0,0,0,0,1,1,1,ok,2.9103830456733704e-11,8.881784197001252e-16
AC,2017,69,0.9728071839346377,0.9851972085603999,0.9928460041325851,0.9660222473187305,0.9825798347998107,0.991609823388611,2203.5686022104237,5109.544428386118,11518.452721139409,0.974738313816071,0.9856210581081949,0.9930468103214976,-0.00809752069139533,-0.0012403816077269925,0.008195616517931404,0.9787748507470286,0.9550307737138957,0.9901748610954759,0.9808799630411315,0.9639334657589123,0.9910492519077452,0.9853724618605224,0.9731023166937185,0.9931476625882425,0.9903519629543078,0.9803879385690697,0.9955663392032407,0.9922652780523576,0.9832656765274376,0.9967764784776374,0.005153572528766458,0.00207019684315037,0.014927310147271729,0.007756039159690142,0.001954147681409707,0.023457400138427384,0,0,0,0,0,0,0,0,0,1,1,1,ok,4.3655745685100555e-11,8.881784197001252e-16
AC,2018,237,0.9580024727972012,0.9745649901833793,0.9861226095188174,0.9449097734894779,0.9705350702583846,0.9845976992702866,2930.5418355480183,7610.797686094749,22866.29497656539,0.9592266882684237,0.9756774971609236,0.9861244631438049,-0.013027255157678436,-0.0020246291061701838,0.01359153437579658,0.9643309789414496,0.9288049529105804,0.9814472205278882,0.9682030355052651,0.9429258948481124,0.9830738877795898,0.9750410072535896,0.9586655729009532,0.9860851161606244,0.9829294778933404,0.9687520679100081,0.992341858853059,0.9861561193256296,0.9742509033850395,0.9941774494111599,0.00937771142618262,0.003942610352242382,0.020926266026939436,0.014034297080400382,0.004448835239886007,0.03486501000872267,0,0,0,0,0,0,0,0,0,1,0.99979009130133345,1,ok,4.3655745685100555e-11,8.881784197001252e-16
AC,2019,46,0.9528436732431675,0.9695872992927477,0.9842615194295287,0.938634362186509,0.9648916849266922,0.982605092005586,1183.5239055188401,4212.243082069666,9473.937739113608,0.9518928301590042,0.9705179745315081,0.9829683882189209,-0.014369230760361264,-0.0023999737131800147,0.016868862448081858,0.956896660934565,0.9222712547986709,0.978575131663977,0.9616182257328001,0.9365428049221353,0.9796105179845691,0.969727900239173,0.9538854289218597,0.9844116040450569,0.9798470961330387,0.9651542791300837,0.9903084442367559,0.9836965614759301,0.9708294499055583,0.9924020373089208,0.011255452503314143,0.004472070387253707,0.023833849399014673,0.01740937318421748,0.004838934969504741,0.03921340646555567,0,0,0,0,0,0,0,0,0,1,0.9495836667259782,1,ok,5.820766091346741e-11,8.881784197001252e-16
AC,2020,49,0.9471681488014541,0.9648084736805189,0.9787967142313473,0.9294800569356153,0.9588382622653844,0.9759481717628973,2013.4980622350065,5107.197926102334,10910.571981483845,0.9471944874896496,0.9653784973634334,0.9798211412987298,-0.016702109958093427,-0.002904196499019074,0.020481449216905638,0.9484822318445929,0.9081518577755828,0.9710193270331744,0.9548775132639862,0.9291323741261988,0.9745119314210553,0.9652481655009622,0.9466300521367634,0.9786166476128891,0.9763905753288221,0.958947819826351,0.988435690967687,0.9805812710431943,0.965222752657845,0.9908271081912166,0.0133304541404264,0.0057294673971390086,0.02770238608605431,0.021180306780175573,0.005750515922515484,0.04329912604833002,0,0,0,0,0,0,0,0,0,1,0.9098827877285183,1,ok,5.820766091346741e-11,8.881784197001252e-16
AC,2021,208,0.935474983256261,0.9551093557100503,0.9721911316528332,0.9162757088203366,0.9482249032134062,0.9697851238706865,3493.330001832923,7007.609959896532,18313.297082519886,0.9392294331055285,0.956914623767083,0.9729739489530795,-0.01997355387499188,-0.0037035800678019704,0.023161256718805562,0.9372992590855278,0.8840215715827662,0.9635597833341347,0.9438478228853562,0.9125039968623707,0.967405563642942,0.9554996043072133,0.9333612867230027,0.9732159384637258,0.9710211982656165,0.9480470224509647,0.9829916015461716,0.9765980571574656,0.9580960603749509,0.9887195037263534,0.01640573820748629,0.007341685055621352,0.03388384590946879,0.025364163637764392,0.0076312126700642784,0.05094508880955244,0,0,0,0,0,0,0,0,0,0.9999612759417698,0.8912882937067459,1,ok,5.820766091346741e-11,8.881784197001252e-16
AC,2022,17,0.9311530333377943,0.9511406128074241,0.9681062992395171,0.9088397349901098,0.9452341023763828,0.9656529634262353,1262.3742535989704,4168.4275779443615,7465.780227623116,0.9312298396752474,0.9541134783637735,0.9690306949006553,-0.02134598175638311,-0.0038445217729576875,0.024977123839888964,0.9312458168287985,0.8806386360360595,0.9604595624531845,0.9394110550268282,0.9077716577693233,0.9612214735909366,0.951486343992071,0.9290846961786331,0.9683749273370054,0.9690062933963122,0.9446512964974827,0.981388260753423,0.9743080090441627,0.9542433292097269,0.9874125434260957,0.017861252650131134,0.008213892890090297,0.03557327220805036,0.028331395119039815,0.008225190941261491,0.055533266659177447,0,0,0,0,0,0,0,0,0,0.9995650117659878,0.8854417075910834,1,ok,5.820766091346741e-11,8.881784197001252e-16
AC,2023,68,0.9248993041502063,0.9458306619288421,0.9624638028202714,0.9004640427442328,0.9364965551355986,0.9585532716012577,2407.720717247097,5457.94370802482,10549.568119057072,0.9205453193318327,0.947911801757559,0.9655231989741353,-0.022514849041825425,-0.0043324059024935635,0.028229476334410274,0.9235070339525321,0.8725261023118978,0.9520255907000075,0.9317863170206662,0.8994252776379971,0.9568520050914715,0.9452022102330162,0.9208466235426663,0.9638260364343523,0.9640563874781802,0.9393241894915836,0.978278619085998,0.9705643076788228,0.9500711962144908,0.9847883875925753,0.01946361475408491,0.009564611143909593,0.036987519790411476,0.03200192115879674,0.009207559653327767,0.06468742128814833,0,0,0,0,0,0,0,0,0,0.9900433425576386,0.7265002789640274,1,ok,5.820766091346741e-11,8.881784197001252e-16
AC,2024,183,0.9134451433932537,0.9363965253966654,0.9562171334940914,0.8911427265979031,0.9271088655111577,0.9514194507276843,3037.3614634492633,7798.801232105654,19620.693246054005,0.9162988279457094,0.9389534582290084,0.9589763586784883,-0.02621513951726288,-0.004759053680247094,0.03156737330561901,0.9124890789038882,0.8563071643470686,0.9427325047530182,0.920175163758989,0.8873286747110771,0.9498712415310426,0.935964880285524,0.9088275877486471,0.9578503006859085,0.9572574938659673,0.9334131716596126,0.9740981311091951,0.965764556627528,0.9454638516327711,0.9831173884863067,0.022483112414793748,0.011536204937224112,0.04132526147497807,0.036954394531557855,0.01054868053596537,0.07232615120787189,0,0,0,0,0,0,0,0,0,0.944375870756442,0.5740421700756099,1,ok,7.275957614183426e-11,8.881784197001252e-16
