uf,ensemble_id,population_valid_member
MG,79,21621219.42816297
ES,79,3526464.369977629
RJ,79,14734392.121075094
SP,79,44800008.41187476
PR,79,11565177.68314045
SC,79,6731200.931452617
RS,79,11148654.159974465
MS,79,3016644.6672508125
MT,79,3856895.956432085
GO,79,7355714.437435157
DF,79,3202296.1569077363
RO,80,1847002.224805989
AC,80,1043746.7574866614
AM,80,4421603.470109693
RR,80,642204.9111020697
PA,80,9101773.136145487
AP,80,809802.386247158
TO,80,1694476.827267029
MA,80,6976988.781082074
PI,80,3445902.713711337
CE,80,9231781.187078971
RN,80,3507821.7576041836
PB,80,3955894.870931454
PE,80,8629317.96753044
AL,80,3240735.70037111
SE,80,2355418.1888673343
BA,80,11954097.590811327
MG,80,21621219.42816297
ES,80,3526464.369977629
RJ,80,14734392.121075094
SP,80,44800008.41187476
PR,80,11565177.68314045
SC,80,6731200.931452617
RS,80,11148654.159974465
MS,80,3016644.6672508125
MT,80,3856895.956432085
GO,80,7355714.437435157
DF,80,3202296.1569077363
RO,81,1847002.224805989
AC,81,1043746.7574866614
AM,81,4421603.470109693
RR,81,642204.9111020697
PA,81,9101773.136145487
AP,81,809802.386247158
TO,81,1694476.827267029
MA,81,6976988.781082074
PI,81,3445902.713711337
CE,81,9231781.187078971
RN,81,3507821.7576041836
PB,81,3955894.870931454
PE,81,8629317.96753044
AL,81,3240735.70037111
SE,81,2355418.1888673343
BA,81,11954097.590811327
MG,81,21621219.42816297
ES,81,3526464.369977629
RJ,81,14734392.121075094
SP,81,44800008.41187476
PR,81,11565177.68314045
SC,81,6731200.931452617
RS,81,11148654.159974465
MS,81,3016644.6672508125
MT,81,3856895.956432085
GO,81,7355714.437435157
DF,81,3202296.1569077363
RO,82,1847002.224805989
AC,82,1043746.7574866614
AM,82,4421603.470109693
RR,82,642204.9111020697
PA,82,9101773.136145487
AP,82,809802.386247158
TO,82,1694476.827267029
MA,82,6976988.781082074
PI,82,3445902.713711337
CE,82,9231781.187078971
RN,82,3507821.7576041836
PB,82,3955894.870931454
PE,82,8629317.96753044
AL,82,3240735.70037111
SE,82,2355418.1888673343
BA,82,11954097.590811327
MG,82,21621219.42816297
ES,82,3526464.369977629
RJ,82,14734392.121075094
SP,82,44800008.41187476
PR,82,11565177.68314045
SC,82,6731200.931452617
RS,82,11148654.159974465
MS,82,3016644.6672508125
MT,82,3856895.956432085
GO,82,7355714.437435157
DF,82,3202296.1569077363
RO,83,1847002.224805989
AC,83,1043746.7574866614
AM,83,4421603.470109693
RR,83,642204.9111020697
PA,83,9101773.136145487
AP,83,809802.386247158
TO,83,1694476.827267029
MA,83,6976988.781082074
PI,83,3445902.713711337
CE,83,9231781.187078971
RN,83,3507821.7576041836
PB,83,3955894.870931454
PE,83,8629317.96753044
AL,83,3240735.70037111
SE,83,2355418.1888673343
BA,83,11954097.590811327
MG,83,21621219.42816297
ES,83,3526464.369977629
RJ,83,14734392.121075094
SP,83,44800008.41187476
PR,83,11565177.68314045
SC,83,6731200.931452617
RS,83,11148654.159974465
MS,83,3016644.6672508125
MT,83,3856895.956432085
GO,83,7355714.437435157
DF,83,3202296.1569077363
RO,84,1847002.224805989
AC,84,1043746.7574866614
AM,84,4421603.470109693
RR,84,642204.9111020697
PA,84,9101773.136145487
