uf,ensemble_id,population_valid_member
AL,49,3240735.70037111
SE,49,2355418.1888673343
BA,49,11954097.590811327
MG,49,21621219.42816297
ES,49,3526464.369977629
RJ,49,14734392.121075094
SP,49,44800008.41187476
PR,49,11565177.68314045
SC,49,6731200.931452617
RS,49,11148654.159974465
MS,49,3016644.6672508125
MT,49,3856895.956432085
GO,49,7355714.437435157
DF,49,3202296.1569077363
RO,50,1847002.224805989
AC,50,1043746.7574866614
AM,50,4421603.470109693
RR,50,642204.9111020697
PA,50,9101773.136145487
AP,50,809802.386247158
TO,50,1694476.827267029
MA,50,6976988.781082074
PI,50,3445902.713711337
CE,50,9231781.187078971
RN,50,3507821.7576041836
PB,50,3955894.870931454
PE,50,8629317.96753044
AL,50,3240735.70037111
SE,50,2355418.1888673343
BA,50,11954097.590811327
MG,50,21621219.42816297
ES,50,3526464.369977629
RJ,50,14734392.121075094
SP,50,44800008.41187476
PR,50,11565177.68314045
SC,50,6731200.931452617
RS,50,11148654.159974465
MS,50,3016644.6672508125
MT,50,3856895.956432085
GO,50,7355714.437435157
DF,50,3202296.1569077363
RO,51,1847002.224805989
AC,51,1043746.7574866614
AM,51,4421603.470109693
RR,51,642204.9111020697
PA,51,9101773.136145487
AP,51,809802.386247158
TO,51,1694476.827267029
MA,51,6976988.781082074
PI,51,3445902.713711337
CE,51,9231781.187078971
RN,51,3507821.7576041836
PB,51,3955894.870931454
PE,51,8629317.96753044
AL,51,3240735.70037111
SE,51,2355418.1888673343
BA,51,11954097.590811327
MG,51,21621219.42816297
ES,51,3526464.369977629
RJ,51,14734392.121075094
SP,51,44800008.41187476
PR,51,11565177.68314045
SC,51,6731200.931452617
RS,51,11148654.159974465
MS,51,3016644.6672508125
MT,51,3856895.956432085
GO,51,7355714.437435157
DF,51,3202296.1569077363
RO,52,1847002.224805989
AC,52,1043746.7574866614
AM,52,4421603.470109693
RR,52,642204.9111020697
PA,52,9101773.136145487
AP,52,809802.386247158
TO,52,1694476.827267029
MA,52,6976988.781082074
PI,52,3445902.713711337
CE,52,9231781.187078971
RN,52,3507821.7576041836
PB,52,3955894.870931454
PE,52,8629317.96753044
AL,52,3240735.70037111
SE,52,2355418.1888673343
BA,52,11954097.590811327
MG,52,21621219.42816297
ES,52,3526464.369977629
RJ,52,14734392.121075094
SP,52,44800008.41187476
PR,52,11565177.68314045
SC,52,6731200.931452617
RS,52,11148654.159974465
MS,52,3016644.6672508125
MT,52,3856895.956432085
GO,52,7355714.437435157
DF,52,3202296.1569077363
RO,53,1847002.224805989
AC,53,1043746.7574866614
AM,53,4421603.470109693
RR,53,642204.9111020697
PA,53,9101773.136145487
AP,53,809802.386247158
TO,53,1694476.827267029
MA,53,6976988.781082074
PI,53,3445902.713711337
CE,53,9231781.187078971
