uf,state_name,n_cells,n_valid_cells,population_total,population_valid_foi,population_coverage,population_coverage_min_member,population_coverage_max_member,foi_pwmean_mid,foi_pwmean_mean,foi_pwmean_sd,foi_pwmean_lo,foi_pwmean_q25,foi_pwmean_q75,foi_pwmean_hi,foi_equiv_mid,foi_equiv_mean,foi_equiv_sd,foi_equiv_lo,foi_equiv_q25,foi_equiv_q75,foi_equiv_hi,arithmetic_minus_equivalent,arithmetic_vs_equivalent_relative_difference,old_foi_mid_wmean,old_foi_lo_wmean,old_foi_hi_wmean,old_interval_width,new_foi_pwmean_ensemble_width,old_minus_new_midpoint,old_minus_new_lower,old_minus_new_upper,old_minus_new_interval_width
AC,Acre,8022,8022,1043746.7574866614,1043746.7574866614,1,1,1,0.007211406835422271,0.007180725738162719,0.0013911856330730387,0.0049308527520929134,0.006118330773852612,0.008131761705131376,0.0099284037454371,0.007208594820359433,0.007176383432096283,0.0013888517651455216,0.0049289701782463495,0.006114459189046036,0.008123062152286153,0.009915894182172966,2.8120150628386034e-6,3.9009198504215436e-4,0.006877701927253567,0.0037857328733434874,0.012057398045843694,0.008271665172500206,0.004997550993344186,-3.337049081687041e-4,-0.001145119878749426,0.002128994300406594,0.0032741141791560197
AL,Alagoas,1358,1298,3477978.1425930643,3240735.70037111,0.9317872532559752,0.9317872532559752,0.9317872532559752,0.008681401316747758,0.008643194314605617,0.001264558886814507,0.006402574717498322,0.00781719166065912,0.009453287495013799,0.010846262277874,0.008675993866179864,0.008638119641541262,0.0012629693817560643,0.0064001348398196765,0.007813886232594878,0.009449499681592354,0.01084009220995482,5.407450567894434e-6,6.232658357416975e-4,0.00831755344983741,0.00513271585214394,0.01383930117827828,0.00870658532613434,0.004443687560375678,-3.638478669103478e-4,-0.0012698588653543823,0.002993038900404279,0.004262897765758661
AM,Amazonas,73594,73594,4421603.470109693,4421603.470109693,1,1,1,0.011021086290686908,0.011309044784373347,0.0019343106765958192,0.008457375518507997,0.009878782064781579,0.012556801322408339,0.01578696134165982,0.011015221535532398,0.01130218680425088,0.0019328986245353548,0.008451233518228936,0.009869771051539567,0.012552335882350388,0.0157804717181962,5.864755154509627e-6,5.32422805623234e-4,0.010888761946270068,0.006548396042424848,0.01783475394865748,0.011286357906232633,0.007329585823151824,-1.3232434441684017e-4,-0.0019089794760831485,0.00204779260699766,0.003956772083080809
AP,Amapa,6797,6584,898573.6943083857,809802.386247158,0.901208650304911,0.901208650304911,0.901208650304911,0.009055516498961174,0.009162571200991076,0.0019784922191438737,0.005988715642554163,0.00777799741408373,0.01052208322229825,0.013249878949270882,0.009044323198808085,0.009152208524694491,0.001976606596723644,0.005983836324233036,0.007767602229318162,0.010511173791598532,0.013233991303855053,1.1193300153089503e-5,0.0012376050597754649,0.008734056791993464,0.004465301356237376,0.01507510214579059,0.010609800789553214,0.007261163306716719,-3.214597069677097e-4,-0.001523414286316787,0.0018252231965197076,0.0033486374828364945
BA,Bahia,27164,26919,15266071.593260087,11954097.590811327,0.7830500150470286,0.7830500150470286,0.7830500150470286,0.0100822169363435,0.010082135274541888,0.0014711361281783471,0.007305294259598799,0.00900885965113194,0.010975281036182347,0.013076477798348852,0.010075771791206715,0.010073692906471003,0.0014686961894224714,0.007298647029034004,0.009004780878708709,0.01097011304296652,0.013062035041133641,6.445145136785291e-6,6.396676374121604e-4,0.009760333591810331,0.005977317704443978,0.016097544220848834,0.010120226516404856,0.005771183538750052,-3.218833445331696e-4,-0.0013279765551548212,0.0030210664224999823,0.0043490429776548035
CE,Ceara,7072,6958,9674504.683195401,9231781.187078971,0.954238122713875,0.954238122713875,0.954238122713875,0.012308149948215762,0.012607401074664105,0.002048385819338857,0.009402286927818113,0.011125982008763129,0.013827200839190885,0.017353295118720455,0.012299640243754021,0.012598103830608488,0.002046740958700418,0.009397290698727594,0.011117843803030221,0.013821249404549199,0.017342554349202607,8.509704461740972e-6,6.918661272277743e-4,0.012169266434110853,0.007435458093010146,0.020169422306789517,0.01273396421377937,0.007951008190902342,-1.3888351410490905e-4,-0.001966828834807967,0.002816127188069062,0.004782956022877028
DF,Distrito Federal,276,276,3202296.1569077363,3202296.1569077363,1,1,1,0.013525249843441549,0.01413632129013159,0.0036793452765933295,0.008758080635678485,0.011365318958922253,0.01657406585524302,0.021450351484965487,0.013515675584493144,0.01413418354897847,0.0036797401859812143,0.008757507802529521,0.011364703482166488,0.01657307237362503,0.021449758214532717,9.574258948404427e-6,7.083818258696e-4,0.013765890237061724,0.008221531196671407,0.022344698325208665,0.014123167128537258,0.012692270849287002,2.4064039362017495e-4,-5.36549439007078e-4,8.943468402431778e-4,0.0014308962792502558
ES,Espirito Santo,2354,2265,4010031.912677152,3526464.369977629,0.8794105500330827,0.8794105500330827,0.8794105500330827,0.013565901348274996,0.013611793799620077,0.002115884138689791,0.009906244710608567,0.012309325591575219,0.014618611096316202,0.018447919370695984,0.013559535309385699,0.01360575825851445,0.002113715714462077,0.009902406760486055,0.012306642619608975,0.01461460401162473,0.018434361840585486,6.3660388892970016e-6,4.694879834776144e-4,0.0132836786802155,0.00866390652422446,0.020850705780646,0.01218679925642154,0.008541674660087418,-2.8222266805949525e-4,-0.0012423381863841069,0.0024027864099500154,0.0036451245963341223
GO,Goias,16566,16566,7355714.437435157,7355714.437435157,1,1,1,0.010319574115549419,0.010299989149536167,0.0018941373618600837,0.006702905584466318,0.00896236725580498,0.011904765560841218,0.01372790031884166,0.010309805721081814,0.01029220955289423,0.0018910342873156628,0.006698360849005923,0.00895745807671245,0.011897623022434925,0.013718244572192471,9.76839446760469e-6,9.474857947739957e-4,0.009942629878388622,0.005680383817230905,0.01671177664001169,0.011031392822780785,0.0070249947343753415,-3.769442371607968e-4,-0.0010225217672354125,0.0029838763211700314,0.004006398088405444
MA,Maranhao,15620,15322,7766371.485614014,6976988.781082074,0.8983588789186626,0.8983588789186626,0.8983588789186626,0.012379926353482987,0.01258194564263934,0.002082191345886855,0.009350635488870569,0.011077551196902595,0.014039055596504996,0.01687864728078163,0.01237315248465224,0.012573881127102312,0.0020811673382680118,0.009342539320858826,0.011069578761137682,0.014031760826434071,0.016870270498069936,6.773868830746779e-6,5.474650732017682e-4,0.01228878924008404,0.007473215051638618,0.01924010228117986,0.01176688722954124,0.007528011791911062,-9.11371133989463e-5,-0.0018774204372319506,0.0023614550003982285,0.004238875437630178
