q,hmc_pass,divergences,max_rhat,min_bulk_ess,immune_2018_median,immune_2018_lo,immune_2018_hi,sero_pred_median,sero_pred_lo,sero_pred_hi,sero_observed_covered,total_case_observed,total_case_pred_median,total_case_pred_lo,total_case_pred_hi,weekly_95pct_coverage
0.05,FALSE,0,1.0104441639458297,437.8828704723276,0.2794170575693109,0.2389646365591684,0.3367356900883198,111,59.975,174,TRUE,140964,127992.5,95511.775,173131.125,0.9693486590038314
0.1,TRUE,0,1.0083631183810213,451.23187542047026,0.1784622278175968,0.1419035862188436,0.227595986928839,71,29,133.02499999999998,TRUE,140964,163509.5,118426.475,229663.07499999998,0.9731800766283525
0.15,TRUE,0,1.00949106439905,305.5114658922038,0.13057366442567475,0.10280162250758859,0.18386433221482099,51,18.975,103,TRUE,140964,178474.5,127754.125,276065.77499999997,0.9655172413793104
0.2,TRUE,0,1.0052701696841368,718.9380995326552,0.09449308095588366,0.07513684191413997,0.12289632447402195,35.5,10.975000000000001,82.02499999999998,FALSE,140964,171293.5,124553.2,242564.87499999997,0.9731800766283525
0.25,TRUE,0,1.0058984434703424,588.6124993161476,0.07074968691894334,0.05717086537255662,0.08738472349415002,26,5,62.02499999999998,FALSE,140964,161628.5,118386.1,224627.24999999997,0.9808429118773946
0.3,TRUE,0,1.0007538916840546,736.8105160279804,0.054667037747098274,0.04417746913219805,0.06957373998378592,20,3,56.02499999999998,FALSE,140964,150669,111323.275,212600.125,0.9693486590038314
