checkpoint,q,n_munis,median_A,pop_weighted_mean_A,p90_A,p95_A,max_A,n_gt_025,pct_gt_025,n_gt_050,pct_gt_050,n_gt_075,pct_gt_075,n_gt_100,pct_gt_100
2016-12-31,0.05,414,0,0.008938526639647431,0.007815328467416807,0.0161628254739197,0.8752250380833679,3,0.7246376811594203,1,0.24154589371980675,1,0.24154589371980675,0,0
2016-12-31,0.1,414,0,0.0044692633198237155,0.003907664233708403,0.00808141273695985,0.43761251904168397,1,0.24154589371980675,0,0,0,0,0,0
2016-12-31,0.136,414,0,0.0032862230292821436,0.0028732825247855913,0.005942215247764598,0.32177391106006176,1,0.24154589371980675,0,0,0,0,0,0
2016-12-31,0.15,414,0,0.0029795088798824773,0.0026051094891389364,0.005387608491306569,0.29174167936112266,1,0.24154589371980675,0,0,0,0,0,0
2016-12-31,0.2,414,0,0.0022346316599118577,0.0019538321168542016,0.004040706368479925,0.21880625952084198,0,0,0,0,0,0,0,0
2016-12-31,0.25,414,0,0.0017877053279294862,0.0015630656934833616,0.003232565094783941,0.1750450076166736,0,0,0,0,0,0,0,0
2016-12-31,0.3,414,0,0.0014897544399412386,0.0013025547445694682,0.0026938042456532843,0.14587083968056133,0,0,0,0,0,0,0,0
2016-12-31,0.359,414,0,0.0012449201447976926,0.0010884858589717003,0.002251089898874611,0.12189763761606798,0,0,0,0,0,0,0,0
2017-12-31,0.05,414,0,0.017169351484488293,0.013652503322038965,0.04063950426897471,0.8753557514299134,8,1.932367149758454,2,0.4830917874396135,1,0.24154589371980675,0,0
2017-12-31,0.1,414,0,0.008584675742244146,0.006826251661019482,0.020319752134487355,0.4376778757149567,2,0.4830917874396135,0,0,0,0,0,0
2017-12-31,0.136,414,0,0.006312261575179518,0.00501930269192609,0.01494099421653482,0.32182196743746816,1,0.24154589371980675,0,0,0,0,0,0
2017-12-31,0.15,414,0,0.0057231171614960975,0.004550834440679656,0.013546501422991571,0.29178525047663784,1,0.24154589371980675,0,0,0,0,0,0
2017-12-31,0.2,414,0,0.004292337871122073,0.003413125830509741,0.010159876067243678,0.21883893785747835,0,0,0,0,0,0,0,0
2017-12-31,0.25,414,0,0.0034338702968976583,0.002730500664407793,0.008127900853794943,0.1750711502859827,0,0,0,0,0,0,0,0
