fit_id,year,observed_cases,lambda_q025,lambda_median,lambda_q975,weight_q025,weight_median,weight_q975,attack_prob_q025,attack_prob_median,attack_prob_q975,latent_infections_q025,latent_infections_median,latent_infections_q975,S_start_prop_q025,S_start_prop_median,S_start_prop_q975,S_end_prop_q025,S_end_prop_median,S_end_prop_q975,expected_cases_median,predicted_cases_q025,predicted_cases_median,predicted_cases_q975
M1v2_NB_s0_75,2015,25,1.1445039391463234e-5,2.348733691268474e-5,0.0031133501837013046,8.63721420428844e-4,0.0017285608808572169,0.22658938770104073,1.1444973897227736e-5,2.3487061087346584e-5,0.0031085085655147117,100.56576698039075,206.37830488511946,27314.13377288901,1,1,1,0.9969380640072654,0.9999768648288427,0.9999887264980061,30.339660413247934,10,29,1403
M1v2_NB_s0_75,2016,30862,0.010452609256265908,0.02252117066920379,0.04258169136546037,0.8477494025321274,1.6881164650558729,3.106220955663897,0.01039817057421062,0.022269462233526424,0.04168782324884175,91903.50264524609,196965.19465443597,368714.6497599088,0.9969380640072654,0.9999768648288427,0.9999887264980061,0.9582867785732976,0.977845716186412,0.9885210248871019,29014.813795629743,5294.075000000001,28222.5,62449.27500000001
M1v2_NB_s0_75,2017,107387,0.029330456519410637,0.07520861810714605,0.11149177760916823,2.4729377780824615,5.65245187849844,7.082145302961017,0.028904492373210973,0.0724500375150911,0.10550125329333233,250593.10194404304,629908.8939699857,914342.5136540118,0.9582867785732976,0.977845716186412,0.9885210248871019,0.8729091473397226,0.9078104872529239,0.948564928582966,92517.59377028508,13704.574999999999,90783.5,172843.975
M1v2_NB_s0_75,2018,1481,7.000267172984102e-4,0.0013048455812474232,0.0065377053872205946,0.05360161499117206,0.09625075239229132,0.5102148977423518,6.997817557497829e-4,0.0013039946403973252,0.006516381038224211,5670.376703688565,10556.353379483091,54115.19213064254,0.8729091473397226,0.9078104872529239,0.948564928582966,0.8734330946767294,0.90780982223993,0.9437430551697207,1541.119889694473,506.90000000000003,1501,5830.325000000005
M1v2_NB_s0_75,2019,1205,5.789885895214389e-4,0.0010528048635712992,0.006764286594819747,0.045404749298619436,0.07794751709432374,0.5375710897134374,5.788210079718535e-4,0.0010522508589606075,0.006741460287331878,4746.2324291690875,8564.870961636358,55652.188327065545,0.8734330946767294,0.90780982223993,0.9437430551697207,0.8740567386866992,0.9079762580362392,0.9408773083142757,1254.6465873291684,399.85,1224,5515.125
M1v2_NB_s0_75,2020,1017,4.924501845607742e-4,8.854120087139579e-4,0.006546156816962286,0.03733362092642661,0.06563907272144129,0.4943669861924162,4.923289507913447e-4,8.850201471604655e-4,0.006524777408533676,4067.4456797800044,7264.732498025436,53618.51547490374,0.8740567386866992,0.9079762580362392,0.9408773083142757,0.8742365324079884,0.908217785978946,0.9389536854779831,1067.717519188668,353,1028,4324.325000000001
M1v2_NB_s0_75,2021,1318,6.055063481867059e-4,0.0011518592090875197,0.00586337600112057,0.04921417490817614,0.08423921528835634,0.44373790115164435,6.05323066144629e-4,0.0011511960739022825,0.0058462196882077145,5046.669409919105,9500.409698401305,49737.23535652193,0.8742365324079884,0.908217785978946,0.9389536854779831,0.8747925164792008,0.9080539981561229,0.9363779767231244,1379.1784000804914,410.85,1335,4389.200000000001
M1v2_NB_s0_75,2022,50986,0.01529697147322837,0.03891964211313081,0.06515460960046242,1.254691676344742,2.8883665611725875,4.571214562863674,0.015180567011306222,0.03817200349366268,0.06307740499120104,126162.95583415739,316958.5374882048,528230.6058074244,0.8747925164792008,0.9080539981561229,0.9363779767231244,0.8372894428721159,0.8748795727941612,0.9061751808822605,46407.076143805665,6745.525,45649.5,90971.225
M1v2_NB_s0_75,2023,2008,9.408889038767606e-4,0.001780098784625418,0.007750351436539122,0.07389841785821508,0.13233441169528454,0.6369592771008225,9.40446406599058e-4,0.0017785153484729994,0.007720394740125874,7637.91193962358,14197.980215108135,62611.764890669234,0.8372894428721159,0.8748795727941612,0.9061751808822605,0.8373404783196983,0.8745177995352056,0.9049068857311519,2089.0030303676585,542.95,1999,6841.350000000012
M1v2_NB_s0_75,2024,892,4.2857300467261176e-4,8.026203999681391e-4,0.005190706705412537,0.03366637680730358,0.05930270722097607,0.44143420503015013,4.2848118037397127e-4,8.022983863702691e-4,0.00517725826478791,3488.2129254561914,6443.26233259599,41661.51890111943,0.8373404783196983,0.8745177995352056,0.9049068857311519,0.8381663519718341,0.8751156985405917,0.9037928098001574,939.8773842613975,325.95,911.5,4053.825000000014
M1v2_NB_s0_75,2025,690,3.462493623402908e-4,6.276722215196997e-4,0.004184766099141698,0.026983616177059952,0.04621619155658055,0.35281323707202433,3.4618942492871743e-4,6.274752765186443e-4,0.004176022150631126,2831.647134749058,5053.677003929075,34462.31698380557,0.8381663519718341,0.8751156985405917,0.9037928098001574,0.8392179696899805,0.8757708181453285,0.9040390996411587,737.1279788648957,265.975,721,3616.1750000000006
M1v2_SHAPE_foisd1_5,2015,25,5.307961223878554e-4,0.007181128782813669,0.01913441120310992,0.042310150689288395,0.5853051026914683,1.2408262297449706,5.306552750464812e-4,0.0071554060863569776,0.018952510308935355,4662.811397950514,62873.79137709946,166533.69003170222,1,1,1,0.9813314416722559,0.9929517982734524,0.9994772951554888,10925.1522472806,0,2224,76730.27500000002
M1v2_SHAPE_foisd1_5,2016,30862,0.004393471610454489,0.01376698954537219,0.039002094656128916,0.36453429575408086,1.0629193428211918,2.7614259426890118,0.004383834431823085,0.013672657928186956,0.03825130536706,38650.16796430316,119999.78024655613,336981.29120573105,0.9813314416722559,0.9929517982734524,0.9994772951554888,0.9552238559651077,0.9784316753512283,0.9929951055374839,19739.292749539018,2,14429,90259.675
M1v2_SHAPE_foisd1_5,2017,107387,0.006777635723532133,0.02020170410122545,0.09714132800361987,0.5977428260765713,1.5449609814999588,6.530755203841105,0.0067547192567776505,0.019999016844842267,0.09257224788209156,58824.65528631735,173088.79489288147,804333.1974471423,0.9552238559651077,0.9784316753512283,0.9929951055374839,0.8887818556247975,0.9542618714689002,0.978159816049958,28250.94651938958,7,33572,135287.67500000002
M1v2_SHAPE_foisd1_5,2018,1481,0.0010798879761468845,0.009144500734652478,0.021841274016216574,0.09498947626290352,0.7889946246914921,1.5286340988504965,0.0010793051067371803,0.009102816943607782,0.021604480458925823,8880.349623127478,77904.4572271246,183386.48501745117,0.8887818556247975,0.9542618714689002,0.978159816049958,0.8834780417657518,0.9440089770790899,0.9705971399187191,14303.781228823034,0,4591,80545.27500000001
M1v2_SHAPE_foisd1_5,2019,1205,9.584602217080262e-4,0.009146367069152412,0.022530564176414365,0.08126512225397922,0.7764987503648819,1.5050388761176074,9.580010446884357e-4,0.009104666271150311,0.022278646476158296,8020.90341646305,77755.47596430252,188079.09469900772,0.8834780417657518,0.9440089770790899,0.9705971399187191,0.8797942621869604,0.9352618221580018,0.9637748316862675,13988.255580295165,0,3818,75537.55
M1v2_SHAPE_foisd1_5,2020,1017,0.0010302311765623777,0.00891577273350878,0.022124706775754246,0.0865244339557741,0.7684279287891862,1.4908271310560202,0.0010297006706015612,0.008876145037258986,0.021881750504935335,8541.30041008953,75980.81948905744,182012.93151076566,0.8797942621869604,0.9352618221580018,0.9637748316862675,0.873349066803085,0.927088090082874,0.9573590763552225,13782.478231975296,0,4156.5,80053.15000000001
M1v2_SHAPE_foisd1_5,2021,1318,0.0011091905912613733,0.009079359758349604,0.02222254281665155,0.0871026327719678,0.7724713041292424,1.5276713895214815,0.0011085756654011852,0.009038266819326467,0.021977440968852967,9237.878174178433,76772.72174536242,184333.10897904861,0.873349066803085,0.927088090082874,0.9573590763552225,0.8656030599833063,0.9193005668571261,0.9515580628520041,13820.312141460381,0,4361,77472.175
M1v2_SHAPE_foisd1_5,2022,50986,0.005523727813251315,0.016109628947739093,0.05449065566782222,0.4755982777088654,1.2040448046953778,3.7941921584558176,0.005508500077163243,0.01598056287251741,0.05303264232675115,46584.38434487404,133210.72437717306,440381.93384697544,0.8656030599833063,0.9193005668571261,0.9515580628520041,0.8385916051405138,0.9027689200908102,0.9412740258069062,21378.127981025165,2,18769.5,99702.40000000002
M1v2_SHAPE_foisd1_5,2023,2008,0.0010860867317636497,0.009502355204935786,0.023654130453623384,0.08893626728113647,0.8224558149348304,1.6090422518681604,0.0010854971525493945,0.009457350488967353,0.02337656434330904,8983.895828328805,78931.96233952849,190260.01481588604,0.8385916051405138,0.9027689200908102,0.9412740258069062,0.8310101574657275,0.8949373240023413,0.9353104681286297,14473.031480600494,0,4638.5,75198.20000000001
M1v2_SHAPE_foisd1_5,2024,892,9.214263382509524e-4,0.009027939228260543,0.021862646093437906,0.0755399658781195,0.7630720018509407,1.4919356425613757,9.210019532358165e-4,0.008987309743674593,0.021625390599622984,7561.490674471317,74497.47512393343,173070.42879601565,0.8310101574657275,0.8949373240023413,0.9353104681286297,0.8246843649242185,0.887836702204681,0.9299699706964735,13323.149623587022,0,3853,75414.35000000017
M1v2_SHAPE_foisd1_5,2025,690,7.890984748452056e-4,0.008829320029847494,0.022424900944989015,0.06579922380535767,0.7420804107255204,1.4668736696245381,7.887872180757789e-4,0.008790456046281194,0.022175331794911272,6391.038837669949,72817.94839290087,174709.44186638217,0.8246843649242185,0.887836702204681,0.9299699706964735,0.8158122126102806,0.881329716392649,0.9253282362976916,12877.740225807083,0,3270,74270.125
M1v2_SHAPE_foisd2,2015,25,4.5818400032657377e-4,0.0062095992539305525,0.02048424118237555,0.041380599576758076,0.5077897947674757,1.219580022950287,4.58079049585324e-4,0.0061903595323265954,0.020275864208829018,4025.0918327000445,54394.03006446277,178161.8598400697,1,1,1,0.9800279146425535,0.9939023862213936,0.9995487840229865,9522.246606110497,0,1978.5,70159.45
M1v2_SHAPE_foisd2,2016,30862,0.004104692550516821,0.014182750678499088,0.04201530617582687,0.36325030086219673,1.0784167342056368,2.8720525571285647,0.004096279754050831,0.014082649266543849,0.041144895942585434,36030.32144139032,123790.25757815264,361022.08181182033,0.9800279146425535,0.9939023862213936,0.9995487840229865,0.9503534707686623,0.9788136445870876,0.9934238460608417,20049.326840599086,4,15252,91314.30000000003
M1v2_SHAPE_foisd2,2017,107387,0.0064915803089051795,0.024521817093690494,0.10602437074868472,0.6769328797756922,1.8725423317056813,6.5492682944029745,0.0064705554686642274,0.02422359991540413,0.10059727092792758,56381.684161135956,210099.7604404148,874937.7771014789,0.9503534707686623,0.9788136445870876,0.9934238460608417,0.8770520930837481,0.9505480797285526,0.9795247903822504,34177.149621851204,11.975000000000009,39635.5,134587.62500000003
