year,lambda_mid,lambda_lo,lambda_hi,attack_mid,max_multiplier,sigma_prior_scale
2015,0.01189144523962909,0.0029703990048467865,0.029304653944970727,0.011821021427224937,6.706526529091211,0.5
2016,0.01179119370924728,0.0030432225403331705,0.028097430871470454,0.011721950005092921,7.601911613867755,0.5
2017,0.011838309983637801,0.0029190897306342715,0.02831664950931318,0.011768512887545612,7.056661769255883,0.5
2018,0.011767082827479212,0.0029381181554457934,0.02869364477682904,0.011698121462587707,7.502337279275445,0.5
2019,0.011601914613416909,0.0028512882951720678,0.026208426847964605,0.011534871906422918,5.26548463002273,0.5
2020,0.011806172043005665,0.002884016539142296,0.027143376255585334,0.011736752654291619,5.641994174168136,0.5
2021,0.01167158024125861,0.0028129498193944255,0.02620957919283119,0.011603731572175074,5.755386631318234,0.5
2022,0.0117189195472576,0.0030029770755528283,0.026886041897013806,0.011650520457914036,4.594571817271607,0.5
2023,0.011806724920217067,0.0029449763158995823,0.02797301155899462,0.011737298982395429,8.834754398709554,0.5
2024,0.011756521520372525,0.0031421690671162203,0.03008069291380987,0.011687683644093044,4.701185451467506,0.5
2025,0.011870294796760645,0.0033501356334395813,0.028786542404365633,0.01180012077504401,5.834253724704842,0.5
2015,0.011261137413825877,0.0014057108583330623,0.03836081964810053,0.011197968144842183,8.788823807858803,0.75
2016,0.011128472691610075,0.0011128257096362254,0.0351714001967581,0.011066780298243688,7.021380169471073,0.75
2017,0.011350457917797206,0.00128751591952666,0.03483320994306796,0.01128628449179109,9.591886226852397,0.75
2018,0.011234993733986565,0.0010050010827118011,0.0367428306525036,0.011172116864654776,9.877996941740237,0.75
2019,0.01161101621016066,0.0011843201011800903,0.03437154334637,0.011543868497098573,10.331194719819774,0.75
2020,0.011324302563226737,0.0011657651429884716,0.038643899154939425,0.01126042400046667,7.650893719343803,0.75
2021,0.011282696426631877,0.00122321037145809,0.03413720324183484,0.011219285498412373,10.344698767472222,0.75
2022,0.011150880637300551,0.0013584085843662756,0.03350547163563376,0.011088940012419047,8.33958132288299,0.75
2023,0.01130500568648173,0.001369639992491381,0.034145132170337954,0.011241344232925832,8.193623086423024,0.75
2024,0.011392640575279597,0.0011040052065099545,0.03139520081382622,0.01132799019002082,8.235353437910534,0.75
2025,0.011071318652471334,8.433976416511375e-4,0.03316350160453609,0.01101025715549577,9.19088376393683,0.75
2015,0.01067865133848603,2.6133068304776185e-4,0.0436348821606132,0.010621836929879638,9.892114778307796,1
2016,0.010407565784327773,3.9956933674980025e-4,0.03965726899571269,0.010353594466091215,7.642715353434118,1
2017,0.01118728641087624,5.855437858342824e-4,0.04101058484574213,0.011124941359249352,9.934404239047335,1
2018,0.010549581024317477,4.170975538309022e-4,0.0459648300163525,0.010494129326104433,10.361927016878568,1
2019,0.010947944427449213,4.005304865019653e-4,0.040088250316162664,0.010888233757533474,10.838629024927267,1
2020,0.010590738176605398,4.632446295165258e-4,0.04272718219877436,0.010534853748287061,10.139772135023824,1
2021,0.010568247518228054,3.722565484433504e-4,0.03980204437348901,0.010512599795848326,8.402817258830416,1
2022,0.010860537236703261,3.9431810914061815e-4,0.04690940381679187,0.010801774462480039,9.04845355428668,1
2023,0.010803497327892216,3.7018993744754867e-4,0.041240180984463914,0.010745349140282209,10.305143348262169,1
2024,0.010940522280426714,2.9037411976378237e-4,0.042871019839606034,0.01088089241311456,10.309110520057997,1
2025,0.01079943215593535,4.389114468245568e-4,0.04487639941586033,0.010741327641798304,9.834163061406754,1
