q,hmc_pass,divergences,max_rhat,min_bulk_ess,immune_2018_median,immune_2018_lo,immune_2018_hi,sero_pred_median,sero_pred_lo,sero_pred_hi,S_prop_pre_seed_median,S_prop_pre_seed_lo,S_prop_pre_seed_hi,obs_2017,pred_2017_median,pred_2017_lo,pred_2017_hi,obs_2022_all,pred_2022_all_median,pred_2022_all_lo,pred_2022_all_hi,obs_2022_postseed,pred_2022_postseed_median,pred_2022_postseed_lo,pred_2022_postseed_hi,peak_week_observed,peak_magnitude_observed,peak_week_predicted_median,peak_magnitude_predicted_median
0.05,TRUE,0,1.0074026786781478,502.3327543567726,0.2846326448028298,0.24329737542021934,0.3376303325585155,114,65,176,0.7175242172802332,0.6666930837460447,0.7576561653572366,107421,103433,73989.275,142749.075,50986,27373,21355.7,35334.05,48697,25039.5,19136.5,32907.674999999996,2022-05-15,3521,2022-05-01,1295.5
0.1,TRUE,0,1.00596489876766,451.28706602691193,0.15438889238253695,0.12608336782596452,0.1915431455272563,62,22.975,111,0.847353085635571,0.8116810580119351,0.8746424184139646,107421,106378.5,75089,148832.725,50986,25922.5,19875.625,33416.1,48697,23686.5,17418.525,31314.674999999996,2022-05-15,3521,2022-05-08,1176
0.15,TRUE,0,1.0024481993595629,600.6080997605106,0.1039161819579538,0.08556683746669665,0.13161879027873252,41,12.975000000000001,89,0.8971430724416349,0.8711124219573345,0.9147230025098593,107421,107478,77180.375,155897.22499999998,50986,25882,19977.475,34393.5,48697,23580,17613.25,32082.224999999995,2022-05-15,3521,2022-05-08,1186
0.2,TRUE,0,1.00096659193486,1441.288084485891,0.08197341349312806,0.06598829509311431,0.10054358322138131,31,9,73,0.9189251377978404,0.901250256037568,0.9342050083632163,107421,112217,80000.625,157767.69999999992,50986,26589.5,20553.2,35352.25,48697,24304,18346.95,32684.87499999999,2022-05-15,3521,2022-04-24,1182
0.25,TRUE,0,1.0090684464760953,710.5150219113823,0.06676072341130612,0.05445893386675943,0.08356290376384408,25,5,61,0.9339377315240757,0.917893184653946,0.9455166269110941,107421,115649.5,82038.97499999999,164099.82499999998,50986,26951.5,20382.8,35868.075,48697,24473.5,18275.575,33479.049999999996,2022-05-15,3521,2022-05-01,1215.5
0.3,TRUE,0,0.9975593137693447,720.0608986938048,0.05372653129753336,0.04373439638737185,0.06633980924468719,19,3,55,0.9467189963965483,0.9345249955519324,0.9563344566254092,107421,111155,80338.25,153896.62499999997,50986,28223,20998.225,36873.424999999996,48697,25979.5,18896.675000000003,35056.4,2022-05-15,3521,2022-05-01,1290
