"bin","logit_q_mean","n","n_divergent","mean_gamma_curve","sd_gamma_curve"
1,-4.86683660605685,459,17,0.00753355967773276,0.0449625479844557
2,-4.7702804715791,443,2,-0.00177446675292785,0.0302833446336111
3,-4.70981941931439,444,2,-0.000884830615367532,0.0310251486129357
4,-4.65765403508049,441,0,-0.00435109505647807,0.0274384052619383
5,-4.60801460142288,442,0,-0.00108327177969449,0.0246226872648177
6,-4.5525306131621,444,3,-0.00204262941449722,0.0214064893350315
7,-4.48529095214251,443,1,0.00196341073692017,0.01942548881907
8,-4.39804681118226,442,1,0.00118155649720858,0.0165300373905591
9,-4.18781601456006,442,0,0.00289047074548055,0.015830954496188
