variable,rhat,ess_bulk,ess_tail
z_year[4],1.0079895961768672,889.9457984413586,632.4463707433932
z_year[8],1.0077034343695024,889.7842147702644,626.2057519556516
z_year[5],1.007600301941054,907.356647144535,680.9523809523808
z_year[9],1.0068075121696616,873.8702043799282,628.2186980608819
z_year[6],1.006789052337854,902.7226043767721,631.5234972966313
z_year[3],1.006567484240917,879.7463173153951,668.3986267388652
z_year[7],1.0057884652970912,882.4781660037954,660.3715767406723
z_year[11],1.0053524229890274,864.3132719701845,658.8906589176265
z_year[10],1.0047233591820963,858.1612601618675,628.8093743065815
z_year[2],1.0046299477129834,829.0242015640142,668.1628835544504
phi_obs,1.0045212642728907,797.9594363128567,646.9645042745041
z_year[1],1.0044653898392393,849.9632753636439,630.1205043889523
beta_cos,1.0031458957739674,1062.9238789921328,690.3027575090433
beta_sin,1.0026891853526996,1150.3606599392692,605.3251708285891
alpha_R,1.001698296068318,859.6369090562116,639.8328320637388
q,1.0003749902229775,825.6009375796065,735.0158584653848
