week_start,variable,q025,q25,median,q75,q975
2016-08-21,posterior_predictive_cases,68.975,205,321,468.25,886.4999999999995
2016-08-28,posterior_predictive_cases,67,194.75,292.5,428,804
2016-09-04,posterior_predictive_cases,54,174,265,397,739.2249999999998
2016-09-11,posterior_predictive_cases,65,169.5,260,377,710.025
2016-09-18,posterior_predictive_cases,59,169.75,258,356.25,685.3499999999997
2016-09-25,posterior_predictive_cases,51.925000000000004,150,234,340.25,677
2016-10-02,posterior_predictive_cases,46.975,138.75,230,336,657.025
2016-10-09,posterior_predictive_cases,50.975,144.75,231,351.25,709.05
2016-10-16,posterior_predictive_cases,66.85000000000002,160,244,355,654.3249999999997
2016-10-23,posterior_predictive_cases,46.925000000000004,146,242,356.25,664.2999999999997
2016-10-30,posterior_predictive_cases,59,163.75,241,344,663.05
2016-11-06,posterior_predictive_cases,55.95,158,256.5,373,676.3749999999997
2016-11-13,posterior_predictive_cases,68.94999999999999,185,279.5,416.5,698
2016-11-20,posterior_predictive_cases,66.95000000000002,185.75,296,436.25,882.0999999999999
2016-11-27,posterior_predictive_cases,72.875,210,341,503,944.1999999999998
2016-12-04,posterior_predictive_cases,76.925,238.75,358.5,515.75,1044.3499999999997
2016-12-11,posterior_predictive_cases,97.975,267.75,392,585.75,1134.025
2016-12-18,posterior_predictive_cases,91.95,282,440,685.25,1267.075
2016-12-25,posterior_predictive_cases,94.97500000000001,339,521,758,1562.125
2017-01-01,posterior_predictive_cases,152.975,411.5,601.5,916.25,1769.324999999999
2017-01-08,posterior_predictive_cases,180.875,492.75,736.5,1129.5,1976.324999999999
2017-01-15,posterior_predictive_cases,190.8,620.75,931,1343.5,2399.25
2017-01-22,posterior_predictive_cases,213.97500000000002,649.75,998,1557,2928.774999999999
2017-01-29,posterior_predictive_cases,287.95,817.75,1288,1839.75,3483.4749999999967
2017-02-05,posterior_predictive_cases,261,925.25,1463,2126.5,4025.325
2017-02-12,posterior_predictive_cases,412.875,1081.25,1775.5,2659,4767.674999999999
2017-02-19,posterior_predictive_cases,511.00000000000006,1324.75,1953.5,3026,5684.199999999999
2017-02-26,posterior_predictive_cases,481.85,1448.5,2368,3406,6046.9999999999945
2017-03-05,posterior_predictive_cases,675,1889,2961,4135.25,8399.949999999999
2017-03-12,posterior_predictive_cases,774.9000000000001,1993.75,3181.5,4693.75,8748.549999999996
2017-03-19,posterior_predictive_cases,782.475,2234.5,3432.5,5171.5,9198.149999999996
2017-03-26,posterior_predictive_cases,927.975,2571.5,3940.5,5739.25,9884.299999999996
2017-04-02,posterior_predictive_cases,820.2750000000001,2473.25,3986,5985.5,11129.549999999994
2017-04-09,posterior_predictive_cases,1100.425,2888.5,4216.5,6379.5,11921.974999999997
2017-04-16,posterior_predictive_cases,1090,2872,4247.5,6677.5,12062.525
2017-04-23,posterior_predictive_cases,1101.8500000000001,2911.25,4386,6554,13207.775
2017-04-30,posterior_predictive_cases,938.5500000000001,2499.25,4187.5,6064,11842.325
2017-05-07,posterior_predictive_cases,1118.525,2589.75,3995,5833.5,10084.874999999996
2017-05-14,posterior_predictive_cases,829.275,2346.75,3682.5,5555.5,10094.474999999993
2017-05-21,posterior_predictive_cases,873.75,1969.75,3235,4606,7995.075
2017-05-28,posterior_predictive_cases,566.95,1839,2922,4230.75,8294
2017-06-04,posterior_predictive_cases,490.55,1561,2436.5,3655.25,7316.499999999999
2017-06-11,posterior_predictive_cases,544.475,1316,2049,3092.5,5590.5999999999985
2017-06-18,posterior_predictive_cases,391,1148.75,1742.5,2621.75,4940.374999999997
2017-06-25,posterior_predictive_cases,285.8,938,1489.5,2069,4066.4749999999985
2017-07-02,posterior_predictive_cases,249.825,770,1251.5,1787.75,3193.6749999999993
2017-07-09,posterior_predictive_cases,207.85000000000002,629.5,946.5,1358.25,2612.9499999999985
2017-07-16,posterior_predictive_cases,195.975,496,753.5,1066.5,2084.2749999999996
2017-07-23,posterior_predictive_cases,117.95,365,585.5,884,1745.1249999999998
2017-07-30,posterior_predictive_cases,98,297,459,659.25,1184.0749999999998
2017-08-06,posterior_predictive_cases,66,228,368,582.75,974.4749999999996
2017-08-13,posterior_predictive_cases,64.975,189.75,284.5,434.5,774.1749999999998
2017-08-20,posterior_predictive_cases,52.975,144,224.5,329,600.2749999999997
2017-08-27,posterior_predictive_cases,37,112.75,176.5,264.25,498.17499999999984
2017-09-03,posterior_predictive_cases,23.975,79.75,134,210,385.07499999999993
2017-09-10,posterior_predictive_cases,25.975,68,101,160.25,283.2249999999998
2017-09-17,posterior_predictive_cases,18,57,88,131.25,246.04999999999995
2017-09-24,posterior_predictive_cases,16,49,74,107.25,202
2017-10-01,posterior_predictive_cases,16,40,61,90,160.1249999999999
2017-10-08,posterior_predictive_cases,9,31,51,74,135
2017-10-15,posterior_predictive_cases,8.975000000000001,26,41,61.25,113.02499999999998
2017-10-22,posterior_predictive_cases,6,22,35,50,101
2017-10-29,posterior_predictive_cases,6,20,34,47,84.02499999999998
2017-11-05,posterior_predictive_cases,5,15,26.5,39,78.02499999999998
2017-11-12,posterior_predictive_cases,4,14,25,37,75.02499999999998
2017-11-19,posterior_predictive_cases,3,13,21,33,64.02499999999998
2017-11-26,posterior_predictive_cases,4,13,20,31,56.049999999999955
2017-12-03,posterior_predictive_cases,3.9750000000000014,10,18,28,54.02499999999998
2017-12-10,posterior_predictive_cases,3,10,17,27,50
2017-12-17,posterior_predictive_cases,3,10,16,26,55
2017-12-24,posterior_predictive_cases,2,9,15,23,42.07499999999993
2017-12-31,posterior_predictive_cases,3,9,15,24,43
2018-01-07,posterior_predictive_cases,4,13,20,31,57
2018-01-14,posterior_predictive_cases,3,13,20,31,62.049999999999955
2018-01-21,posterior_predictive_cases,4,13,23,35,66.02499999999998
2018-01-28,posterior_predictive_cases,4,16,26,38.25,76.04999999999995
2018-02-04,posterior_predictive_cases,5,18,29,41,72.02499999999998
2018-02-11,posterior_predictive_cases,6,19,31,46,90
2018-02-18,posterior_predictive_cases,7,23,35,54,102.02499999999998
