week_start,week_of_year,t,year,cases,Tmean,PRCP,population
2015-01-04,1,2,2015,0,27.2484650925125,25.12249934430319,16971856
2015-01-11,2,3,2015,0,29.511490131648785,1.612942245565078,16971856
2015-01-18,3,4,2015,0,27.729307854904285,33.13119877798159,16971856
2015-01-25,4,5,2015,0,27.008761076975485,40.46339099266593,16971856
2015-02-01,5,6,2015,0,25.142804391606564,88.4228967499626,16971856
2015-02-08,6,7,2015,0,26.924680780518763,41.41088991372549,16971856
2015-02-15,7,8,2015,2,26.32117018809474,73.14646728238169,16971856
2015-02-22,8,9,2015,0,26.36605445792705,17.41910097941613,16971856
2015-03-01,9,10,2015,0,24.8152794051189,24.071776610373654,16971856
2015-03-08,10,11,2015,0,25.30965277237809,62.75306877887358,16971856
2015-03-15,11,12,2015,0,24.85148673217499,32.429487444423096,16971856
2015-03-22,12,13,2015,0,23.67972572760822,54.4744848849244,16971856
2015-03-29,13,14,2015,0,24.059071744454275,44.145204503490646,16971856
2015-04-05,14,15,2015,0,22.571415946490035,20.601638105226726,16971856
2015-04-12,15,16,2015,1,23.683430795104826,4.965305596515035,16971856
2015-04-19,16,17,2015,1,24.25414278971141,33.466587107931915,16971856
2015-04-26,17,18,2015,0,21.014698683854533,17.267736023228625,16971856
2015-05-03,18,19,2015,0,21.366679055882674,21.34439924289883,16971856
2015-05-10,19,20,2015,0,20.41147251478691,11.867233778660795,16971856
2015-05-17,20,21,2015,0,20.54542138046474,14.983359458185054,16971856
2015-05-24,21,22,2015,0,22.03931523181879,10.64350473670674,16971856
2015-05-31,22,23,2015,0,20.609942704141066,12.573195474570994,16971856
2015-06-07,23,24,2015,0,21.883400366105903,1.856010682309682,16971856
2015-06-14,24,25,2015,0,20.85371879410522,24.116635634643355,16971856
2015-06-21,25,26,2015,0,18.7695869436204,14.842973316825157,16971856
2015-06-28,26,27,2015,0,20.185508484100705,7.854600330909147,16971856
2015-07-05,27,28,2015,0,19.921996619301805,8.358267828930046,16971856
2015-07-12,28,29,2015,1,21.95916102104745,0.06001948086678411,16971856
2015-07-19,29,30,2015,1,20.616360857410697,11.760856741545092,16971856
2015-07-26,30,31,2015,0,21.053458192189737,13.498168107766624,16971856
2015-08-02,31,32,2015,0,21.905383698351137,0.05465656725092439,16971856
2015-08-09,32,33,2015,0,20.556405981841753,0.9819655909885537,16971856
2015-08-16,33,34,2015,0,21.54840473045867,2.32570274306717,16971856
2015-08-23,34,35,2015,0,20.935511733574323,18.918528859901212,16971856
2015-08-30,35,36,2015,0,21.329252814503953,20.03206754694568,16971856
2015-09-06,36,37,2015,0,21.629452086413753,68.40317587043548,16971856
2015-09-13,37,38,2015,0,22.438871543971036,26.754046245662348,16971856
2015-09-20,38,39,2015,0,25.228070648428226,0.5349012657368227,16971856
2015-09-27,39,40,2015,0,24.85116784978335,12.308165765509173,16971856
2015-10-04,40,41,2015,0,22.483307200643697,15.887337264584945,16971856
2015-10-11,41,42,2015,0,26.48883615049195,2.0826442239990612,16971856
2015-10-18,42,43,2015,0,23.866948864842687,17.36139717249125,16971856
2015-10-25,43,44,2015,0,23.04572596346884,23.42194584666632,16971856
2015-11-01,44,45,2015,0,24.376894828767185,51.72701402688489,16971856
2015-11-08,45,46,2015,0,25.581989598315513,37.554344690502695,16971856
2015-11-15,46,47,2015,1,25.135892051235125,44.28006307421562,16971856
2015-11-22,47,48,2015,1,23.14411841131802,49.315689830428,16971856
2015-11-29,48,49,2015,2,23.37682470841756,73.46237626609945,16971856
2015-12-06,49,50,2015,10,24.655441133995616,55.27434558485228,16971856
2015-12-13,50,51,2015,4,27.105078593861112,21.199017602621332,16971856
2015-12-20,51,52,2015,6,27.176620809141895,10.863474095693991,16971856
2015-12-27,52,53,2015,6,27.850603793129014,32.88074345173484,16971856
2016-01-03,53,54,2016,5,24.948280360139925,39.305093512167126,17043727
2016-01-10,1,55,2016,7,26.22121300166436,122.25244410526436,17043727
2016-01-17,2,56,2016,11,22.221877702921578,94.99211722388937,17043727
2016-01-24,3,57,2016,16,26.14417804080543,21.2395134398383,17043727
2016-01-31,4,58,2016,25,27.136831729160804,1.3329132436695657,17043727
2016-02-07,5,59,2016,10,26.623511140147087,32.47028694298859,17043727
2016-02-14,6,60,2016,22,26.83405120947011,67.93146887954643,17043727
2016-02-21,7,61,2016,23,27.414880191966027,28.723578789642993,17043727
2016-02-28,8,62,2016,22,25.620809224150605,87.46717166215089,17043727
2016-03-06,9,63,2016,29,26.497401993116192,31.073603763855324,17043727
2016-03-13,10,64,2016,46,24.400404258820718,39.58795079298771,17043727
2016-03-20,11,65,2016,45,25.426523266203215,30.216772730841615,17043727
2016-03-27,12,66,2016,62,26.01125156942272,23.818497024369552,17043727
2016-04-03,13,67,2016,69,25.171442190222788,2.6333467206730736,17043727
2016-04-10,14,68,2016,112,26.199509547607114,1.0787947342588644,17043727
2016-04-17,15,69,2016,105,26.675229151870035,0.31398544900512454,17043727
2016-04-24,16,70,2016,96,23.651940479236355,33.17748294206348,17043727
2016-05-01,17,71,2016,93,20.474682525244372,7.462147357381514,17043727
2016-05-08,18,72,2016,103,22.05253916088836,21.36756877586786,17043727
2016-05-15,19,73,2016,64,21.433058796781992,18.0211343966246,17043727
2016-05-22,20,74,2016,55,20.293522735508233,7.796215330116421,17043727
2016-05-29,21,75,2016,45,21.522633983080652,30.512469287809925,17043727
2016-06-05,22,76,2016,32,19.38111755798642,18.77994035808328,17043727
2016-06-12,23,77,2016,34,16.749230409539535,0.3678603343047148,17043727
2016-06-19,24,78,2016,19,18.260610066123082,9.801979458769434,17043727
2016-06-26,25,79,2016,21,19.363138125562635,1.2198299957666707,17043727
2016-07-03,26,80,2016,20,19.819578285351536,0.1439247260613722,17043727
2016-07-10,27,81,2016,27,22.35308651742629,0.3910375243923525,17043727
2016-07-17,28,82,2016,12,17.11173773884409,7.425774236646905,17043727
2016-07-24,29,83,2016,11,19.768955569481346,1.8427840887109135,17043727
2016-07-31,30,84,2016,8,20.106669896802533,5.682008202108419,17043727
2016-08-07,31,85,2016,6,19.566745892800782,10.384491702271209,17043727
2016-08-14,32,86,2016,9,22.753702934903558,4.257230123440005,17043727
2016-08-21,33,87,2016,6,19.20179319877056,12.417600779951115,17043727
2016-08-28,34,88,2016,5,22.804447256583096,14.007671374821493,17043727
2016-09-04,35,89,2016,6,22.285542828555748,5.9211941839311235,17043727
