chain,divergent,max_treedepth_hits,mean_stepsize,mean_leapfrog,mean_accept,bfmi
1,0,0,0.014358714684181276,256.19466666666665,0.9826644299059083,0.9492860030316993
2,0,0,0.016204613920647454,253.63466666666667,0.975665094479613,0.820735422195606
3,0,0,0.017307015094104088,250.05066666666667,0.9779405655382394,0.9967446565396015
4,0,0,0.010844236986114548,407.9173333333333,0.9888581284423238,0.8961420800804087
