q_target,p_state_u10_median,p_state_u10_lo95,p_state_u10_hi95,prob_in_observed_ci,model
NA,0.12162158346532273,0.09895402175745699,0.1458397708047123,0.017666666666666667,"global-q (free, HMC PASS)"
0.01,0.1666460324314153,0.14821760274932672,0.18929805107091777,0.9763333333333334,fixed q=0.0100
0.0125,0.1418656568561836,0.12555471451637354,0.16045838789966266,0.256,fixed q=0.0125
0.015,0.12148255960223583,0.10775157520617608,0.13915638135073238,0.002,fixed q=0.0150
0.0175,0.10534779158681355,0.09345574837710804,0.12007126160290514,0,fixed q=0.0175
0.02,0.09251329129849695,0.0823216426490319,0.10566435046629426,0,fixed q=0.0200
