chain,divergent,max_treedepth_hits,mean_stepsize,mean_accept,bfmi
1,0,0,0.007281392316632297,0.9951736653259129,0.9140218186871997
2,0,0,0.012567143483775687,0.9818838232382914,0.950302259343866
3,0,0,0.011594859744621214,0.9893111070102297,0.8697009171559594
4,0,0,0.013186702371412982,0.9840104184128506,0.9595966749828833
