chain,divergent,max_treedepth_hits,mean_stepsize,mean_accept,bfmi
1,0,0,0.015747389782704676,0.9805466925045951,0.9066070315766325
2,0,0,0.013389026788353306,0.9850701219264221,0.9259100489508982
3,0,0,0.015492786145749409,0.9786426470880432,0.8557650919080284
4,0,0,0.017925388905521034,0.9761821268766164,0.8008188060452002
