"episode_id","wave_id","start_week","window_weeks","Re_q025","Re_median","Re_q975","phi_q025","phi_median","phi_q975"
"CE_wave_01",1,2016-02-07,4,1.32105472747809,1.8995346925,2.79314124959974,4.51011236269596,8.93183020085251,17.4155969817187
"CE_wave_01",1,2016-02-07,6,1.89859536967833,2.53245517997473,3.44648378217519,4.84887681128192,8.46736971774412,14.3687686206946
"CE_wave_01",1,2016-02-07,8,1.82402180038416,2.37967643774771,3.15603587717488,4.39481726602299,6.94021154611056,10.7940769956399
"CE_wave_02",2,2019-02-03,4,0.900875137492669,1.30473005395545,1.92443318843398,4.51011236269596,8.93183020085251,17.4155969817187
"CE_wave_02",2,2019-02-03,6,0.957055696398753,1.30754199062873,1.8050282637164,4.84887681128192,8.46736971774412,14.3687686206946
"CE_wave_02",2,2019-02-03,8,0.940802122319428,1.24130351957854,1.66842086027559,4.39481726602299,6.94021154611056,10.7940769956399
"CE_wave_03",3,2020-02-02,4,0.8722222436988,1.30309901957649,1.97108075574252,4.51011236269596,8.93183020085251,17.4155969817187
"CE_wave_03",3,2020-02-02,6,1.07639658425636,1.4788554456252,2.04434227854868,4.84887681128192,8.46736971774412,14.3687686206946
"CE_wave_03",3,2020-02-02,8,0.893854328512815,1.1992595517614,1.6593860004107,4.39481726602299,6.94021154611056,10.7940769956399
"CE_wave_04",4,2020-04-19,4,0.920291912538372,1.33643887380421,1.9820570881745,4.51011236269596,8.93183020085251,17.4155969817187
"CE_wave_04",4,2020-04-19,6,0.877815695048042,1.18566069935681,1.63570456600229,4.84887681128192,8.46736971774412,14.3687686206946
"CE_wave_04",4,2020-04-19,8,0.850287651701703,1.12293574334851,1.52544640014875,4.39481726602299,6.94021154611056,10.7940769956399
"CE_wave_05",5,2021-04-11,4,0.784140052210848,1.14442113459363,1.70435902044041,4.51011236269596,8.93183020085251,17.4155969817187
"CE_wave_05",5,2021-04-11,6,0.908394842429037,1.24217364037498,1.73435385820634,4.84887681128192,8.46736971774412,14.3687686206946
"CE_wave_05",5,2021-04-11,8,0.840039302848338,1.12163201234436,1.52075581795514,4.39481726602299,6.94021154611056,10.7940769956399
"CE_wave_06",6,2021-12-05,4,0.957252005778737,1.33826707532176,1.95132025976448,4.51011236269596,8.93183020085251,17.4155969817187
"CE_wave_06",6,2021-12-05,6,0.947741683025993,1.25718943866383,1.71992809819126,4.84887681128192,8.46736971774412,14.3687686206946
"CE_wave_06",6,2021-12-05,8,1.19263211759103,1.53145707563553,2.03823916342113,4.39481726602299,6.94021154611056,10.7940769956399
"CE_wave_07",7,2024-01-21,4,1.04693060533362,1.55620871686308,2.33060947724589,4.51011236269596,8.93183020085251,17.4155969817187
"CE_wave_07",7,2024-01-21,6,1.21989511766872,1.66982010863108,2.29277374750107,4.84887681128192,8.46736971774412,14.3687686206946
"CE_wave_07",7,2024-01-21,8,1.10043190543736,1.4630753938305,1.95330043059464,4.39481726602299,6.94021154611056,10.7940769956399
