"window_weeks","divergences","max_treedepth_hits","maximum_rhat","n_rhat_gt_1_01","minimum_bulk_ess","minimum_tail_ess","minimum_bfmi","gate_pass"
4,0,0,1.00154479263383,0,4210.82424644444,2814.95355309587,0.83799143235413,TRUE
6,0,0,1.00321956403974,0,4626.06248098492,2725.90668845652,0.830882341868775,TRUE
8,0,0,1.00216329321441,0,6705.91151970511,2524.14449313328,0.966134080043267,TRUE
