checkpoint,q,q_label,n_munis,median_A,pop_weighted_mean_A,p90_A,p95_A,max_A,n_gt_025,pct_gt_025,n_gt_050,pct_gt_050,n_gt_075,pct_gt_075,n_gt_100,pct_gt_100
2016-12-31,0.007454145308640366,global-q 2.5%,184,0.023511324065208183,0.2124812231443503,0.34658630664469603,0.6446072493745509,3.077453895405951,25,13.586956521739129,13,7.065217391304348,8,4.3478260869565215,5,2.717391304347826
2016-12-31,0.009820323685458794,global-q median,184,0.017846339040748956,0.1612844915713824,0.26307734596773164,0.48929101094251715,2.335950346622976,21,11.41304347826087,8,4.3478260869565215,5,2.717391304347826,3,1.6304347826086956
2016-12-31,0.01510174051658718,global-q 97.5%,184,0.01160507464607139,0.10487969323376782,0.171073307005701,0.3181749877481509,1.5190162015961735,13,7.065217391304348,5,2.717391304347826,3,1.6304347826086956,2,1.0869565217391304
2016-12-31,0.05,fixed q=0.05,184,0.0035051365196118985,0.03167731825351251,0.05167009383429105,0.09609992207681758,0.4587957703399458,3,1.6304347826086956,0,0,0,0,0,0
2016-12-31,0.1,fixed q=0.10,184,0.0017525682598059492,0.015838659126756256,0.025835046917145527,0.04804996103840879,0.2293978851699729,0,0,0,0,0,0,0,0
2016-12-31,0.15,fixed q=0.15,184,0.001168378839870633,0.010559106084504171,0.017223364611430352,0.0320333073589392,0.1529319234466486,0,0,0,0,0,0,0,0
2016-12-31,0.2,fixed q=0.20,184,8.762841299029746e-4,0.007919329563378128,0.012917523458572763,0.024024980519204396,0.11469894258498645,0,0,0,0,0,0,0,0
2016-12-31,0.25,fixed q=0.25,184,7.010273039223798e-4,0.006335463650702503,0.010334018766858211,0.019219984415363517,0.09175915406798917,0,0,0,0,0,0,0,0
2016-12-31,0.3,fixed q=0.30,184,5.841894199353165e-4,0.005279553042252086,0.008611682305715176,0.0160166536794696,0.0764659617233243,0,0,0,0,0,0,0,0
2018-12-31,0.007454145308640366,global-q 2.5%,184,0.031758112550985665,0.23634820145964885,0.3727738211725985,0.702668401728593,3.0735120603176322,27,14.673913043478262,14,7.608695652173914,9,4.891304347826087,5,2.717391304347826
2018-12-31,0.009820323685458794,global-q median,184,0.024106087870986788,0.17940079100699433,0.2829550551772724,0.5333624978197765,2.3329582852131736,22,11.956521739130435,10,5.434782608695652,5,2.717391304347826,3,1.6304347826086956
2018-12-31,0.01510174051658718,global-q 97.5%,184,0.01567564913615008,0.11666031707940974,0.1839993361841728,0.34683368877395443,1.5170705310624522,14,7.608695652173914,5,2.717391304347826,3,1.6304347826086956,2,1.0869565217391304
2018-12-31,0.05,fixed q=0.05,184,0.0047345917136640495,0.03523547674232059,0.05557420460555336,0.1047558474055003,0.4582081101093253,3,1.6304347826086956,0,0,0,0,0,0
2018-12-31,0.1,fixed q=0.10,184,0.0023672958568320248,0.017617738371160294,0.02778710230277668,0.05237792370275015,0.22910405505466264,0,0,0,0,0,0,0,0
2018-12-31,0.15,fixed q=0.15,184,0.0015781972378880167,0.011745158914106865,0.018524734868517783,0.03491861580183344,0.15273603670310842,0,0,0,0,0,0,0,0
2018-12-31,0.2,fixed q=0.20,184,0.0011836479284160124,0.008808869185580147,0.01389355115138834,0.026188961851375075,0.11455202752733132,0,0,0,0,0,0,0,0
2018-12-31,0.25,fixed q=0.25,184,9.469183427328101e-4,0.0070470953484641176,0.011114840921110671,0.02095116948110006,0.09164162202186506,0,0,0,0,0,0,0,0
2018-12-31,0.3,fixed q=0.30,184,7.890986189440084e-4,0.005872579457053433,0.009262367434258892,0.01745930790091672,0.07636801835155421,0,0,0,0,0,0,0,0
2021-12-31,0.007454145308640366,global-q 2.5%,184,0.07247294122857428,0.5745007007844458,0.6380465901938163,1.2676106263993776,3.1796321962704166,49,26.6304347826087,26,14.130434782608695,17,9.239130434782608,12,6.521739130434782
2021-12-31,0.009820323685458794,global-q median,184,0.0550107972166202,0.43607643095349863,0.4843111234744416,0.9621835396269988,2.4135090836289157,36,19.565217391304348,18,9.782608695652174,12,6.521739130434782,8,4.3478260869565215
2021-12-31,0.01510174051658718,global-q 97.5%,184,0.03577228957609122,0.2835707380125715,0.3149366784420184,0.6256864096942484,1.5694509115024342,25,13.586956521739129,12,6.521739130434782,5,2.717391304347826,3,1.6304347826086956
2021-12-31,0.05,fixed q=0.05,184,0.01080447669724692,0.08564823407125957,0.09512183993974435,0.1889790760791519,0.4740288083806198,5,2.717391304347826,0,0,0,0,0,0
2021-12-31,0.1,fixed q=0.10,184,0.00540223834862346,0.042824117035629786,0.047560919969872176,0.09448953803957595,0.2370144041903099,0,0,0,0,0,0,0,0
2021-12-31,0.15,fixed q=0.15,184,0.0036014922324156405,0.02854941135708653,0.03170727997991478,0.06299302535971732,0.15800960279353995,0,0,0,0,0,0,0,0
2021-12-31,0.2,fixed q=0.20,184,0.00270111917431173,0.021412058517814893,0.023780459984936088,0.047244769019787976,0.11850720209515495,0,0,0,0,0,0,0,0
2021-12-31,0.25,fixed q=0.25,184,0.0021608953394493843,0.017129646814251918,0.01902436798794887,0.03779581521583039,0.09480576167612396,0,0,0,0,0,0,0,0
2021-12-31,0.3,fixed q=0.30,184,0.0018007461162078203,0.014274705678543265,0.01585363998995739,0.03149651267985866,0.07900480139676998,0,0,0,0,0,0,0,0
2022-12-31,0.007454145308640366,global-q 2.5%,184,0.2037471243383689,0.8073124979846672,1.4993283069054992,3.3174810833013018,11.36440449054812,84,45.65217391304348,51,27.717391304347828,36,19.565217391304348,28,15.217391304347828
2022-12-31,0.009820323685458794,global-q median,184,0.15465484842263252,0.6127929040027357,1.1380695202114604,2.5181436830040953,8.626184343001434,70,38.04347826086957,43,23.369565217391305,28,15.217391304347828,21,11.41304347826087
2022-12-31,0.01510174051658718,global-q 97.5%,184,0.1005685847513847,0.3984855032338419,0.7400611242628492,1.6374924483990556,5.609414512563397,51,27.717391304347828,28,15.217391304347828,18,9.782608695652174,13,7.065217391304348
