wave_id,wave_order,start_week,peak_week,end_week,total_cases_census,total_cases
PE_wave_03,1,2015-11-29,2016-02-28,2017-12-17,15850,15849
PE_wave_04,2,2017-12-31,2018-05-06,2018-12-16,657,655
PE_wave_05,3,2018-12-23,2019-09-08,2019-12-15,1360,1360
PE_wave_06,4,2020-05-03,2020-07-05,2020-12-20,3005,3005
PE_wave_07,5,2021-02-07,2021-05-30,2021-12-19,19884,19846
PE_wave_08,6,2022-01-16,2022-04-24,2022-12-18,13003,12994
PE_wave_09,7,2022-12-25,2023-03-19,2023-06-25,778,777
PE_wave_10,8,2023-07-09,2024-03-10,2024-12-22,2218,2209
PE_wave_11,9,2024-12-29,2025-03-23,2025-12-28,1207,1204
