state,q,wave_id,wave_onset,observed_total,predicted_total_median,predicted_total_lo,predicted_total_hi,total_ratio,observed_peak,predicted_peak_median,peak_ratio,observed_peak_week,predicted_peak_week,epidemic_width_weeks_observed,epidemic_width_weeks_predicted_median,pre_wave_susceptible,post_wave_susceptible,max_rhat,divergences,min_bulk_ess,min_tail_ess,bfmi_min
BA,0.05,BA_wave_02,2016-01-24,5863,5935.5,4386.925,8224.074999999999,1.0123656830973904,535,589,1.1009345794392524,2016-03-13,2016-04-10,16,20,0.9995085231855441,0.9912546404812517,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_03,2016-10-16,6654,6519.5,4988.525,8696.374999999998,0.9797865945296063,422,560.5,1.3281990521327014,2017-01-15,2017-03-26,27,26,0.9909823640567423,0.9821378638485778,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_04,2017-11-12,3383,3226.5,2469.975,4265.025,0.953739284658587,181,274,1.5138121546961325,2018-06-03,2018-04-01,27,28,0.9821215552350506,0.9779143030609923,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_05,2019-02-03,5650,5250.5,4085.95,6754.174999999999,0.9292920353982301,384,380,0.9895833333333334,2019-06-02,2019-04-21,24,35,0.9776968021062544,0.9707230182691151,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_06,2020-01-19,18751,18378,13636,24961.549999999996,0.980107727587862,1228,1719.5,1.400244299674267,2020-05-10,2020-03-29,20,25,0.9700609085497898,0.9451692414259196,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_07,2021-01-03,9539,10146.5,7769.9749999999995,13690.125,1.0636859209560752,830,920.5,1.1090361445783132,2021-03-14,2021-03-21,19,24,0.9451692414259196,0.9316753246657649,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_08,2021-12-05,13875,14320,10711.5,20290.849999999995,1.032072072072072,1012,1417,1.400197628458498,2022-03-06,2022-04-10,20,22,0.9315480225271353,0.9126662879476692,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_09,2022-11-06,12613,12195.5,9635.875,15848.074999999999,0.9668992309521922,487,957,1.9650924024640657,2023-02-05,2023-04-02,32,31,0.9125271682077338,0.8971179405431888,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.05,BA_wave_10,2024-01-21,14846,12759,9859.375,16593.25,0.8594234137141318,1499,1136,0.7578385590393596,2024-03-17,2024-03-31,47,55,0.8968473260433772,0.8817785427609584,1.0057231088185965,0,508.04349405291646,834.3552358455029,0.793979814289463
BA,0.1,BA_wave_02,2016-01-24,5863,5948,4386,8077.0999999999995,1.0144976974245268,535,606,1.1327102803738318,2016-03-13,2016-04-17,16,20,0.9997745091747764,0.9956422509425563,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
