L_recife,L_metro,L_agreste,L_sertao,L_vale,total_case_deviance,q_common,implied_u14_prevalence,max_R0,min_S_prop,dev_recife,dev_metro,dev_agreste,dev_sertao,dev_vale
0.06343095,0.024631250257915654,0.015051334607601554,0.006720372849210442,0.0549880854368942,68387.15776056626,0.1461411204014071,0.02454475376952061,1.8874120425075973,0.9058037336497748,22871.622172702588,13871.21842256769,7417.165005289505,2747.411570148864,21479.74058985762
0.08843095000000001,0.036549229660520315,0.0235083338713916,0.01579247326092055,0.05980089268564791,66857.8894542934,0.10104925926427703,0.046101382439602816,1.9351921058429356,0.8587391330522469,21728.150643891244,13587.059247529143,8173.345706902364,2621.1633819064778,20748.17047406418
0.11343095,0.04041429124629234,0.025667154606742074,0.017865975936504366,0.060752744860921845,73153.60855033367,0.09262900900383747,0.08045958793151259,1.9841817272402726,0.8517877869206628,28151.987584628914,13199.964070712615,8355.243385694946,2595.3923120931663,20851.021197204023
0.13843095,0.03732854059104852,0.0239542802887777,0.016228193633963203,0.060006075282383387,124307.78586444134,0.09921387564359141,0.12893557710058698,2.03441152680773,0.8642130188240467,79198.11454419115,13520.576274788284,8211.974803985448,2615.6523460976473,20761.4678953788
0.16343095000000002,0.04991406319355052,0.032639830830412386,0.02373803437428198,0.06312179951460156,233616.14073709698,0.07274496190356261,0.19503980497611983,2.0859128998051544,0.8018411149623718,189232.39039194718,11414.07025231066,8804.548379869459,2525.1016292137497,21640.030083755915
0.18843094999999999,0.056759317131136355,0.04424336009546727,0.031008716572896937,0.06533182038048246,301316.236168891,0.05569006284113164,0.27809470865392744,2.138718036267183,0.7152784987155707,256941.67458011478,9666.662405581521,8990.476059800287,2430.2995312859052,23287.123592108535
0.21343095,0.06125518949796425,0.051952360448571065,0.03775947288199132,0.0667374697894708,355057.86077817495,0.045587490947452264,0.36921751219343085,2.1928599411230563,0.620201895914278,309852.1697078489,9047.644035991481,8855.20514314585,2320.9198760355994,24981.922015153075
0.23843095000000003,0.0671451291792565,0.12448021532491058,0.04643907976365806,0.06823460458410979,398872.20301652217,0.035491136453227004,0.45812075302137023,2.2483724548257786,0.5279030665292487,352077.27333571,9173.30324267696,7929.789474176393,2119.5345298189145,27572.30243413989
0.26343095,0.06954548897360666,0.12419158078241477,0.04883929491535165,0.06871711528483614,432627.3765532146,0.03236821244749396,0.5375016267693988,2.3052902745034993,0.4454881734285023,385231.6076457095,9456.571960378977,7254.218575343212,2044.6963631479973,28640.282008634953
0.28843095,0.07150102214275723,0.12398060962328265,0.05040814610696712,0.06906074274155694,458828.5375393783,0.030186461015814053,0.6033890463245228,2.3636489756463486,0.37692655561659544,410749.9724124863,9750.328399844695,6847.742537676669,1994.119379962184,29486.37480940844
0.31343095,0.07302910355246917,0.12383298368438185,0.05144929169806233,0.06930107346643072,479388.96345975774,0.028688144250965653,0.6546740478763009,2.4234850343422787,0.3233686138953165,430694.26364157454,10005.809832000328,6604.6377943433745,1961.6388749098335,30122.613316929655
0.33843095,0.0741728283502285,0.12373211858091798,0.052135276010104446,0.06946324887359201,495636.668245732,0.027678437075084054,0.6923729744934669,2.484835850075803,0.2838757090147468,446450.91995055537,10205.647334634883,6459.213079936857,1941.2867303626067,30579.601150242313
0.36343095000000003,0.07498923162507984,0.12366527029021648,0.052586638942893456,0.06956966170213101,508422.65821589925,0.027012291157560295,0.718691475728291,2.547739769103894,0.25621769156251434,458876.75926059735,10350.657616596676,6372.015120085458,1928.6992250317985,30894.526993587966
0.38843095,0.07554949074757208,0.12362186261863575,0.05287494405566635,0.0696415857299823,518433.49265315634,0.026581735336802526,0.7362540826702151,2.6122361084236396,0.23767512564716353,468638.67816018953,10450.235444682696,6319.549904460101,1920.9672168544898,31104.061926969527
0.41343094999999996,0.07591838652110387,0.12359402749192652,0.053060228621574265,0.069685993738786145,526347.0443390519,0.02630725504765897,0.7476110671107052,2.6783651803466486,0.22558945988158116,476386.7012283499,10516.190106655282,6287.754812246115,1916.2171243621476,31240.181067438596
