mode,lag,acf
low_q,1,0.857801470653074
low_q,2,0.8103469853103514
low_q,3,0.7503829630441676
low_q,4,0.6963437394765439
low_q,5,0.6659626992815437
low_q,6,0.6180457295333095
low_q,7,0.5700849215011068
low_q,8,0.4909240249962337
low_q,9,0.4218047512121082
low_q,10,0.3289575210991581
low_q,11,0.2629333379713263
low_q,12,0.21219769524311435
high_q,1,0.8063587551373347
high_q,2,0.7588145378385952
high_q,3,0.6807220059771526
high_q,4,0.6123491045608208
high_q,5,0.5761711808796379
high_q,6,0.5155619412702873
high_q,7,0.4642433242839396
high_q,8,0.3653224825949704
high_q,9,0.2947104131885913
high_q,10,0.18410318784125285
high_q,11,0.1177989016416785
high_q,12,0.06639129411354755
