muni6,cumulative_confirmed,mean_population,incidence_per_capita,ratio_to_state,percentile_rank
231070,2113,37000.21649484536,0.05710777395841373,3.674442533386356,100
231170,814,18901.03092783505,0.04306643394785645,2.770991157430037,99.4535519125683
230410,2683,74466.4587628866,0.03602964401117974,2.3182282768341538,98.90710382513662
230110,2431,73348.80412371134,0.033143007974606294,2.1324956261635952,98.36065573770492
230440,79333,2615730.0721649486,0.030329199807049984,1.9514488842753912,97.81420765027322
230280,2329,77404.49484536082,0.030088691937760082,1.9359740673936041,97.26775956284153
230930,950,32010.335051546394,0.029677914913111985,1.9095437503547366,96.72131147540983
231140,2257,78136.206185567,0.028885456693914884,1.8585552073821132,96.17486338797814
230560,699,26000.22680412371,0.026884380865829085,1.729801490933558,95.62841530054644
230360,544,20321.18556701031,0.02677009164677562,1.7224478657002689,95.08196721311475
230660,536,20537.855670103094,0.026098148151866403,1.679213510960323,94.53551912568307
231150,562,21777.77319587629,0.0258061278784195,1.6604242702144696,93.98907103825137
230610,607,23757.572164948455,0.025549748761599392,1.6439282615939648,93.44262295081968
231090,418,16639.670103092783,0.025120690338825115,1.616321678309918,92.89617486338798
230195,509,21116.994845360823,0.024103808507194943,1.5508932156930657,92.34972677595628
230830,648,28324.561855670105,0.02287767074039598,1.4720007558784296,91.80327868852459
230400,508,23046.78350515464,0.022042121404333096,1.4182396335939589,91.2568306010929
230460,147,6864.231958762886,0.021415360215550357,1.3779124099831044,90.7103825136612
230520,422,20175.536082474227,0.02091642067278581,1.3458095183722805,90.1639344262295
230030,1093,53461.87113402062,0.02044447709770611,1.315443607999131,89.61748633879782
230370,7144,359196.36597938143,0.019888842640490633,1.2796928381635857,89.07103825136612
231390,258,13629.154639175258,0.018930007533879765,1.217999232301788,88.52459016393442
230535,368,19599.025773195877,0.018776443495639773,1.2081185769269436,87.97814207650273
230210,646,35229.9381443299,0.01833667709984245,1.1798230185910783,87.43169398907104
230945,461,25314.561855670105,0.018210862294531182,1.171727811232758,86.88524590163934
230250,854,48568.73195876289,0.017583329141166084,1.131350917685587,86.33879781420765
231300,318,18156.886597938144,0.017514015868563687,1.126891145936054,85.79234972677597
230300,380,22129.443298969072,0.01717169270217036,1.104865303995951,85.24590163934427
230350,1210,70739.63917525773,0.01710497839835202,1.1005727557394935,84.69945355191257
230970,1362,81896.71134020618,0.0166307044289255,1.0700569025562154,84.15300546448088
231240,779,47920.072164948455,0.016256235953037778,1.0459627591526188,83.60655737704919
231085,327,20486.55154639175,0.015961690734504985,1.0270110577648075,83.06010928961749
230445,253,16157.994845360825,0.015657883445397907,1.0074634139385787,82.5136612021858
230770,1928,125420.1649484536,0.015372328690465271,0.9890901791859992,81.9672131147541
230510,52,3625.953608247423,0.014341054965988328,0.9227357098357969,81.4207650273224
230120,371,26245.603092783505,0.014135701080613012,0.9095227792920729,80.87431693989072
231000,128,9266.01030927835,0.013813928079901826,0.8888191812010403,80.32786885245902
230550,1399,102236.37113402062,0.013683975521451805,0.8804577415056521,79.78142076502732
230940,383,28337.09793814433,0.013515851229227214,0.8696402466634372,79.23497267759562
231130,1094,86192.65979381443,0.012692496119936543,0.8166637283375485,78.68852459016394
230125,137,10818.19587628866,0.012663849089687571,0.8148205140235275,78.14207650273224
230790,135,11017.572164948453,0.012253153233658136,0.7883954195560212,77.59562841530054
231160,320,27408.211340206184,0.011675333206825482,0.7512171803064498,77.04918032786885
231180,882,75961.737113402065,0.011611108875555021,0.7470848424802491,76.50273224043715
230765,2592,223714.98969072165,0.011586170437588254,0.7454802473291925,75.95628415300546
230140,131,11309.082474226803,0.01158360992578723,0.7453154982448424,75.40983606557377
230523,740,64925.92268041237,0.01139760467698755,0.7333475024668883,74.86338797814207
230640,1433,126572.28350515464,0.011321593956560334,0.7284568018709503,74.31693989071037
230240,591,54036.036082474224,0.010937145705839106,0.7037205373237672,73.77049180327869
230780,276,26807.180412371134,0.010295748965550659,0.6624516294337931,73.22404371584699
230680,113,11228.685567010309,0.01006351093595426,0.6475089126253905,72.67759562841529
231270,254,26527.721649484534,0.00957488936879491,0.6160699027559523,72.1311475409836
230763,188,19667.90206185567,0.009558721586508763,0.6150296313045381,71.58469945355192
231375,183,19639.690721649484,0.009317865672816986,0.599532420463661,71.03825136612022
230540,627,67459.71134020618,0.009294436450194328,0.5980249316199955,70.49180327868852
230800,352,37986.8969072165,0.009266353102222713,0.5962179858906463,69.94535519125684
230470,501,54251.72680412371,0.009234729095515511,0.5941832262201739,69.39890710382514
