mode,week_start,residual,observed,expected
low_q,2015-01-04,-0.07531770091355526,0,0.048753945891878425
low_q,2015-01-11,-0.14582849950535925,0,0.06041227037272506
low_q,2015-01-18,-0.19392007597569225,0,0.0990811427936361
low_q,2015-01-25,-0.29186724789945023,0,0.1429165116258066
low_q,2015-02-01,-0.2907691272820419,0,0.201222758225384
low_q,2015-02-08,-0.4007741260940154,0,0.2774284366383376
low_q,2015-02-15,-0.46899865275749936,0,0.3734559178861031
low_q,2015-02-22,-0.5713761950342776,0,0.49651258434782986
low_q,2015-03-01,1.3041000526229773,2,0.6497275054412386
low_q,2015-03-08,1.060637678327531,2,0.8394864805017548
low_q,2015-03-15,0.17907042471080234,1,1.0711816341567726
low_q,2015-03-22,-0.013324394120710988,1,1.3414170625347475
low_q,2015-03-29,-0.16215852708501285,1,1.6504900597473593
low_q,2015-04-05,-0.336189087750832,1,2.006894346533941
low_q,2015-04-12,-0.4685264397537668,1,2.375021607248688
low_q,2015-04-19,-0.07267233661903807,2,2.7497808395184435
low_q,2015-04-26,0.18864254293004667,3,3.120791121190026
low_q,2015-05-03,-1.6224137517090407,0,3.4790038563045904
low_q,2015-05-10,-0.012067503210063729,3,3.800032423547739
low_q,2015-05-17,-1.719976154542954,0,4.049100771558372
low_q,2015-05-24,-0.9589760606150246,1,4.222436921632097
low_q,2015-05-31,-0.9741204188784426,1,4.3210336284544955
low_q,2015-06-07,-1.782454477376932,0,4.352055284009092
low_q,2015-06-14,-0.9761080587552428,1,4.299189917509487
low_q,2015-06-21,-1.7361386990351437,0,4.198704074157
low_q,2015-06-28,-1.7220210599322303,0,4.042305495785249
low_q,2015-07-05,-1.7139217400785607,0,3.8295943085669037
low_q,2015-07-12,-1.6454313937277514,0,3.590873712963661
low_q,2015-07-19,-1.5795869493018564,0,3.3563136756894725
low_q,2015-07-26,-1.5569657477690955,0,3.1206870669727125
low_q,2015-08-02,-1.512253662195597,0,2.885436760051512
low_q,2015-08-09,-1.4335313495381183,0,2.653195706488799
low_q,2015-08-16,-1.3908443462011293,0,2.4496613147404522
low_q,2015-08-23,-1.3005864938858396,0,2.2684942528110703
low_q,2015-08-30,-1.2964774334261966,0,2.116679440811238
low_q,2015-09-06,-1.2642044493837432,0,1.9935013519004112
low_q,2015-09-13,-1.1901133340560537,0,1.8904550129308413
low_q,2015-09-20,-1.1878032235628901,0,1.8228421897551743
low_q,2015-09-27,-1.2159294051644636,0,1.7806221561739015
low_q,2015-10-04,-1.213806866456165,0,1.7624508732861641
low_q,2015-10-11,-1.2168267830686694,0,1.7708831560343694
low_q,2015-10-18,-1.2048557127061232,0,1.8064490691115296
low_q,2015-10-25,-1.2156067504209858,0,1.8705074753043822
low_q,2015-11-01,-1.2575612307443336,0,1.990506970917401
low_q,2015-11-08,-1.3225042783048178,0,2.155617451572837
low_q,2015-11-15,-1.389822116133878,0,2.373409373063464
low_q,2015-11-22,-1.4173303766405532,0,2.6791404013636777
low_q,2015-11-29,-0.6744038399852987,1,3.070356151914108
low_q,2015-12-06,-1.6242586256027443,0,3.577125695964498
low_q,2015-12-13,0.17850463648380316,4,4.2337335619744625
low_q,2015-12-20,-1.847206611125865,0,5.1151579852354185
low_q,2015-12-27,-1.987997782370425,0,6.252462852783246
low_q,2016-01-03,-0.5428494084720694,4,8.240094746137931
low_q,2016-01-10,-0.24193304968655277,7,10.487726205405181
low_q,2016-01-17,-0.8613860256962586,5,13.697455177802485
low_q,2016-01-24,-0.9718383021570294,6,18.034843260763438
low_q,2016-01-31,0.13572777234116162,22,23.82915180582912
low_q,2016-02-07,-1.3708428468237528,7,31.62913192428392
low_q,2016-02-14,-0.6579296055088971,20,41.94640565763911
low_q,2016-02-21,-0.9543373467735369,20,55.27858627928266
low_q,2016-02-28,-0.1249707623990942,55,72.44290782259856
low_q,2016-03-06,0.5010507817795293,113,94.32135121612606
low_q,2016-03-13,0.35729082567889225,132,121.48776399235086
low_q,2016-03-20,0.3403643179334319,166,154.77118920530842
low_q,2016-03-27,0.49325769309004314,231,193.86606010194427
low_q,2016-04-03,0.8260032034658279,353,238.39175134955855
low_q,2016-04-10,1.031486521688443,484,287.8716958326229
low_q,2016-04-17,1.3220400743951903,679,342.0869875687382
low_q,2016-04-24,1.853827686610983,1046,397.3938906476284
low_q,2016-05-01,2.457334395932774,1585,452.4712552280125
low_q,2016-05-08,2.8204398556099153,2067,505.50549382765564
low_q,2016-05-15,2.4568250181009117,1924,551.827185366708
low_q,2016-05-22,2.404018599547579,2005,589.5431799963782
low_q,2016-05-29,2.548588509854501,2236,616.2752181850842
low_q,2016-06-05,2.2862720068388254,2036,631.6575406642518
low_q,2016-06-12,2.094473246748053,1872,636.515641372659
low_q,2016-06-19,1.6591600266733744,1490,629.3300656184869
low_q,2016-06-26,1.6249443802291785,1426,613.0364483515623
low_q,2016-07-03,1.4344681854821928,1238,589.6255513219704
low_q,2016-07-10,1.5074508584216075,1224,560.281312938178
low_q,2016-07-17,1.180618666467851,961,527.8351682739542
low_q,2016-07-24,1.0609468426554243,838,492.57919533353027
low_q,2016-07-31,0.8954267790198138,706,457.32829515656056
low_q,2016-08-07,0.653508370443467,563,425.2587022487
low_q,2016-08-14,0.6158701865434703,510,393.8537687809196
low_q,2016-08-21,0.48435606339968934,435,367.34076874528563
low_q,2016-08-28,0.30675720729251577,360,343.38931710014253
low_q,2016-09-04,-0.015655726576792227,268,323.3824406552263
low_q,2016-09-11,0.0634832418845779,270,307.3402435608426
low_q,2016-09-18,-0.2410224374800915,205,294.8950001799595
low_q,2016-09-25,-0.21801050208806746,203,287.0296782545171
low_q,2016-10-02,-0.2641992291113123,193,283.10518046703385
low_q,2016-10-09,-0.24825266993097297,196,283.91124369665624
low_q,2016-10-16,-0.1206907710461437,221,289.44050545363535
low_q,2016-10-23,-0.40291006530589685,183,301.39946894518334
low_q,2016-10-30,-0.19175711038213683,230,318.9097717657668
low_q,2016-11-06,-0.09433503662471135,268,344.4316627812285
low_q,2016-11-13,0.2433419161680213,379,378.4076686799109
low_q,2016-11-20,0.4726055166570735,499,424.1092018949731
low_q,2016-11-27,-0.37610911600155866,304,483.14094811364004
low_q,2016-12-04,-0.9080793188657079,222,561.0532057397711
low_q,2016-12-11,-1.325393862421566,174,668.1905890583507
low_q,2016-12-18,-1.7298256277979893,134,806.9934941566653
low_q,2016-12-25,-2.234060675993219,87,991.8175117544454
low_q,2017-01-01,-1.482155098647909,223,1016.9575043235394
low_q,2017-01-08,-1.537408088809369,255,1234.373800659788
low_q,2017-01-15,-1.4246222895243221,333,1420.9115186136537
low_q,2017-01-22,-1.5090145627333909,356,1667.4401382734181
low_q,2017-01-29,-1.464330505772738,440,1962.1135087507776
low_q,2017-02-05,-1.3945476006189303,558,2322.246023904874
low_q,2017-02-12,-1.4079925443965142,645,2721.8537882776563
low_q,2017-02-19,-1.2778365421790383,863,3174.565043597574
low_q,2017-02-26,-0.9333857834046104,1404,3664.4511849534715
low_q,2017-03-05,-0.6642254989025179,2051,4189.136688761962
low_q,2017-03-12,-0.31213624223115544,3107,4704.563980748413
low_q,2017-03-19,-0.16066156785988253,3871,5200.480010324836
low_q,2017-03-26,0.3852689279552675,6245,5620.259286374116
low_q,2017-04-02,0.5307999065009636,7292,5950.640923098903
low_q,2017-04-09,0.7471162014693943,8668,6166.408162947417
low_q,2017-04-16,0.9517269552517905,9912,6212.589898727541
low_q,2017-04-23,0.7656073017736781,8682,6104.630950913302
low_q,2017-04-30,1.1212473496224902,10301,5842.074756950918
low_q,2017-05-07,0.9786373916636132,8831,5442.339767616571
low_q,2017-05-14,0.9923012676701831,8098,4963.317712826452
low_q,2017-05-21,0.5925293449484487,5601,4409.506805184084
low_q,2017-05-28,0.5232372119487735,4645,3824.1636677061597
low_q,2017-06-04,0.2927860153623352,3374,3242.766436747618
low_q,2017-06-11,-0.006377715287223304,2264,2698.4348377397228
low_q,2017-06-18,-0.03285598183390713,1818,2218.4277668872237
low_q,2017-06-25,-0.06416509740183897,1432,1794.991931942149
low_q,2017-07-02,0.054294356033053076,1246,1429.388071289646
low_q,2017-07-09,-0.052741674299261375,905,1122.6499337789337
low_q,2017-07-16,0.07174615255417675,775,875.6685111415181
low_q,2017-07-23,0.08636925054925822,607,678.6177256728672
low_q,2017-07-30,0.25818357994581975,530,523.614174726353
low_q,2017-08-06,0.14087787645410582,375,402.7723974207223
low_q,2017-08-13,0.23125981794013697,308,309.67163564210205
low_q,2017-08-20,0.04242665182248526,207,238.7980255679483
low_q,2017-08-27,-0.1719572275347872,136,185.2888720226805
low_q,2017-09-03,-1.6716623440187728e-4,121,144.2147740038641
low_q,2017-09-10,0.19665783546749407,110,113.21642923044807
low_q,2017-09-17,0.26862446963152264,92,89.89758292959414
low_q,2017-09-24,0.4514344785644523,84,72.12313015612155
low_q,2017-10-01,0.7613892002524361,84,58.84000910142646
low_q,2017-10-08,0.21648164866237762,48,48.77408573604042
low_q,2017-10-15,0.5226514520456597,50,40.921288986305285
low_q,2017-10-22,0.630597195695069,46,35.018344882087774
low_q,2017-10-29,1.4838452850603288,67,30.45699658466684
low_q,2017-11-05,1.703753958652049,67,27.03757162212193
low_q,2017-11-12,1.3147638126144303,49,24.393512357099873
low_q,2017-11-19,0.8880050514358248,35,22.438054847501554
low_q,2017-11-26,1.2117707824013026,40,21.046455037887494
low_q,2017-12-03,1.5396625302320601,46,20.11398789189456
low_q,2017-12-10,1.55143709495371,45,19.519151978619554
low_q,2017-12-17,0.6032806860706214,25,19.2038696561647
low_q,2017-12-24,0.21498462702144763,19,19.24251726185276
low_q,2017-12-31,1.10466057041026,35,19.586120392285967
low_q,2018-01-07,0.9597486210220123,41,25.264519194348757
low_q,2018-01-14,1.0994470675030532,48,27.07056842322016
low_q,2018-01-21,0.7919023625433887,46,31.49061844630595
low_q,2018-01-28,0.5767844360939113,46,36.33705264261459
low_q,2018-02-04,0.27166926833362354,43,41.96619063967528
low_q,2018-02-11,0.10207672013338971,44,48.57633892923289
low_q,2018-02-18,0.13254553362685864,52,56.139873956300235
low_q,2018-02-25,0.48953086247911176,77,64.30963609753528
low_q,2018-03-04,-0.08362627505565534,58,73.32759366403108
low_q,2018-03-11,-4.911905159881014e-4,70,82.87178630043732
low_q,2018-03-18,-0.5965556586780061,48,92.79118539398766
low_q,2018-03-25,-0.7770161182813433,45,102.7007050602054
low_q,2018-04-01,-0.30407466797598703,74,111.64240300554113
low_q,2018-04-08,-0.32159852903385727,78,119.53502304454373
low_q,2018-04-15,-0.5248545450191545,69,125.45136882582713
low_q,2018-04-22,-1.1842137850159868,38,129.48947690471212
low_q,2018-04-29,-1.245789425207998,36,130.64143736226316
low_q,2018-05-06,-1.5631532761264684,25,128.91801089954384
low_q,2018-05-13,-1.259693325999573,34,125.09438770281946
low_q,2018-05-20,-1.239936871870764,33,119.30612548523288
low_q,2018-05-27,-1.3595056069479552,27,111.3670146095293
