period,q_median,q_q025,q_q975,immune_2018_median
2015-2019 (low-q mode),0.04875394766596741,0.03744271066211359,0.07170302136432355,0.2850122664289366
2015-2025 (v4.2 Stage B4),0.02776460240634827,0.02460221122260851,0.03182272706559708,0.395925928967805
