"state","episode_id","episode_start","episode_end","reported_cases_episode_audit","duration_weeks_audit","S_at_onset_q025","S_at_onset_q25","S_at_onset_median","S_at_onset_q75","S_at_onset_q975","S_prop_at_onset_q025","S_prop_at_onset_q25","S_prop_at_onset_median","S_prop_at_onset_q75","S_prop_at_onset_q975","reconstruction"
"Ceara","CE_wave_01",2016-02-07,2018-06-17,194224,124,8579411.93591976,8734631.73845704,8776694.3562637,8802824.8799375,8829666.39497084,0.969359379772378,0.986897151899391,0.991649667970796,0.994602069418675,0.997634803428792,"filtered"
"Ceara","CE_wave_02",2019-02-03,2019-06-30,4364,22,1937407.08653912,3510333.64929522,4487571.56326171,5403927.01726998,7056961.21529304,0.214987814729944,0.389530401472355,0.4979713404235,0.599656349186951,0.78308822180474,"filtered"
"Ceara","CE_wave_03",2020-02-02,2020-03-08,692,6,1813903.28631929,2929749.11002149,3686769.78209672,4487629.60479135,6013604.2373524,0.200053619748132,0.323119164529977,0.406610234211051,0.494936280946438,0.66323453101859,"filtered"
"Ceara","CE_wave_04",2020-04-19,2020-08-02,1661,16,1234161.82042164,2100654.09374764,2693980.53665036,3433634.73996227,5116513.73384131,0.135946379938784,0.231392929859891,0.296749498747286,0.378224480133768,0.563598313051982,"filtered"
"Ceara","CE_wave_05",2021-04-11,2021-08-22,3344,20,1267891.5173223,2074750.3865952,2671124.4267097,3330745.59162232,4879880.93162171,0.139015386269978,0.227481785677882,0.292870004161269,0.36519282498575,0.535044618086551,"filtered"
"Ceara","CE_wave_06",2021-12-05,2023-08-06,89068,88,1195585.11884661,1881102.50316833,2384435.6007838,3033000.40390332,4543610.88029872,0.130752185140108,0.205722084429308,0.260767853508512,0.331696525901699,0.49690067370406,"filtered"
"Ceara","CE_wave_07",2024-01-21,2024-08-18,8692,31,534721.147232327,1033834.93944939,1441227.93325924,2040090.44034247,3585296.47951564,0.0580128624988165,0.112162618776495,0.156361420067971,0.221333094479833,0.388975286951317,"filtered"
