"episode_id","onset_date","episode_end","reported_cases","latent_infections_q025","latent_infections_median","latent_infections_q975","S_prop_at_onset_q025","S_prop_at_onset_median","S_prop_at_onset_q975","S_prop_end_q025","S_prop_end_median","S_prop_end_q975"
"CE_wave_01",2016-02-07,2018-06-17,194224,2866854.9655731,6342455.64042942,8078241.2369295,0.982363483175648,0.994084446385348,0.997341165119974,0.111726189449937,0.300930961067361,0.679012524316995
"CE_wave_02",2019-02-03,2019-06-30,4364,74889.08687662,154417.529002364,717027.29120578,0.115499513244033,0.300977042940893,0.673395641770868,0.109700572130241,0.284624007580235,0.625989904636038
"CE_wave_03",2020-02-02,2020-03-08,692,11711.7048009496,29173.1338230395,353203.476925303,0.113822299376903,0.285014910353104,0.624671248538133,0.11297105804759,0.28058693768149,0.599817363062789
"CE_wave_04",2020-04-19,2020-08-02,1661,25007.0970624532,56474.0062735401,378893.563070125,0.113434736227687,0.279883597818926,0.597341583889215,0.113700606793297,0.275205624648712,0.57564899116261
"CE_wave_05",2021-04-11,2021-08-22,3344,39167.6194283082,93131.7182660237,476697.048937517,0.118072221142374,0.276987284919591,0.56969404365996,0.116354740421702,0.268935867637462,0.537625357727591
"CE_wave_06",2021-12-05,2023-08-06,89068,535752.352513095,1242131.95041635,2472167.58523821,0.118281688983493,0.269098520824087,0.534136800491054,0.0532553373626514,0.140638300937081,0.362591560763469
"CE_wave_07",2024-01-21,2024-08-18,8692,46771.1646050547,147431.042837088,594296.459632917,0.0570337525792287,0.142633946236093,0.361008167308731,0.0531224476379753,0.129286291286195,0.325862185899403
